stock_code,phi_rms_7d,beta_ch_rms_7d,beta_q_rms_7d,beta_retail_rms_7d,beta_mix_rms_7d,theta_rms_7d
600009.SH,0.1075125483031733,0.0020068254385715305,0.0011303223968665464,0.0,0.0011303223968665464,0.0537851503419305
600018.SH,0.30604625742080604,0.002382885696481793,0.0007461557483485943,0.0,0.0007461557483485943,0.15717224796766785
600025.SH,0.23236815562810317,0.0009070457128516438,0.0009953762236854164,0.0,0.0009953762236854164,0.10669388191939637
600076.SH,0.3584086873292641,0.0027776247994420874,0.0026436975979834253,0.0,0.0026436975979834253,0.2640639213322452
600127.SH,0.31373818249988994,0.006175024393923692,0.0013202793100419638,0.0,0.0013202793100419638,0.0842134345857722
600152.SH,0.32833083804483243,0.003571162648884237,0.0018583796450966652,0.0,0.0018583796450966652,0.2377944263319952
600156.SH,0.24388873840175365,0.0041935626987604,0.0016584694123179748,0.0,0.0016584694123179748,0.2405103023503991
600161.SH,0.17019416586713176,0.001658293670397404,0.00133648754111476,0.0,0.00133648754111476,0.1305722742219625
600172.SH,0.6295397860362739,0.004386761633554943,0.004404365951329666,0.0,0.004404365951329666,0.39354879245386043
600186.SH,0.3843376317253512,0.0056057098827765085,0.003468670291929125,0.0,0.003468670291929125,0.15807915167055264
600203.SH,0.21528734874142932,0.007008937700414786,0.005654225171773177,0.0,0.005654225171773177,0.2650422429935438
600208.SH,0.6922932196070624,0.0030078017771453885,0.0016281895800976081,0.0,0.0016281895800976081,0.18691355212879926
600293.SH,0.50080793722408,0.016082288907514824,0.0030998147105127096,0.0,0.0030998147105127096,0.25080768810482446
600303.SH,0.42602841118385154,0.006989639409357563,0.0012400797713604493,0.0,0.0012400797713604493,0.1484540706850146
600330.SH,0.4454419143789095,0.0031921802139222703,0.005222153744998365,0.0,0.005222153744998365,0.4157769022996267
600379.SH,0.45155003963059515,0.0036134551074339357,0.005365142900792124,0.0,0.005365142900792124,0.21199861042788265
600382.SH,0.24582057528574836,0.00965139220480433,0.002863960917620759,0.0,0.002863960917620759,0.2360696149079617
600396.SH,0.3810287749811044,0.007909737707690186,0.0026111224507963356,0.0,0.0026111224507963356,0.539790642553614
600448.SH,0.5592922422742019,0.00762902965352915,0.001864045539199017,0.0,0.001864045539199017,0.3253086946355941
600479.SH,0.1433735063417595,0.0015764893078025427,0.0006138732628258866,0.0,0.0006138732628258866,0.14289169192654322
600527.SH,0.758201364971641,0.008635170493546647,0.00124618604640481,0.0,0.00124618604640481,0.359096744588322
600530.SH,0.28322341282507324,0.009033156648794853,0.00136918653902448,0.0,0.00136918653902448,0.16878382527548882
600578.SH,0.5532066836956502,0.0029327355852549726,0.0044139271987949195,0.0,0.0044139271987949195,0.264465185013739
600589.SH,0.3085346530916099,0.003001225886498414,0.0018901980739967363,0.0,0.0018901980739967363,0.1391745775784591
600611.SH,0.4143449289585057,0.006558285878150527,0.001046536771813081,0.0,0.001046536771813081,0.10405624886253387
600676.SH,0.14661271808116608,0.0035489635986899605,0.0032578508428332477,0.0,0.0032578508428332477,0.0921257354745051
600719.SH,0.1948955606765777,0.007406040570614892,0.0029676958231572067,0.0,0.0029676958231572067,0.13666576182237744
600726.SH,0.6072719334083694,0.0025101710288365645,0.0027106527491182046,0.0,0.0027106527491182046,0.3013620931724602
600736.SH,0.3113793914597518,0.003503101521491844,0.0018560748689130026,0.0,0.0018560748689130026,0.13477476595223295
600758.SH,0.5272498246274636,0.006878722566215963,0.0010679897023162127,0.0,0.0010679897023162127,0.1507461394598767
600759.SH,0.7102290045028867,0.0516452435176805,0.00703183076664457,0.0,0.00703183076664457,0.3103413534459903
600768.SH,0.25240677033702286,0.004110808383546068,0.0024794851067546373,0.0,0.0024794851067546373,0.21527289475707623
600782.SH,0.553248455838473,0.0038291305985145405,0.0024143594923687743,0.0,0.0024143594923687743,0.3010765152534358
600785.SH,0.3272297256207809,0.0024912074830339415,0.002300599923205921,0.0,0.002300599923205921,0.22242521248215508
600796.SH,0.20481669082943627,0.009488748103569247,0.0015854865104751687,0.0,0.0015854865104751687,0.20651068094518382
600857.SH,0.28944862455247405,0.015990654028249045,0.024399594187000457,0.0,0.024399594187000457,0.2005335541274646
600866.SH,0.1493865853889089,0.004339504047831817,0.001035134335949034,0.0,0.001035134335949034,0.1948867813969656
600893.SH,0.2132318264508372,0.001606028833063158,0.001620773808443539,0.0,0.001620773808443539,0.0685843686245428
600903.SH,0.2595337710072436,0.006561517134665346,0.0011746495313122282,0.0,0.0011746495313122282,0.24461198186911978
