stock_code,transaction_date,window_id,mode_name,phi,beta_ch,beta_q,beta_retail,beta_mix,theta,covariance_diag
600009.SH,20260709,0,baseline_4d,-0.016802,0.014603,-0.015463,0.0,-0.015463,-0.062448,
600009.SH,20260709,1,baseline_4d,-0.016803,0.014617,-0.015478,0.0,-0.015478,-0.062479,
600009.SH,20260709,2,baseline_4d,-0.016806,0.01346,-0.01659,0.0,-0.01659,-0.06251,
600009.SH,20260709,3,baseline_4d,-0.01681,0.005281,-0.023547,0.0,-0.023547,-0.062538,
600009.SH,20260709,4,baseline_4d,-0.016814,0.008569,-0.006437,0.0,-0.006437,-0.062638,
600009.SH,20260709,5,baseline_4d,-0.016833,0.001302,-0.005217,0.0,-0.005217,-0.062817,
600009.SH,20260709,6,baseline_4d,-0.016853,-0.0,-0.003114,0.0,-0.003114,-0.063009,
600009.SH,20260709,7,baseline_4d,-0.016872,0.001687,0.004042,0.0,0.004042,-0.063192,
600009.SH,20260709,8,baseline_4d,-0.016889,0.007449,0.009163,0.0,0.009163,-0.063356,
600009.SH,20260709,9,baseline_4d,-0.0169,0.006178,0.00612,0.0,0.00612,-0.063352,
600009.SH,20260709,10,baseline_4d,-0.016911,0.006515,0.000867,0.0,0.000867,-0.063351,
600009.SH,20260709,11,baseline_4d,-0.016921,0.006446,-0.000175,0.0,-0.000175,-0.063352,
600009.SH,20260709,12,baseline_4d,-0.016931,0.00635,-0.001285,0.0,-0.001285,-0.063354,
600009.SH,20260709,13,baseline_4d,-0.01694,0.006449,-0.002179,0.0,-0.002179,-0.063356,
600009.SH,20260709,14,baseline_4d,-0.01695,0.0068,-0.00231,0.0,-0.00231,-0.063357,
600009.SH,20260709,15,baseline_4d,-0.016959,0.004015,-0.004072,0.0,-0.004072,-0.063342,
600009.SH,20260709,16,baseline_4d,-0.016968,0.001949,-0.005115,0.0,-0.005115,-0.063327,
600009.SH,20260709,17,baseline_4d,-0.016978,-0.000224,-0.003314,0.0,-0.003314,-0.06332,
600009.SH,20260709,18,baseline_4d,-0.016987,-0.001131,-0.001486,0.0,-0.001486,-0.063312,
600009.SH,20260709,19,baseline_4d,-0.016996,-0.00199,-0.00052,0.0,-0.00052,-0.063315,
600009.SH,20260709,20,baseline_4d,-0.017005,0.002073,0.000683,0.0,0.000683,-0.063307,
600009.SH,20260709,21,baseline_4d,-0.017014,0.005413,0.001826,0.0,0.001826,-0.063299,
600009.SH,20260709,22,baseline_4d,-0.017023,0.008813,0.003805,0.0,0.003805,-0.063287,
600009.SH,20260709,23,baseline_4d,-0.017028,-0.000547,0.004378,0.0,0.004378,-0.063304,
600009.SH,20260709,24,baseline_4d,-0.017029,-0.001251,0.003598,0.0,0.003598,-0.063295,
600009.SH,20260709,25,baseline_4d,-0.017029,-0.002184,0.001993,0.0,0.001993,-0.063262,
600009.SH,20260709,26,baseline_4d,-0.017029,-0.004277,0.001233,0.0,0.001233,-0.063232,
600009.SH,20260709,27,baseline_4d,-0.01703,-0.008514,0.0027,0.0,0.0027,-0.063212,
600009.SH,20260709,28,baseline_4d,-0.017033,-0.006275,0.000506,0.0,0.000506,-0.063211,
600009.SH,20260709,29,baseline_4d,-0.017035,-0.003837,0.001837,0.0,0.001837,-0.063207,
600009.SH,20260709,30,baseline_4d,-0.017037,-0.000817,0.003716,0.0,0.003716,-0.063204,
600009.SH,20260709,31,baseline_4d,-0.017038,-0.00192,0.000975,0.0,0.000975,-0.063192,
600009.SH,20260709,32,baseline_4d,-0.017037,-0.001711,0.001701,0.0,0.001701,-0.063174,
600009.SH,20260709,33,baseline_4d,-0.017037,-0.001477,0.001601,0.0,0.001601,-0.063156,
600009.SH,20260709,34,baseline_4d,-0.017037,-0.005057,-0.001422,0.0,-0.001422,-0.063139,
600009.SH,20260709,35,baseline_4d,-0.017038,-0.007811,0.002167,0.0,0.002167,-0.063132,
600009.SH,20260709,36,baseline_4d,-0.017041,-0.006772,0.003575,0.0,0.003575,-0.063134,
600009.SH,20260709,37,baseline_4d,-0.017046,-0.006691,0.003445,0.0,0.003445,-0.063138,
600009.SH,20260709,38,baseline_4d,-0.017051,-0.003747,0.002145,0.0,0.002145,-0.063158,
600009.SH,20260709,39,baseline_4d,-0.017054,-0.000776,0.002906,0.0,0.002906,-0.063175,
600009.SH,20260709,40,baseline_4d,-0.017058,-0.000441,0.002973,0.0,0.002973,-0.06319,
600009.SH,20260709,41,baseline_4d,-0.017062,-0.000166,0.000625,0.0,0.000625,-0.063209,
600009.SH,20260709,42,baseline_4d,-0.017062,-0.000188,0.000687,0.0,0.000687,-0.063208,
600009.SH,20260709,43,baseline_4d,-0.017062,-0.000379,0.00071,0.0,0.00071,-0.063207,
600009.SH,20260709,44,baseline_4d,-0.017062,-0.001869,0.000248,0.0,0.000248,-0.063205,
600009.SH,20260709,45,baseline_4d,-0.017062,0.000626,6.6e-05,0.0,6.6e-05,-0.063203,
600009.SH,20260709,46,baseline_4d,-0.017062,0.00076,-0.001057,0.0,-0.001057,-0.063203,
600009.SH,20260709,47,baseline_4d,-0.017062,0.000904,-0.001295,0.0,-0.001295,-0.063204,
600018.SH,20260709,0,baseline_4d,-0.257835,-0.000999,-0.002686,0.0,-0.002686,-0.286448,
600018.SH,20260709,1,baseline_4d,-0.257861,-0.001,-0.002689,0.0,-0.002689,-0.286591,
600018.SH,20260709,2,baseline_4d,-0.257887,-0.003633,-0.00157,0.0,-0.00157,-0.286735,
600018.SH,20260709,3,baseline_4d,-0.257912,-0.006814,0.00121,0.0,0.00121,-0.286879,
600018.SH,20260709,4,baseline_4d,-0.257938,-0.002836,0.000523,0.0,0.000523,-0.287023,
600018.SH,20260709,5,baseline_4d,-0.257962,0.001153,0.005349,0.0,0.005349,-0.287161,
600018.SH,20260709,6,baseline_4d,-0.257959,-0.001109,0.000386,0.0,0.000386,-0.286742,
600018.SH,20260709,7,baseline_4d,-0.257955,-0.003228,-0.001316,0.0,-0.001316,-0.286318,
600018.SH,20260709,8,baseline_4d,-0.257949,-0.006532,-0.001531,0.0,-0.001531,-0.285873,
600018.SH,20260709,9,baseline_4d,-0.257944,-0.009835,-0.003586,0.0,-0.003586,-0.285431,
600018.SH,20260709,10,baseline_4d,-0.25795,-0.000684,-0.002126,0.0,-0.002126,-0.285077,
600018.SH,20260709,11,baseline_4d,-0.257958,-0.000148,0.001714,0.0,0.001714,-0.284716,
600018.SH,20260709,12,baseline_4d,-0.257966,0.000388,6.4e-05,0.0,6.4e-05,-0.284375,
600018.SH,20260709,13,baseline_4d,-0.257974,0.000924,-0.002104,0.0,-0.002104,-0.284035,
600018.SH,20260709,14,baseline_4d,-0.257982,0.001461,-0.001672,0.0,-0.001672,-0.283694,
600018.SH,20260709,15,baseline_4d,-0.25799,0.003744,0.000152,0.0,0.000152,-0.283351,
600018.SH,20260709,16,baseline_4d,-0.257998,0.006027,-0.000403,0.0,-0.000403,-0.283013,
600018.SH,20260709,17,baseline_4d,-0.258007,0.007072,-0.001958,0.0,-0.001958,-0.282684,
600018.SH,20260709,18,baseline_4d,-0.258015,0.008164,0.001501,0.0,0.001501,-0.282359,
600018.SH,20260709,19,baseline_4d,-0.258026,0.009256,-0.000297,0.0,-0.000297,-0.282042,
600018.SH,20260709,20,baseline_4d,-0.258036,0.010348,0.003493,0.0,0.003493,-0.281728,
600018.SH,20260709,21,baseline_4d,-0.258047,0.009324,0.001061,0.0,0.001061,-0.281414,
600018.SH,20260709,22,baseline_4d,-0.258066,0.0083,-0.006654,0.0,-0.006654,-0.281144,
600018.SH,20260709,23,baseline_4d,-0.258085,0.007276,0.001895,0.0,0.001895,-0.280978,
600018.SH,20260709,24,baseline_4d,-0.258106,0.006239,-0.002369,0.0,-0.002369,-0.280823,
600018.SH,20260709,25,baseline_4d,-0.258117,0.005203,0.005068,0.0,0.005068,-0.280668,
600018.SH,20260709,26,baseline_4d,-0.258132,0.00403,0.00012,0.0,0.00012,-0.280556,
600018.SH,20260709,27,baseline_4d,-0.258148,0.00286,-0.002934,0.0,-0.002934,-0.280444,
600018.SH,20260709,28,baseline_4d,-0.258163,0.001691,-0.002691,0.0,-0.002691,-0.280458,
600018.SH,20260709,29,baseline_4d,-0.258178,-8.1e-05,-0.002848,0.0,-0.002848,-0.280473,
600018.SH,20260709,30,baseline_4d,-0.258194,-0.001868,-0.001143,0.0,-0.001143,-0.280484,
600018.SH,20260709,31,baseline_4d,-0.258201,0.00138,5e-06,0.0,5e-06,-0.280452,
600018.SH,20260709,32,baseline_4d,-0.258207,-3.4e-05,0.000516,0.0,0.000516,-0.280416,
600018.SH,20260709,33,baseline_4d,-0.258213,0.000461,0.003279,0.0,0.003279,-0.280376,
600018.SH,20260709,34,baseline_4d,-0.258217,0.000956,0.001708,0.0,0.001708,-0.28031,
600018.SH,20260709,35,baseline_4d,-0.258219,0.000804,0.002915,0.0,0.002915,-0.280228,
600018.SH,20260709,36,baseline_4d,-0.258223,0.000577,-0.001238,0.0,-0.001238,-0.280168,
600018.SH,20260709,37,baseline_4d,-0.258226,0.000351,0.000462,0.0,0.000462,-0.28013,
600018.SH,20260709,38,baseline_4d,-0.25823,0.000899,0.004168,0.0,0.004168,-0.280092,
600018.SH,20260709,39,baseline_4d,-0.258233,0.001629,-0.002436,0.0,-0.002436,-0.280054,
600018.SH,20260709,40,baseline_4d,-0.258234,0.002359,-0.003911,0.0,-0.003911,-0.280001,
600018.SH,20260709,41,baseline_4d,-0.258235,0.003089,-0.004192,0.0,-0.004192,-0.279954,
600018.SH,20260709,42,baseline_4d,-0.258236,0.003819,0.004265,0.0,0.004265,-0.279922,
600018.SH,20260709,43,baseline_4d,-0.258234,0.004549,0.002903,0.0,0.002903,-0.279876,
600018.SH,20260709,44,baseline_4d,-0.258235,0.004163,-0.002545,0.0,-0.002545,-0.279849,
600018.SH,20260709,45,baseline_4d,-0.258236,0.003623,-0.003432,0.0,-0.003432,-0.279849,
600018.SH,20260709,46,baseline_4d,-0.258236,0.000718,-0.003103,0.0,-0.003103,-0.27985,
600018.SH,20260709,47,baseline_4d,-0.258236,0.000718,-0.000442,0.0,-0.000442,-0.279845,
600025.SH,20260709,0,baseline_4d,-0.153609,0.002211,-0.001223,0.0,-0.001223,0.090467,
600025.SH,20260709,1,baseline_4d,-0.153624,0.002213,-0.001224,0.0,-0.001224,0.090512,
600025.SH,20260709,2,baseline_4d,-0.153639,0.001486,0.000714,0.0,0.000714,0.090558,
600025.SH,20260709,3,baseline_4d,-0.153654,0.004045,0.000212,0.0,0.000212,0.090582,
600025.SH,20260709,4,baseline_4d,-0.153669,0.00317,-8.9e-05,0.0,-8.9e-05,0.090605,
600025.SH,20260709,5,baseline_4d,-0.153684,0.002365,0.000415,0.0,0.000415,0.090629,
600025.SH,20260709,6,baseline_4d,-0.153698,0.000751,-9e-06,0.0,-9e-06,0.090657,
600025.SH,20260709,7,baseline_4d,-0.153713,-0.000407,0.00292,0.0,0.00292,0.090687,
600025.SH,20260709,8,baseline_4d,-0.153727,-0.006694,0.003197,0.0,0.003197,0.090718,
600025.SH,20260709,9,baseline_4d,-0.153748,-0.013506,0.001608,0.0,0.001608,0.090718,
600025.SH,20260709,10,baseline_4d,-0.153768,-0.003844,-4.7e-05,0.0,-4.7e-05,0.090346,
600025.SH,20260709,11,baseline_4d,-0.153788,0.005819,0.000684,0.0,0.000684,0.089977,
600025.SH,20260709,12,baseline_4d,-0.153808,0.00155,-0.002534,0.0,-0.002534,0.089651,
600025.SH,20260709,13,baseline_4d,-0.153829,-0.006153,-0.007812,0.0,-0.007812,0.089324,
600025.SH,20260709,14,baseline_4d,-0.153849,-0.000906,-0.000465,0.0,-0.000465,0.088946,
600025.SH,20260709,15,baseline_4d,-0.15387,0.004344,0.006939,0.0,0.006939,0.088569,
600025.SH,20260709,16,baseline_4d,-0.153878,0.003178,-0.000554,0.0,-0.000554,0.088491,
600025.SH,20260709,17,baseline_4d,-0.153886,0.002675,-0.000654,0.0,-0.000654,0.08842,
600025.SH,20260709,18,baseline_4d,-0.153893,0.002171,-0.001081,0.0,-0.001081,0.08835,
600025.SH,20260709,19,baseline_4d,-0.153901,-0.000848,-0.0029,0.0,-0.0029,0.088279,
600025.SH,20260709,20,baseline_4d,-0.15391,-0.003775,-0.000863,0.0,-0.000863,0.088203,
600025.SH,20260709,21,baseline_4d,-0.15392,-0.006722,-0.002643,0.0,-0.002643,0.088129,
600025.SH,20260709,22,baseline_4d,-0.153927,-0.00967,0.003701,0.0,0.003701,0.088091,
600025.SH,20260709,23,baseline_4d,-0.153936,-0.012652,-0.001473,0.0,-0.001473,0.088027,
600025.SH,20260709,24,baseline_4d,-0.153943,-0.015454,0.003794,0.0,0.003794,0.087967,
600025.SH,20260709,25,baseline_4d,-0.153952,-0.018865,0.004897,0.0,0.004897,0.087892,
600025.SH,20260709,26,baseline_4d,-0.153977,-0.017667,-0.011736,0.0,-0.011736,0.087902,
600025.SH,20260709,27,baseline_4d,-0.153969,-0.01632,0.002456,0.0,0.002456,0.088025,
600025.SH,20260709,28,baseline_4d,-0.153967,-0.015014,0.000257,0.0,0.000257,0.088094,
600025.SH,20260709,29,baseline_4d,-0.153963,-0.013571,0.001755,0.0,0.001755,0.088162,
600025.SH,20260709,30,baseline_4d,-0.153961,-0.012128,0.000331,0.0,0.000331,0.088217,
600025.SH,20260709,31,baseline_4d,-0.153959,-0.010685,-0.000433,0.0,-0.000433,0.088272,
600025.SH,20260709,32,baseline_4d,-0.153956,-0.009264,1e-06,0.0,1e-06,0.088328,
600025.SH,20260709,33,baseline_4d,-0.153954,-0.00769,0.000824,0.0,0.000824,0.088385,
600025.SH,20260709,34,baseline_4d,-0.153952,-0.006117,0.006926,0.0,0.006926,0.088437,
600025.SH,20260709,35,baseline_4d,-0.15395,-0.004543,-9e-06,0.0,-9e-06,0.088453,
600025.SH,20260709,36,baseline_4d,-0.153948,-0.002964,0.000888,0.0,0.000888,0.088473,
600025.SH,20260709,37,baseline_4d,-0.153945,-0.00139,0.000104,0.0,0.000104,0.088495,
600025.SH,20260709,38,baseline_4d,-0.153943,4.6e-05,0.001143,0.0,0.001143,0.088518,
600025.SH,20260709,39,baseline_4d,-0.15394,0.001454,0.001069,0.0,0.001069,0.088541,
600025.SH,20260709,40,baseline_4d,-0.153939,0.002863,-0.002351,0.0,-0.002351,0.088556,
600025.SH,20260709,41,baseline_4d,-0.153937,0.001296,-0.000243,0.0,-0.000243,0.088571,
600025.SH,20260709,42,baseline_4d,-0.153935,-0.000142,0.002026,0.0,0.002026,0.088586,
600025.SH,20260709,43,baseline_4d,-0.153934,-0.001579,0.001486,0.0,0.001486,0.088608,
600025.SH,20260709,44,baseline_4d,-0.153933,-0.002997,0.001436,0.0,0.001436,0.088629,
600025.SH,20260709,45,baseline_4d,-0.153932,-0.004416,0.000177,0.0,0.000177,0.08865,
600025.SH,20260709,46,baseline_4d,-0.153931,-0.005891,-0.00431,0.0,-0.00431,0.088672,
600025.SH,20260709,47,baseline_4d,-0.15393,-0.005652,0.000226,0.0,0.000226,0.088676,
600076.SH,20260709,0,baseline_4d,0.056505,-0.026919,-0.030768,0.0,-0.030768,0.381127,
600076.SH,20260709,1,baseline_4d,0.056511,-0.026946,-0.030799,0.0,-0.030799,0.381317,
600076.SH,20260709,2,baseline_4d,0.056552,-0.023534,-0.021493,0.0,-0.021493,0.381508,
600076.SH,20260709,3,baseline_4d,0.056552,-0.004781,-0.03344,0.0,-0.03344,0.381078,
600076.SH,20260709,4,baseline_4d,0.05662,-0.006647,-0.012393,0.0,-0.012393,0.380647,
600076.SH,20260709,5,baseline_4d,0.056672,-0.008692,-0.012145,0.0,-0.012145,0.38009,
600076.SH,20260709,6,baseline_4d,0.05674,0.002068,-0.010682,0.0,-0.010682,0.379688,
600076.SH,20260709,7,baseline_4d,0.056808,0.000941,-0.006519,0.0,-0.006519,0.379312,
600076.SH,20260709,8,baseline_4d,0.056879,0.0013,0.002804,0.0,0.002804,0.378953,
600076.SH,20260709,9,baseline_4d,0.056948,0.002979,0.005253,0.0,0.005253,0.378561,
600076.SH,20260709,10,baseline_4d,0.057036,0.002696,-0.016168,0.0,-0.016168,0.378214,
600076.SH,20260709,11,baseline_4d,0.057213,0.002412,0.001906,0.0,0.001906,0.379214,
600076.SH,20260709,12,baseline_4d,0.05739,0.002036,0.034672,0.0,0.034672,0.380237,
600076.SH,20260709,13,baseline_4d,0.057359,0.001659,-0.002979,0.0,-0.002979,0.380216,
600076.SH,20260709,14,baseline_4d,0.057358,0.001283,0.004733,0.0,0.004733,0.380296,
600076.SH,20260709,15,baseline_4d,0.057356,0.000631,0.008113,0.0,0.008113,0.380404,
600076.SH,20260709,16,baseline_4d,0.057355,-6.4e-05,-0.002458,0.0,-0.002458,0.380511,
600076.SH,20260709,17,baseline_4d,0.057365,-0.000758,0.005321,0.0,0.005321,0.380674,
