stock_code,transaction_date,mode,kf_converged,dominant_type,dominant_intention,hot_money_ratio,quant_ratio,retail_ratio,phi_tail,theta_tail,beta_ch_tail,beta_mix_tail,beta_q_tail,beta_retail_tail,c_p_tail,c_i_tail,c_d_tail,capital_ch_tail,capital_q_tail,capital_retail_tail,capital_anchor_error_tail,noise_ratio_tail,explain_ratio_tail,capital_identity_error,closure_error,warnings
600009.SH,20260709,baseline_4d,false,量化,买入,0.479167,0.520833,0,-0.017062,-0.063204,0.000904,-0.001295,-0.001295,0,0.000737,0.000012,0.000141,0.000219,0.000517,0,0.211003,0.001385,0.998615,8.67e-19,1.22e-18,KF did not converge
600018.SH,20260709,baseline_4d,false,量化,买入,0.229167,0.770833,0,-0.258236,-0.279845,0.000718,-0.000442,-0.000442,0,0.000421,0.000432,0.001105,0,0.000421,0,0.680199,0.009588,0.990412,4.34e-19,8.67e-19,KF did not converge
600025.SH,20260709,baseline_4d,false,量化,卖出,0.333333,0.666667,0,-0.15393,0.088676,-0.005652,0.000226,0.000226,0,0.000091,0.000032,-0.000184,0.000376,-0.000285,-0,0.517004,6137.539749,0,1.08e-19,1.73e-18,KF did not converge
600076.SH,20260709,baseline_4d,false,量化,卖出,0.145833,0.854167,0,0.057532,0.383213,-0.006433,-0.003478,-0.003478,0,-0.00816,0.000337,0.00476,-0.00443,-0.00373,-0,0.542938,0.010965,0.989035,1.73e-18,3.47e-18,KF did not converge
600127.SH,20260709,baseline_4d,false,量化,买入,0.104167,0.875,0.020833,-0.268654,0.007271,-0.000003,0.000164,0.000164,0,0.000007,0.000021,-0.000014,-0.000007,0.000014,0,0.31923,1506.971283,0,4.34e-19,8.67e-19,KF did not converge
600152.SH,20260709,baseline_4d,false,量化,卖出,0.354167,0.625,0.020833,-0.244045,0.090382,-0.001885,0.000699,0.000699,0,0.002023,0.000871,-0.000532,0.003759,-0.001736,-0,0.403844,0.001743,0.998257,8.67e-19,1.73e-18,KF did not converge
600156.SH,20260709,baseline_4d,false,量化,买入,0.25,0.729167,0.020833,-0.193833,-0.028745,0.005146,-0.002119,-0.002119,0,0.001532,0.000587,0.000207,0,0.001532,0,0.02595,0.032127,0.967873,1.73e-18,1.73e-18,KF did not converge
600161.SH,20260709,baseline_4d,false,量化,买入,0.3125,0.6875,0,-0.002548,-0.072064,-0.002629,-0.002104,-0.002104,0,0.001746,-0.000306,0.000183,0.000046,0.0017,0,0.015993,0.043012,0.956988,4.34e-19,8.67e-19,KF did not converge
600172.SH,20260709,baseline_4d,false,量化,买入,0.458333,0.479167,0.0625,-1.972508,0.361135,-0.021579,0.010264,0.010264,0,-0.006066,0.010501,-0.001158,-0.01289,0.006823,0,0.545615,0.017914,0.982086,1.39e-17,6.94e-18,KF did not converge
600186.SH,20260709,baseline_4d,false,量化,买入,0.395833,0.604167,0,0.790673,-0.207463,-0.003442,-0.002619,-0.002619,0,0.004464,-0.002807,0.001131,-0.001563,0.006028,0,0.147651,0.019657,0.980343,8.67e-19,3.47e-18,KF did not converge
