stock_code,transaction_date,window_id,c_p,c_i,c_d,eps,capital_ch,capital_q,capital_retail,capital_mix,noise_ratio,explain_ratio,capital_anchor_error,closure_error
600009.SH,20260709,0,0,0,-0,-0.002646,0,-0,0,0,1,0,0,4.34e-19
600009.SH,20260709,1,-0.000058,-0.001278,-0,-0.000432,-0.006506,0.006448,0,0.006448,0.24448,0.75552,0.043541,4.34e-19
600009.SH,20260709,2,0.000265,-0.000186,-0.000055,-0.000024,-0.010273,0.010539,0,0.010538,2403.915926,0,0.17092,4.34e-19
600009.SH,20260709,3,0.006089,-0.000012,-0.000111,0.000234,-0.000729,0.006817,0,0.006818,0.037734,0.962266,0.302563,4.34e-19
600009.SH,20260709,4,-0.00047,0.000013,-0.000388,-0.000034,0.00359,-0.00406,-0,-0.00406,0.038947,0.961053,0.401723,4.34e-19
600009.SH,20260709,5,0.000857,-0.000002,0.000445,0.000022,0.002108,-0.001251,-0,-0.001251,0.016874,0.983126,0.255796,4.34e-19
600009.SH,20260709,6,-0.002,-0.000011,-0.000139,-0.00005,-0,-0.002,-0,-0.002,0.022637,0.977363,0.666805,4.34e-19
600009.SH,20260709,7,0.000126,0.000012,0.000223,0.00008,-0.000639,0.000765,0,0.000765,0.182452,0.817548,0.007514,4.34e-19
600009.SH,20260709,8,-0.000996,0.000033,-0.000167,-0.000633,-0.00041,-0.000586,-0,-0.000586,0.358828,0.641172,0.009198,4.34e-19
600009.SH,20260709,9,-0.001223,-0.000286,0.00014,0.000046,0.003378,-0.004602,-0,-0.004601,0.034491,0.965509,0.335316,4.34e-19
600009.SH,20260709,10,-0.000076,0.000045,-0.000028,0.000059,0.000201,-0.000277,-0,-0.000277,5865.961548,0,0.140771,4.34e-19
600009.SH,20260709,11,-0.00129,0.000029,-0.000084,0.000019,-0.001388,0.000097,0,0.000098,0.014148,0.985852,0.460002,4.34e-19
600009.SH,20260709,12,-0.004537,0.000032,0.000084,-0.000005,-0.005848,0.001311,0,0.001311,0.001186,0.998814,0.569325,4.34e-19
600009.SH,20260709,13,0.000171,0.000072,0.000196,0.000005,-0.006367,0.006538,0,0.006538,0.011103,0.988897,0.164316,4.34e-19
600009.SH,20260709,14,-0.002718,-0.000005,-0.000309,-0.00008,-0.003301,0.000584,0,0.000583,0.025674,0.974326,0.349773,4.34e-19
600009.SH,20260709,15,0.00017,0.000013,0.000225,0.000038,-0.012046,0.012216,0,0.012216,0.08505,0.91495,0.460071,4.34e-19
600009.SH,20260709,16,0.003312,0.000011,-0.000225,0.000021,0.000047,0.003265,0,0.003265,0.006804,0.993196,0.965339,4.34e-19
600009.SH,20260709,17,-0.000661,-0.000042,-0.000169,-0.000016,-0.000505,-0.000156,-0,-0.000156,0.017599,0.982401,0.711304,4.34e-19
