stock_code,transaction_date,window_id,deal_amount,signal_deal_buy_amount,signal_deal_sell_amount,signed_large_active_amount,signed_mix_qr_amount,CH_rule_t,Q_rule_t,R_seed_t,large_active_buy_amount,large_active_sell_amount,small_passive_buy_amount,small_passive_sell_amount,unknown_side_amount,window_open_price,window_close_price,window_trade_count,active_inferred_count,side_fallback_count,low_fallback_count,order_age_recovered_count,order_age_missing_count,order_age_direct_count,order_age_fifo_count,order_age_unresolved_count,active_buy_count,active_sell_count,active_buy_amount,active_sell_amount,pi_max_price_impact_pct
600009.SH,20260709,0,20859768.0,8837471.0,12022297.0,-458210.0,-3029002.0,-458210.0,-972030.0,0.0,2112613.0,2570823.0,6573665.0,9602667.0,0.0,22.68,22.62,1971,1899,0,0,1709,262,1583,126,262,911,988,9500084.0,10975823.0,-0.002645502645502589
600009.SH,20260709,1,8943299.0,3308222.0,5635077.0,-785731.0,-1437224.0,-785731.0,-1482134.0,0.0,784710.0,1570441.0,2575462.0,4012686.0,0.0,22.62,22.58,1129,1112,0,0,1098,31,1025,73,31,597,515,3272257.0,5551427.0,-0.0017683465959329222
600009.SH,20260709,2,5167462.22,2152321.0,3015141.22,-142016.0,-693688.22,-142016.0,-675544.22,0.0,178458.0,320474.0,1987421.0,2681109.22,0.0,22.58,22.58,721,706,0,0,705,16,632,73,16,380,326,2100406.0,2987997.22,0.0
600009.SH,20260709,3,5801611.0,3572814.0,2228797.0,431289.0,967220.0,431289.0,1471674.0,0.0,467465.0,36176.0,3132595.0,2165375.0,0.0,22.59,22.72,661,643,0,0,612,49,546,66,49,383,260,3686695.0,1947055.0,0.006200177147918538
600009.SH,20260709,4,5517333.0,3609039.0,1908294.0,1666054.0,812061.0,1666054.0,559345.0,0.0,1677383.0,11329.0,2320341.0,1508280.0,0.0,22.71,22.7,765,735,0,0,711,54,625,86,54,531,204,3742015.0,1530325.0,-0.0008802816901408263
600009.SH,20260709,5,4573204.4,3493014.0,1080190.4,391228.6,1734945.0,391228.6,1498367.0,0.0,618656.0,227427.4,2731033.0,996088.0,0.0,22.7,22.73,650,635,0,0,622,28,585,37,28,475,160,3195013.0,1321342.4,0.0013215859030837505
600009.SH,20260709,6,3057374.6,1463582.0,1593792.6,-390122.6,255376.0,-390122.6,441710.0,0.0,68149.0,458271.6,1393165.0,1137789.0,0.0,22.73,22.68,444,426,0,0,440,4,422,18,4,241,185,1493231.0,1375738.6,-0.00219973603167623
600009.SH,20260709,7,1820691.0,843619.0,977072.0,-56681.0,-113076.0,-56681.0,-149144.0,0.0,2270.0,58951.0,823197.0,936273.0,0.0,22.68,22.69,252,233,0,0,252,0,244,8,0,81,152,675979.0,974732.0,0.0004409171075838432
600009.SH,20260709,8,4598624.0,766282.0,3832342.0,562935.0,-2222209.0,562935.0,-1754411.0,0.0,735153.0,172218.0,734522.0,2956731.0,0.0,22.69,22.65,344,330,0,0,337,7,311,26,7,108,222,1692239.0,2854261.0,-0.001762891141472133
600009.SH,20260709,9,1959007.0,611585.0,1347422.0,31726.0,-767563.0,31726.0,-744855.0,0.0,33990.0,2264.0,577595.0,1345158.0,0.0,22.68,22.62,308,307,0,0,308,0,281,27,0,116,191,600259.0,1336068.0,-0.0013245033112581717
600009.SH,20260709,10,3226606.0,848376.0,2378230.0,-221635.0,-1511799.0,-221635.0,-1294599.0,0.0,11315.0,232950.0,735271.0,2247070.0,0.0,22.63,22.62,349,342,0,0,344,5,324,20,5,156,186,843873.0,2353324.0,0.0
600009.SH,20260709,11,5387520.82,921467.13,4466053.69,-948039.04,-2596547.5200000005,-948039.04,-2379625.5200000005,0.0,22600.0,970639.04,898867.13,3495414.6500000004,0.0,22.62,22.59,405,401,0,0,405,0,396,9,0,109,292,1027670.13,4316931.69,-0.0013262599469496524
600009.SH,20260709,12,16464653.870000001,1639901.04,14824752.83,-1016304.13,-10476707.66,-1016304.13,-9961361.92,0.0,872746.87,1889051.0,1613074.17,12089781.83,0.0,22.59,22.49,961,945,0,0,940,21,910,30,21,198,747,2732217.91,13540844.96,-0.004426737494466641
600009.SH,20260709,13,5312741.0,1854929.0,3457812.0,-499777.0,-967866.0,-499777.0,-589538.0,0.0,139705.0,639482.0,1782844.0,2750710.0,0.0,22.5,22.5,508,484,0,0,498,10,431,67,10,274,210,2050930.0,3090698.0,0.0004446420631392425
600009.SH,20260709,14,19108987.0,2025452.0,17083535.0,-3745790.0,-11576863.0,-3745790.0,-11249259.0,0.0,127898.0,3873688.0,1765269.0,13342132.0,0.0,22.5,22.43,1293,1265,0,0,1239,54,1152,87,54,244,1021,1962668.0,16973561.0,-0.003111111111111124
600009.SH,20260709,15,5036807.0,1644701.0,3392106.0,24843.0,-1776734.0,24843.0,-1489332.0,0.0,172816.0,147973.0,1469642.0,3246376.0,0.0,22.43,22.44,520,483,0,0,499,21,442,57,21,221,262,1705367.0,3091289.0,0.0004458314757022543
600009.SH,20260709,16,5229817.0,3905226.0,1324591.0,2322808.0,235913.0,2322808.0,109949.0,0.0,2842102.0,519294.0,1052167.0,816254.0,0.0,22.43,22.51,331,319,0,0,327,4,299,28,4,186,133,3811057.0,1333338.0,0.003119429590017838
600009.SH,20260709,17,1721268.0,828048.0,893220.0,9072.0,56358.0,9072.0,-370862.0,0.0,155322.0,146250.0,738027.0,681669.0,0.0,22.51,22.49,219,194,0,0,217,2,182,35,2,83,111,585233.0,911086.0,-0.0008884940026656209
600009.SH,20260709,18,1916321.0,1174271.0,742050.0,312811.0,60988.0,312811.0,34022.0,0.0,355506.0,42695.0,789554.0,728566.0,0.0,22.5,22.5,348,333,0,0,344,4,305,39,4,184,149,1095583.0,726283.0,0.0004446420631392425
600009.SH,20260709,19,2845735.0,884120.0,1961615.0,599336.0,187003.0,599336.0,110553.0,0.0,1028704.0,429368.0,787333.0,600330.0,0.0,22.5,22.48,321,319,0,0,288,33,246,42,33,188,131,1773312.0,1063425.0,-0.00088888888888887
600009.SH,20260709,20,1985471.48,1227890.0,757581.48,20244.0,450064.52,20244.0,634445.48,0.0,20244.0,0.0,1207646.0,757581.48,0.0,22.47,22.51,201,201,0,0,200,1,187,13,1,96,105,1320080.48,665391.0,0.0013345195729537872
600009.SH,20260709,21,1733617.0,767888.0,965729.0,-197986.0,145.0,-197986.0,-49443.0,0.0,13514.0,211500.0,754374.0,754229.0,0.0,22.51,22.52,236,230,0,0,233,3,211,22,3,137,93,743094.0,965753.0,0.00044424700133265257
600009.SH,20260709,22,2837938.0,854671.0,1983267.0,-444796.0,-912860.0,-444796.0,157608.0,0.0,238496.0,683292.0,501645.0,1414505.0,0.0,22.51,22.47,321,313,0,0,313,8,259,54,8,132,181,1268631.0,1535578.0,-0.002220248667850831
600009.SH,20260709,23,1703521.0,782351.0,921170.0,-15711.0,-159060.0,-15711.0,-127612.0,0.0,20241.0,35952.0,744134.0,903194.0,0.0,22.47,22.49,150,144,0,0,150,0,135,15,0,72,72,759873.0,887470.0,0.0008900756564307777
600009.SH,20260709,24,4201204.0,2028863.0,2172341.0,-367006.0,214516.0,-367006.0,180601.0,425817.0,243035.0,610041.0,1781322.0,1566806.0,0.0,22.49,22.48,460,445,0,0,444,16,393,51,16,200,245,1774205.0,1924580.0,-0.00044464206313908454
600009.SH,20260709,25,3062321.0,1160490.0,1901831.0,175609.0,-498636.0,175609.0,-413160.0,0.0,301443.0,125834.0,1068204.0,1566840.0,0.0,22.48,22.51,340,332,0,0,322,18,302,20,18,189,143,1358401.0,1589213.0,0.0013345195729537872
600009.SH,20260709,26,2930582.0,1397065.0,1533517.0,405242.0,-276312.0,405242.0,-519166.0,0.0,641190.0,235948.0,888566.0,1164878.0,0.0,22.51,22.49,303,293,0,0,301,2,270,31,2,104,189,1361074.0,1522253.0,-0.0008884940026656209
600009.SH,20260709,27,7696552.0,1205509.0,6491043.0,-87335.0,-5198199.0,-87335.0,-3490133.0,0.0,87616.0,174951.0,1117893.0,6316092.0,0.0,22.48,22.4,651,643,0,0,574,77,518,56,77,257,386,2032606.0,5614528.0,-0.004001778568252551
600009.SH,20260709,28,4677663.0,1104793.0,3572870.0,-770497.0,-1697580.0,-770497.0,-1643894.0,0.0,62806.0,833303.0,1041987.0,2739567.0,0.0,22.4,22.4,481,467,0,0,449,32,372,77,32,194,273,1106974.0,3516880.0,0.0
600009.SH,20260709,29,4449294.0,1558130.0,2891164.0,-324688.0,-1017310.0,-324688.0,-824484.0,0.0,564989.0,889677.0,988659.0,2005969.0,0.0,22.4,22.43,275,256,0,0,262,13,248,14,13,121,135,1638850.0,2646798.0,0.001339285714285765
600009.SH,20260709,30,4664922.0,1251972.0,3412950.0,-320126.0,-1840852.0,-320126.0,-1916954.0,0.0,4483.0,324609.0,1247489.0,3088341.0,0.0,22.41,22.4,535,532,0,0,528,7,509,19,7,235,297,1175841.0,3446519.0,-0.0013374944271066045
600009.SH,20260709,31,3520169.0,978769.0,2541400.0,22400.0,-1585031.0,22400.0,-1679097.0,0.0,22400.0,0.0,956369.0,2541400.0,0.0,22.41,22.4,302,300,0,0,300,2,282,18,2,109,191,931736.0,2554832.0,0.0
600009.SH,20260709,32,8850942.0,2455977.0,6394965.0,-1565401.0,-2650851.0,-1565401.0,-2718051.0,0.0,550061.0,2115462.0,1767284.0,4418135.0,0.0,22.39,22.37,679,677,0,0,666,13,654,12,13,255,422,2281508.0,6564960.0,-0.0013392857142856065
600009.SH,20260709,33,4087503.29,1124280.46,2963222.83,-82632.0,-1760788.37,-82632.0,-1498316.21,0.0,118706.0,201338.0,1003335.46,2764123.83,0.0,22.38,22.38,396,393,0,0,388,8,292,96,8,186,207,1251038.54,2829749.75,0.0004470272686632995
