stock_code,transaction_date,window_id,c_p,c_i,c_d,eps,capital_ch,capital_q,capital_retail,capital_mix,noise_ratio,explain_ratio,capital_anchor_error,closure_error
600009.SH,20260709,0,0,0,-0,-0.002646,0,-0,0,0,1,0,0,4.34e-19
600009.SH,20260709,1,-0.000058,-0.001278,-0,-0.000432,-0.006506,0.006448,0,0.006448,0.24447981246191727,0.75552,0.043541,4.34e-19
600009.SH,20260709,2,0.000265,-0.000186,-0.000055,-0.000024,-0.010273,0.010539,0,0.010537999999999999,2403.9159256196263,0,0.17092,4.34e-19
600009.SH,20260709,3,0.006089,-0.000012,-0.000111,0.000234,-0.000729,0.006817,0,0.006817999999999999,0.03773359504147127,0.962266,0.302563,4.34e-19
600009.SH,20260709,4,-0.00047,0.000013,-0.000388,-0.000034,0.00359,-0.00406,-0,-0.00406,0.03894722569445971,0.961053,0.401723,4.34e-19
600009.SH,20260709,5,0.000857,-0.000002,0.000445,0.000022,0.002108,-0.001251,-0,-0.001251,0.016874022596625397,0.983126,0.255796,4.34e-19
600009.SH,20260709,6,-0.002,-0.000011,-0.000139,-0.00005,-0,-0.002,-0,-0.002,0.022636830127273966,0.977363,0.666805,4.34e-19
600009.SH,20260709,7,0.000126,0.000012,0.000223,0.00008,-0.000639,0.000765,0,0.0007650000000000001,0.18245225629323364,0.817548,0.007514,4.34e-19
600009.SH,20260709,8,-0.000996,0.000033,-0.000167,-0.000633,-0.00041,-0.000586,-0,-0.0005859999999999999,0.3588281401633532,0.641172,0.009198,4.34e-19
600009.SH,20260709,9,-0.001223,-0.000286,0.00014,0.000046,0.003378,-0.004602,-0,-0.004601,0.03449102226116046,0.965509,0.335316,4.34e-19
600009.SH,20260709,10,-0.000076,0.000045,-0.000028,0.000059,0.000201,-0.000277,-0,-0.000277,5865.961547897766,0,0.140771,4.34e-19
600009.SH,20260709,11,-0.00129,0.000029,-0.000084,0.000019,-0.001388,0.000097,0,0.000098,0.014148482823620715,0.985852,0.460002,4.34e-19
600009.SH,20260709,12,-0.004537,0.000032,0.000084,-0.000005,-0.005848,0.001311,0,0.0013109999999999997,0.0011864038124285306,0.998814,0.569325,4.34e-19
600009.SH,20260709,13,0.000171,0.000072,0.000196,0.000005,-0.006367,0.006538,0,0.006538,0.011103352651634427,0.988897,0.164316,4.34e-19
600009.SH,20260709,14,-0.002718,-0.000005,-0.000309,-0.00008,-0.003301,0.000584,0,0.0005830000000000002,0.025673545927016313,0.974326,0.349773,4.34e-19
600009.SH,20260709,15,0.00017,0.000013,0.000225,0.000038,-0.012046,0.012216,0,0.012216,0.08504973522359462,0.91495,0.460071,4.34e-19
600009.SH,20260709,16,0.003312,0.000011,-0.000225,0.000021,0.000047,0.003265,0,0.0032649999999999997,0.006803970973304025,0.993196,0.965339,4.34e-19
600009.SH,20260709,17,-0.000661,-0.000042,-0.000169,-0.000016,-0.000505,-0.000156,-0,-0.000156,0.017598881611219235,0.982401,0.711304,4.34e-19
600009.SH,20260709,18,0.000226,0.000007,0.000254,-0.000043,-0.00001,0.000236,0,0.000236,0.09588397494281192,0.904116,0.913739,4.34e-19
600009.SH,20260709,19,-0.000612,-0.000029,-0.000084,-0.000163,-0.000605,-0.000008,-0,-0.000007000000000000062,0.18392474172046763,0.816075,0.062879,4.34e-19
600009.SH,20260709,20,0.001239,-0.000067,0.000084,0.000078,0.001207,0.000032,0,0.00003200000000000013,0.05820748040435117,0.941793,0.906455,4.34e-19
600009.SH,20260709,21,0.000603,0.000016,-0.000141,-0.000034,0.000106,0.000497,0,0.000497,0.07695557702672337,0.923044,0.724246,4.34e-19
600009.SH,20260709,22,-0.001776,-0.000025,0.000056,-0.000476,-0.001695,-0.000081,-0,-0.00008100000000000013,0.21455394407129452,0.785446,0.089789,4.34e-19
