stock_code,transaction_date,window_id,c_p,c_i,c_d,eps,capital_ch,capital_q,capital_retail,capital_mix,noise_ratio,explain_ratio,capital_anchor_error,closure_error
600009.SH,20260709,0,0.0,0.0,-0.0,-0.002646,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,8.67e-19
600009.SH,20260709,1,-5.8e-05,-0.001278,-0.0,-0.000432,-0.006506,0.006448,0.0,0.006448,0.24448,0.75552,0.043541,8.67e-19
600009.SH,20260709,2,0.000265,-0.000186,-5.5e-05,-2.4e-05,-0.010273,0.010539,0.0,0.010539,2403.915926,0.0,0.17092,8.67e-19
600009.SH,20260709,3,0.006089,-1.2e-05,-0.000111,0.000234,-0.000729,0.006817,0.0,0.006817,0.037734,0.962266,0.302563,8.67e-19
600009.SH,20260709,4,-0.00047,1.3e-05,-0.000388,-3.4e-05,0.00359,-0.00406,-0.0,-0.00406,0.038947,0.961053,0.401723,8.67e-19
600009.SH,20260709,5,0.000857,-2e-06,0.000445,2.2e-05,0.002108,-0.001251,-0.0,-0.001251,0.016874,0.983126,0.255796,8.67e-19
600009.SH,20260709,6,-0.002,-1.1e-05,-0.000139,-5e-05,-0.0,-0.002,-0.0,-0.002,0.022637,0.977363,0.666805,8.67e-19
600009.SH,20260709,7,0.000126,1.2e-05,0.000223,8e-05,-0.000639,0.000765,0.0,0.000765,0.182452,0.817548,0.007514,8.67e-19
600009.SH,20260709,8,-0.000996,3.3e-05,-0.000167,-0.000633,-0.00041,-0.000586,-0.0,-0.000586,0.358828,0.641172,0.009198,8.67e-19
600009.SH,20260709,9,-0.001223,-0.000286,0.00014,4.6e-05,0.003378,-0.004602,-0.0,-0.004602,0.034491,0.965509,0.335316,8.67e-19
600009.SH,20260709,10,-7.6e-05,4.5e-05,-2.8e-05,5.9e-05,0.000201,-0.000277,-0.0,-0.000277,5865.961548,0.0,0.140771,8.67e-19
600009.SH,20260709,11,-0.00129,2.9e-05,-8.4e-05,1.9e-05,-0.001388,9.7e-05,0.0,9.7e-05,0.014148,0.985852,0.460002,8.67e-19
600009.SH,20260709,12,-0.004537,3.2e-05,8.4e-05,-5e-06,-0.005848,0.001311,0.0,0.001311,0.001186,0.998814,0.569325,8.67e-19
600009.SH,20260709,13,0.000171,7.2e-05,0.000196,5e-06,-0.006367,0.006538,0.0,0.006538,0.011103,0.988897,0.164316,8.67e-19
600009.SH,20260709,14,-0.002718,-5e-06,-0.000309,-8e-05,-0.003301,0.000584,0.0,0.000584,0.025674,0.974326,0.349773,8.67e-19
600009.SH,20260709,15,0.00017,1.3e-05,0.000225,3.8e-05,-0.012046,0.012216,0.0,0.012216,0.08505,0.91495,0.460071,8.67e-19
600009.SH,20260709,16,0.003312,1.1e-05,-0.000225,2.1e-05,4.7e-05,0.003265,0.0,0.003265,0.006804,0.993196,0.965339,8.67e-19
600009.SH,20260709,17,-0.000661,-4.2e-05,-0.000169,-1.6e-05,-0.000505,-0.000156,-0.0,-0.000156,0.017599,0.982401,0.711304,8.67e-19
600009.SH,20260709,18,0.000226,7e-06,0.000254,-4.3e-05,-1e-05,0.000236,0.0,0.000236,0.095884,0.904116,0.913739,8.67e-19
600009.SH,20260709,19,-0.000612,-2.9e-05,-8.4e-05,-0.000163,-0.000605,-8e-06,-0.0,-8e-06,0.183925,0.816075,0.062879,8.67e-19
600009.SH,20260709,20,0.001239,-6.7e-05,8.4e-05,7.8e-05,0.001207,3.2e-05,0.0,3.2e-05,0.058207,0.941793,0.906455,8.67e-19
600009.SH,20260709,21,0.000603,1.6e-05,-0.000141,-3.4e-05,0.000106,0.000497,0.0,0.000497,0.076956,0.923044,0.724246,8.67e-19
600009.SH,20260709,22,-0.001776,-2.5e-05,5.6e-05,-0.000476,-0.001695,-8.1e-05,-0.0,-8.1e-05,0.214554,0.785446,0.089789,8.67e-19
