stock_code,transaction_date,window_id,mode_name,phi,beta_ch,beta_q,beta_retail,beta_mix,theta,covariance_diag
600009.SH,20260709,0,baseline_4d,-0.016802,0.014603,-0.015463,0.0,-0.015463,-0.062448,
600009.SH,20260709,1,baseline_4d,-0.016803,0.014617,-0.015478,0.0,-0.015478,-0.062479,
600009.SH,20260709,2,baseline_4d,-0.016806,0.01346,-0.01659,0.0,-0.01659,-0.06251,
600009.SH,20260709,3,baseline_4d,-0.01681,0.005281,-0.023547,0.0,-0.023547,-0.062538,
600009.SH,20260709,4,baseline_4d,-0.016814,0.008569,-0.006437,0.0,-0.006437,-0.062638,
600009.SH,20260709,5,baseline_4d,-0.016833,0.001302,-0.005217,0.0,-0.005217,-0.062817,
600009.SH,20260709,6,baseline_4d,-0.016853,-0.0,-0.003114,0.0,-0.003114,-0.063009,
600009.SH,20260709,7,baseline_4d,-0.016872,0.001687,0.004042,0.0,0.004042,-0.063192,
600009.SH,20260709,8,baseline_4d,-0.016889,0.007449,0.009163,0.0,0.009163,-0.063356,
600009.SH,20260709,9,baseline_4d,-0.0169,0.006178,0.00612,0.0,0.00612,-0.063352,
600009.SH,20260709,10,baseline_4d,-0.016911,0.006515,0.000867,0.0,0.000867,-0.063351,
600009.SH,20260709,11,baseline_4d,-0.016921,0.006446,-0.000175,0.0,-0.000175,-0.063352,
600009.SH,20260709,12,baseline_4d,-0.016931,0.00635,-0.001285,0.0,-0.001285,-0.063354,
600009.SH,20260709,13,baseline_4d,-0.01694,0.006449,-0.002179,0.0,-0.002179,-0.063356,
600009.SH,20260709,14,baseline_4d,-0.01695,0.0068,-0.00231,0.0,-0.00231,-0.063357,
600009.SH,20260709,15,baseline_4d,-0.016959,0.004015,-0.004072,0.0,-0.004072,-0.063342,
600009.SH,20260709,16,baseline_4d,-0.016968,0.001949,-0.005115,0.0,-0.005115,-0.063327,
600009.SH,20260709,17,baseline_4d,-0.016978,-0.000224,-0.003314,0.0,-0.003314,-0.06332,
600009.SH,20260709,18,baseline_4d,-0.016987,-0.001131,-0.001486,0.0,-0.001486,-0.063312,
600009.SH,20260709,19,baseline_4d,-0.016996,-0.00199,-0.00052,0.0,-0.00052,-0.063315,
600009.SH,20260709,20,baseline_4d,-0.017005,0.002073,0.000683,0.0,0.000683,-0.063307,
600009.SH,20260709,21,baseline_4d,-0.017014,0.005413,0.001826,0.0,0.001826,-0.063299,
600009.SH,20260709,22,baseline_4d,-0.017023,0.008813,0.003805,0.0,0.003805,-0.063287,
600009.SH,20260709,23,baseline_4d,-0.017028,-0.000547,0.004378,0.0,0.004378,-0.063304,
600009.SH,20260709,24,baseline_4d,-0.017029,-0.001251,0.003598,0.0,0.003598,-0.063295,
600009.SH,20260709,25,baseline_4d,-0.017029,-0.002184,0.001993,0.0,0.001993,-0.063262,
600009.SH,20260709,26,baseline_4d,-0.017029,-0.004277,0.001233,0.0,0.001233,-0.063232,
600009.SH,20260709,27,baseline_4d,-0.01703,-0.008514,0.0027,0.0,0.0027,-0.063212,
600009.SH,20260709,28,baseline_4d,-0.017033,-0.006275,0.000506,0.0,0.000506,-0.063211,
600009.SH,20260709,29,baseline_4d,-0.017035,-0.003837,0.001837,0.0,0.001837,-0.063207,
600009.SH,20260709,30,baseline_4d,-0.017037,-0.000817,0.003716,0.0,0.003716,-0.063204,
600009.SH,20260709,31,baseline_4d,-0.017038,-0.00192,0.000975,0.0,0.000975,-0.063192,
600009.SH,20260709,32,baseline_4d,-0.017037,-0.001711,0.001701,0.0,0.001701,-0.063174,
600009.SH,20260709,33,baseline_4d,-0.017037,-0.001477,0.001601,0.0,0.001601,-0.063156,
600009.SH,20260709,34,baseline_4d,-0.017037,-0.005057,-0.001422,0.0,-0.001422,-0.063139,
600009.SH,20260709,35,baseline_4d,-0.017038,-0.007811,0.002167,0.0,0.002167,-0.063132,
600009.SH,20260709,36,baseline_4d,-0.017041,-0.006772,0.003575,0.0,0.003575,-0.063134,
600009.SH,20260709,37,baseline_4d,-0.017046,-0.006691,0.003445,0.0,0.003445,-0.063138,
600009.SH,20260709,38,baseline_4d,-0.017051,-0.003747,0.002145,0.0,0.002145,-0.063158,
600009.SH,20260709,39,baseline_4d,-0.017054,-0.000776,0.002906,0.0,0.002906,-0.063175,
600009.SH,20260709,40,baseline_4d,-0.017058,-0.000441,0.002973,0.0,0.002973,-0.06319,
600009.SH,20260709,41,baseline_4d,-0.017062,-0.000166,0.000625,0.0,0.000625,-0.063209,
600009.SH,20260709,42,baseline_4d,-0.017062,-0.000188,0.000687,0.0,0.000687,-0.063208,
600009.SH,20260709,43,baseline_4d,-0.017062,-0.000379,0.00071,0.0,0.00071,-0.063207,
600009.SH,20260709,44,baseline_4d,-0.017062,-0.001869,0.000248,0.0,0.000248,-0.063205,
600009.SH,20260709,45,baseline_4d,-0.017062,0.000626,6.6e-05,0.0,6.6e-05,-0.063203,
600009.SH,20260709,46,baseline_4d,-0.017062,0.00076,-0.001057,0.0,-0.001057,-0.063203,
600009.SH,20260709,47,baseline_4d,-0.017062,0.000904,-0.001295,0.0,-0.001295,-0.063204,
