stock_code,transaction_date,mode,kf_converged,dominant_type,dominant_intention,hot_money_ratio,quant_ratio,retail_ratio,phi_tail,theta_tail,beta_ch_tail,beta_mix_tail,beta_q_tail,beta_retail_tail,c_p_tail,c_i_tail,c_d_tail,capital_ch_tail,capital_q_tail,capital_retail_tail,capital_anchor_error_tail,noise_ratio_tail,explain_ratio_tail,capital_identity_error,closure_error,warnings
000001.SZ,20260709,baseline_4d,false,量化,卖出,0.333333,0.666667,0.0,-0.137066,0.112595,-0.001837,0.001262,0.001262,0.0,-1.1e-05,0.000114,-0.000107,2.5e-05,-3.6e-05,-0.0,0.38799,440.937769,0.0,4.34e-19,4.34e-19,KF did not converge
000002.SZ,20260709,baseline_4d,false,量化,卖出,0.208333,0.791667,0.0,-0.367102,0.186341,0.001072,-0.000156,-0.000156,0.0,-6.4e-05,0.000104,-0.000623,0.0,-6.4e-05,-0.0,0.0,58314.300225,0.0,4.34e-19,8.67e-19,KF did not converge
000004.SZ,20260709,baseline_4d,true,量化,卖出,0.020833,0.979167,0.0,-1.12081,0.371971,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.787409,0.212591,1.32e-23,0.00e+00,
000006.SZ,20260709,baseline_4d,false,量化,买入,0.3125,0.6875,0.0,0.122499,-0.159428,-0.001499,-0.004428,-0.004428,0.0,0.002274,-0.000414,0.000934,-8.2e-05,0.002357,0.0,0.135974,0.047314,0.952686,8.67e-19,1.73e-18,KF did not converge
000007.SZ,20260709,baseline_4d,false,量化,卖出,0.375,0.604167,0.020833,-0.011495,0.006635,-0.004179,0.005217,0.005217,0.0,-0.000862,-7.4e-05,-3e-05,0.008577,-0.00944,-0.0,0.42026,0.049473,0.950527,3.47e-18,1.73e-18,KF did not converge
000009.SZ,20260709,baseline_4d,false,量化,买入,0.104167,0.875,0.020833,-0.139719,0.189013,0.001404,0.001251,0.001251,0.0,0.000792,0.000476,-0.001239,-3.8e-05,0.00083,0.0,0.023448,2915.873111,0.0,8.67e-19,6.51e-19,KF did not converge
000010.SZ,20260709,baseline_4d,false,量化,买入,0.104167,0.895833,0.0,-0.87944,0.484408,0.02049,-0.002574,-0.002574,0.0,0.003376,0.004838,-0.002662,0.0,0.003376,0.0,0.37209,0.004898,0.995102,8.67e-19,3.47e-18,KF did not converge
000011.SZ,20260709,baseline_4d,false,量化,买入,0.125,0.875,0.0,-0.080836,-0.059523,-1.1e-05,2e-06,2e-06,0.0,1e-06,-2e-06,-0.0,-1e-06,1e-06,0.0,0.372665,126.834724,0.0,4.34e-19,1.73e-18,KF did not converge
000012.SZ,20260709,baseline_4d,false,量化,买入,0.229167,0.770833,0.0,-0.554853,0.256111,-0.00939,2e-06,2e-06,0.0,4e-06,5.6e-05,0.0,-0.0,4e-06,0.0,0.035571,6011.478805,0.0,4.34e-19,2.60e-18,KF did not converge
000014.SZ,20260709,baseline_4d,false,量化,卖出,0.208333,0.791667,0.0,0.173012,-0.030833,-5.2e-05,0.003695,0.003695,0.0,-0.00077,-9.3e-05,6.9e-05,-0.0,-0.00077,-0.0,0.168206,0.292587,0.707413,8.67e-19,8.67e-19,KF did not converge
000016.SZ,20260709,baseline_4d,false,量化,卖出,0.166667,0.833333,0.0,-0.735671,0.038281,0.022093,-0.005474,-0.005474,0.0,-0.003744,0.000108,0.0,0.0,-0.003744,-0.0,0.0,0.098306,0.901694,1.73e-18,1.73e-18,KF did not converge
000017.SZ,20260709,baseline_4d,false,量化,买入,0.229167,0.770833,0.0,-0.059363,-0.393875,0.009854,0.007929,0.007929,0.0,0.007865,-0.000263,-0.001215,0.0,0.007865,0.0,0.024477,0.039599,0.960401,6.94e-18,1.56e-17,KF did not converge
000019.SZ,20260709,baseline_4d,false,量化,卖出,0.083333,0.916667,0.0,-0.320377,-0.28582,-0.000504,0.001389,0.001389,0.0,-0.00306,0.001045,0.001964,6e-06,-0.003066,-0.0,0.001815,5065.877669,0.0,8.67e-19,8.67e-19,KF did not converge
000020.SZ,20260709,baseline_4d,false,量化,卖出,0.229167,0.729167,0.041667,-0.449572,0.143468,-0.006077,0.006594,0.006594,0.0,0.001946,0.000897,-0.001088,0.002076,-0.00013,-0.0,0.816597,0.072619,0.927381,4.34e-19,1.73e-18,KF did not converge
000021.SZ,20260709,baseline_4d,true,量化,买入,0.333333,0.666667,0.0,-0.773967,0.564562,0.020206,-0.006471,-0.006471,0.0,0.001113,-0.000535,0.0,-0.000772,0.001885,0.0,0.261115,57846.015661,0.0,5.20e-18,3.47e-18,
