stock_code,transaction_date,capital_type,capital_intention
000001.SZ,20260709,量化,卖出
000002.SZ,20260709,量化,卖出
000004.SZ,20260709,量化,卖出
000006.SZ,20260709,量化,买入
000007.SZ,20260709,量化,卖出
000009.SZ,20260709,量化,买入
000010.SZ,20260709,量化,卖出
000011.SZ,20260709,量化,卖出
000012.SZ,20260709,量化,买入
000014.SZ,20260709,量化,卖出
000016.SZ,20260709,量化,卖出
000017.SZ,20260709,量化,买入
000019.SZ,20260709,量化,卖出
000020.SZ,20260709,量化,卖出
000021.SZ,20260709,量化,买入
000025.SZ,20260709,量化,卖出
000026.SZ,20260709,游资,卖出
000027.SZ,20260709,量化,买入
000028.SZ,20260709,量化,卖出
000029.SZ,20260709,量化,买入
000030.SZ,20260709,量化,卖出
000031.SZ,20260709,量化,卖出
000032.SZ,20260709,游资,买入
000034.SZ,20260709,量化,买入
000035.SZ,20260709,量化,卖出
000036.SZ,20260709,量化,卖出
000037.SZ,20260709,量化,卖出
000039.SZ,20260709,量化,卖出
000042.SZ,20260709,量化,买入
000045.SZ,20260709,量化,卖出
000048.SZ,20260709,游资,买入
000049.SZ,20260709,游资,买入
000050.SZ,20260709,量化,卖出
000055.SZ,20260709,量化,卖出
000056.SZ,20260709,量化,卖出
000058.SZ,20260709,量化,卖出
000059.SZ,20260709,量化,买入
000060.SZ,20260709,量化,卖出
000061.SZ,20260709,量化,买入
000062.SZ,20260709,量化,卖出
000063.SZ,20260709,游资,买入
000065.SZ,20260709,量化,买入
000066.SZ,20260709,游资,卖出
000068.SZ,20260709,量化,买入
000069.SZ,20260709,量化,卖出
000070.SZ,20260709,游资,卖出
000078.SZ,20260709,量化,卖出
000088.SZ,20260709,量化,买入
000089.SZ,20260709,量化,买入
000090.SZ,20260709,量化,卖出
000096.SZ,20260709,量化,卖出
000099.SZ,20260709,量化,卖出
000100.SZ,20260709,量化,买入
000151.SZ,20260709,量化,买入
000153.SZ,20260709,量化,卖出
000155.SZ,20260709,量化,卖出
000156.SZ,20260709,量化,卖出
000157.SZ,20260709,量化,卖出
000158.SZ,20260709,量化,买入
000159.SZ,20260709,量化,卖出
000166.SZ,20260709,量化,买入
000301.SZ,20260709,量化,买入
000333.SZ,20260709,量化,卖出
000338.SZ,20260709,量化,卖出
000400.SZ,20260709,量化,买入
000401.SZ,20260709,量化,卖出
000402.SZ,20260709,量化,卖出
000403.SZ,20260709,量化,卖出
000404.SZ,20260709,量化,卖出
000407.SZ,20260709,量化,卖出
000408.SZ,20260709,游资,卖出
000409.SZ,20260709,量化,卖出
000410.SZ,20260709,量化,卖出
000411.SZ,20260709,量化,买入
000415.SZ,20260709,量化,卖出
000417.SZ,20260709,量化,卖出
000419.SZ,20260709,量化,卖出
000420.SZ,20260709,量化,卖出
000421.SZ,20260709,量化,买入
000422.SZ,20260709,量化,卖出
000423.SZ,20260709,量化,卖出
000425.SZ,20260709,量化,卖出
000426.SZ,20260709,游资,卖出
000428.SZ,20260709,量化,卖出
000429.SZ,20260709,量化,买入
000430.SZ,20260709,量化,卖出
000488.SZ,20260709,量化,卖出
000498.SZ,20260709,量化,卖出
000501.SZ,20260709,量化,卖出
000503.SZ,20260709,量化,卖出
000504.SZ,20260709,量化,卖出
000505.SZ,20260709,量化,卖出
000506.SZ,20260709,量化,买入
000507.SZ,20260709,量化,卖出
000509.SZ,20260709,量化,卖出
000510.SZ,20260709,游资,卖出
000513.SZ,20260709,量化,买入
000514.SZ,20260709,量化,卖出
000516.SZ,20260709,量化,买入
000517.SZ,20260709,量化,买入
