stock_code,transaction_date,window_id,order_age_fifo_count,window_open_price,deal_amount,Q_rule_t,active_buy_amount,active_sell_count,CH_rule_t,active_buy_count,side_fallback_count,large_active_sell_amount,order_age_unresolved_count,order_age_missing_count,passive_retail_amount,window_close_price,small_passive_buy_amount,pi_max_price_impact_pct,signal_deal_sell_amount,order_age_recovered_count,window_trade_count,active_inferred_count,active_non_large_amount,unknown_side_amount,order_age_direct_count,signed_large_active_amount,signal_deal_buy_amount,small_passive_sell_amount,R_seed_t,signed_mix_qr_amount,passive_quant_amount,large_active_buy_amount,active_sell_amount
000001.SZ,20260709,0,4,10.55,97301819,-4702439,40443211,2381,-10635114,2422,0,23034057,0,0,0,10.53,28108420,-0.0018957345971565259,59956234,4867,4867,4803,-5106928,0,4863,-10635114,37345585,33760399,0,-5651979,404489,12398943,56185253
000001.SZ,20260709,1,29,10.53,45976384,3526592,22066191,2661,-5089004,3018,0,9102897,0,0,0,10.51,17595077,-0.0018993352326685255,25947059,5704,5704,5679,3435150,0,5675,-5089004,20029325,15264517,0,2330560,91442,4013893,23720045
000001.SZ,20260709,2,1,10.51,34318404,1814347,18883063,2184,1635479,1260,0,3428035,0,0,0,10.52,9158092,0.0009514747859181529,24461601,3457,3457,3444,1829075,0,3456,1635479,9856803,16668763,0,-7510671,-14728,5063514,15418509
000001.SZ,20260709,3,1,10.52,28178779.68,8721216.32,18467363,1171,140330,1988,0,2211538,0,0,0,10.56,16623711.68,0.003802281368821381,8508704,3180,3180,3159,8700095.32,0,3179,140330,19670075.68,6991662,0,9632049.68,21121,2351868,9626937.68
000001.SZ,20260709,4,1,10.57,41892880,-5153011,10374715,2337,-15990439,682,0,19144263,0,0,0,10.51,11794306,-0.004734848484848552,16393331,3019,3019,3019,-5153011,0,3018,-15990439,25499549,7800487,0,3993819,0,3153824,31518165
000001.SZ,20260709,5,1,10.51,19277284,5980796,14894286,703,4541022,710,0,518592,0,0,0,10.54,10180091,0.002854424357754459,4037579,1423,1423,1413,6015545,0,1422,4541022,15239705,3518987,0,6661104,-34749,5059614,4337719
000001.SZ,20260709,6,3,10.55,13428781,1348800,7463215,1063,148849,1429,0,0,0,0,0,10.53,6336170,-0.0009487666034155396,6943762,2492,2492,2492,1348800,0,2489,148849,6485019,6943762,0,-607592,0,148849,5965566
000001.SZ,20260709,7,0,10.53,5305228,2241813,3839468,413,131895,498,0,0,0,0,0,10.55,3690766,0.0018993352326686942,1482567,911,911,911,2241813,0,911,131895,3822661,1482567,0,2208199,0,131895,1465760
000001.SZ,20260709,8,0,10.55,12889016.94,-2883594.94,3717547,1114,-2570328,358,0,2769912,0,0,0,10.53,3581303,-0.0018957345971565259,9108129.94,1472,1472,1472,-2883594.94,0,1472,-2570328,3780887,6338217.94,0,-2756914.94,0,199584,9171469.94
000001.SZ,20260709,9,0,10.54,6797882.75,24195.25,3411039,632,0,737,0,0,0,0,0,10.53,3912743,0,2885139.75,1369,1369,1369,24195.25,0,1369,0,3912743,2885139.75,0,1027603.25,0,0,3386843.75
000001.SZ,20260709,10,0,10.54,12546339,459242.99999999994,6135318,900,-734946,829,0,771836,0,0,0,10.54,6058357,0.0009496676163342628,6451092,1729,1729,1729,459242.99999999994,0,1729,-734946,6095247,5679256,0,379101,0,36889.99999999999,6411021
000001.SZ,20260709,11,0,10.53,10701504,5452583,8051245,353,-51597,878,0,51597,0,0,0,10.54,5138618,0,5562886,1231,1231,1231,5452583,0,1231,-51597,5138618,5511289,0,-372671,0,0,2650259
000001.SZ,20260709,12,0,10.54,5247517,-1928639,1660494,907,2110,318,0,0,0,0,0,10.52,1497160.54,-0.0018975332068310792,3748246.46,1225,1225,1225,-1928639,0,1225,2110,1499270.54,3748246.46,0,-2251085.92,0,2110,3587023
000001.SZ,20260709,13,11,10.53,17976584,1336141,11516412,575,3720099,621,0,0,0,0,0,10.55,7787876,0.0028517110266160777,6995109,1196,1196,1196,1336141,0,1185,3720099,10981475,6468609,0,1319267,0,3720099,6460172
000001.SZ,20260709,14,0,10.55,7030411,-3489495,1473757,687,-593402,300,0,593402,0,0,0,10.53,2404405.5,-0.0018957345971565259,4626005.5,987,987,987,-3489495,0,987,-593402,2404405.5,4032603.5,0,-1628198,0,0,5556654
000001.SZ,20260709,15,0,10.53,9305829,5039679,7170659,294,149810,715,0,0,0,0,0,10.55,6993513,0.0018993352326686942,2162506,1029,1029,1009,4993268,0,1029,149810,7143323,2162506,0,4831007,46411,149810,2027581
000001.SZ,20260709,16,1,10.55,21983485,9327645,16553874,535,1796618,927,0,134179,0,0,0,10.58,13991320,0.0028436018957345363,6061368,1462,1462,1462,9327645,0,1461,1796618,15922117,5927189,0,8064131,0,1930797,5429611
000001.SZ,20260709,17,0,10.57,5784591,-2630033,1577279,545,0,140,0,0,0,0,0,10.55,1698832,-0.0028355387523628884,4085759,685,685,685,-2630033,0,685,0,1698832,4085759,0,-2386927,0,0,4207312
000001.SZ,20260709,18,0,10.56,6434686,2390726,4407963,261,-9486,519,0,9486,0,0,0,10.54,4200128,-0.0009478672985783472,2234558,780,780,780,2390726,0,780,-9486,4200128,2225072,0,1975056,0,0,2026723
000001.SZ,20260709,19,0,10.55,7457599,-2049068,2715355,609,22179,345,0,1053,0,0,0,10.53,2510662,-0.0009487666034155396,4923705,954,954,954,-2049068,0,954,22179,2533894,4922652,0,-2411990,0,23232,4742244
000001.SZ,20260709,20,1,10.53,10652951,-2669810,4447473,454,911805,677,0,4208,0,0,0,10.56,4005300,0.002849002849002957,5731638,1131,1131,1131,-2669810,0,1130,911805,4921313,5727430,0,-1722130,0,916012.9999999999,6205478
000001.SZ,20260709,21,1,10.56,14496356,430390,6359726,444,-2122894,449,0,2720131,0,0,0,10.57,5687721,0.0009469696969696767,8211398,903,903,893,452545,0,902,-2122894,6284958,5491267,0,196454,-22155,597237,8030075
000001.SZ,20260709,22,0,10.56,7912520,-1800648,1474500,260,-3162872,144,0,3162872,0,0,0,10.54,1091778,-0.0028382213812678464,6820742,404,404,404,-1800648,0,404,-3162872,1091778,3657870,0,-2566092,0,0,6438020
000001.SZ,20260709,23,0,10.54,7599576,3733648,6496897,128,1660570,422,0,0,0,0,0,10.55,4092609,0.0009487666034157081,1924467,550,550,550,3733648,0,550,1660570,5675109,1846397,0,2246212,0,1660570,1102679
000001.SZ,20260709,24,0,10.54,8454799,170970,4132676,784,-360417,597,0,417463,0,0,0,10.54,4169605,-0.0009478672985783472,4228148,1381,1381,1381,170970,0,1381,-360417,4226651,3810685,0,358920,0,57046,4322123
000001.SZ,20260709,25,0,10.54,7690831,78719,3895326,565,21102,332,0,1053,0,0,0,10.53,3966977,-0.0009487666034155396,3701699,897,897,897,78719,0,897,21102,3989132,3700646,0,266331,0,22155,3795505
000001.SZ,20260709,26,0,10.54,4432490,-1217382,1607554,332,0,201,0,0,0,0,0,10.53,1769716,0,2662774,533,533,533,-1217382,0,533,0,1769716,2662774,0,-893058,0,0,2824936
000001.SZ,20260709,27,0,10.52,9984018,-4080074,2951972,612,0,377,0,0,0,0,0,10.52,3267572,-0.0009496676163342628,6716446,989,989,989,-4080074,0,989,0,3267572,6716446,0,-3448874,0,0,7032046
000001.SZ,20260709,28,0,10.51,13633599,-4831579,4414689,726,27358,380,0,3150,0,0,0,10.51,5352530.359999999,-0.000950570342205303,8250560.640000001,1106,1106,1106,-4831579,0,1106,27358,5383038.359999999,8247410.640000001,0,-2894880.28,0,30508,9218910
000001.SZ,20260709,29,0,10.51,5839362,-2334242.64,1750890.18,405,-3339,291,0,3339,0,0,0,10.5,1820256.18,-0.0009514747859181529,4019105.82,696,696,696,-2334242.64,0,696,-3339,1820256.18,4015766.82,0,-2195510.64,0,0,4088471.82
000001.SZ,20260709,30,0,10.51,14916809,-9957988,2468396,997,-22029,398,0,22029,0,0,0,10.49,4536896,-0.0009523809523809321,10379913,1395,1395,1395,-9957988,0,1395,-22029,4536896,10357884,0,-5820988,0,0,12448413
000001.SZ,20260709,31,0,10.49,12581048,-4246224,3946284,944,-442256,302,0,442256,0,0,0,10.49,3882295,0,8698753,1246,1246,1246,-4246224,0,1246,-442256,3882295,8256497,0,-4374202,0,0,8634764
000001.SZ,20260709,32,1,10.5,9440676,-1212218,4406668,584,584878,464,0,14672,0,0,0,10.49,3821804,0,5019322,1048,1048,1048,-1212218,0,1047,584878,4421354,5004650,0,-1182846,0,599550,5034008
000001.SZ,20260709,33,0,10.5,8116786,-94786,4011000,402,0,440,0,0,0,0,0,10.49,4011000,0,4105786,842,842,842,-94786,0,842,0,4011000,4105786,0,-94786,0,0,4105786
000001.SZ,20260709,34,0,10.49,12287976,-2403168,5449007,628,1013206,640,0,22029,0,0,0,10.5,5086151,0.0009532888465204754,6166590,1268,1268,1268,-2403168,0,1268,1013206,6121386,6144561,0,-1058410,0,1035235,6838969
000001.SZ,20260709,35,0,10.49,16763906,-4768679,4298066,769,-3399095,596,0,3676031,0,0,0,10.48,3645930,-0.0019047619047618642,12841040,1365,1365,1365,-4768679,0,1365,-3399095,3922866,9165009,0,-5519079,0,276936,12465840
000001.SZ,20260709,36,0,10.48,9534246,1508559,5191821,781,-659163,843,0,689584,0,0,0,10.49,5263178,0.0009541984732824223,4240647,1624,1624,1624,1508559,0,1624,-659163,5293599,3551063,0,1712115,0,30421,4342425
000001.SZ,20260709,37,0,10.48,10677922,898,5339410,552,0,643,0,0,0,0,0,10.49,4551611,0,6126311,1195,1195,1195,898,0,1195,0,4551611,6126311,0,-1574700,0,0,5338512
000001.SZ,20260709,38,0,10.48,20960631,-7705219,7302405,1293,1349398,691,0,1724899,0,0,0,10.47,5729723,-0.0019065776930409508,10989206,1984,1984,1984,-7705219,0,1984,1349398,9971425,10431712,0,-4701989,0,3074297,13658226
000001.SZ,20260709,39,0,10.47,18193130,-4000298,5797346,672,-2598140.0000000005,868,0,2663116.0000000005,0,0,0,10.47,5872668,0,12255486,1540,1540,1540,-4000298,0,1540,-2598140.0000000005,5937644,9592370,0,-3719702,0,64976,12395784
000001.SZ,20260709,40,5,10.47,18972257,464647,8118122,736,-3200660,1108,0,3220572,0,0,0,10.47,8084599,0,8170674,1844,1844,1844,464647,0,1839,-3200660,10801583,7647174,0,437425,0,19912,10854135
000001.SZ,20260709,41,0,10.47,15498854,-153754.00000000012,7352926,710,-639248,999,0,1112944,0,0,0,10.47,6928439,0,8096719,1709,1709,1709,-153754.00000000012,0,1709,-639248,7402135,6983775,0,-55336.000000000015,0,473696,8145928
000001.SZ,20260709,42,6,10.47,19420299,4748804,11772388,1297,-624327,1768,0,799510,0,0,0,10.49,10287270,0.0019102196752626144,8957846,3065,3065,3065,4748804,0,3059,-624327,10462453,8158336,0,2128934,0,175183,7647911
000001.SZ,20260709,43,4,10.49,15195437,-531699,6727620,1436,-1046952,910,0,1046952,0,0,0,10.5,6803148,0.0009532888465204754,8392289,2379,2379,2346,-408966,0,2375,-1046952,6803148,7345337,0,-542189,-122733,0,8183538
000001.SZ,20260709,44,15,10.49,15577473,-7519312,3220350,1478,-1617461,407,0,1617461,0,0,0,10.5,4311310,0,10367170,1885,1885,1885,-7519312,0,1870,-1617461,5210303,9648702,0,-5337392,0,0,12357123
000001.SZ,20260709,45,0,10.5,18357486,-2966586,7695450,1224,0,1090,0,0,0,0,0,10.5,7695450,0,10662036,2314,2314,2314,-2966586,0,2314,0,7695450,10662036,0,-2966586,0,0,10662036
000001.SZ,20260709,46,15,10.5,28685867.72,-117246.71999999997,13908883,1213,-45255,1231,0,780456,0,0,0,10.49,11376098,-0.0009523809523809321,16574568.72,2597,2597,2444,-82596.71999999997,0,2582,-45255,12111299,15794112.72,0,-4418014.720000001,-34650,735201,14036734.72
000001.SZ,20260709,47,4,10.5,15205772.98,-9150230.260000002,2954861,1389,-145820.72,306,0,295062.72,0,0,0,10.49,6715484,0,8341046.98,1695,1695,1695,-9150230.260000002,0,1691,-145820.72,6864726,8045984.260000001,0,-1330500.2600000002,0,149242,12250911.98
000002.SZ,20260709,0,0,2.98,18987051.49,-5070368.12,8701892.79,765,3487102.21,709,0,49872,0,0,0,2.99,7758981.37,0.0033557046979866547,10348037.12,1474,1474,1474,-5070368.12,0,1474,3487102.21,8639014.370000001,7641223.91,0,117757.45999999996,0,3536974.21,10285158.7
000002.SZ,20260709,1,0,2.99,13542795,-988754.7,5280746,814,-1992548.3,1177,0,2125005.3,0,0,0,2.98,4781749,-0.0033444816053512477,8628589,1991,1991,1991,-988754.7,0,1991,-1992548.3,4914206,6503583.7,0,-1721834.7000000002,0,132457,8262049
000002.SZ,20260709,2,0,2.98,11452453,5088927,8291620,483,41860,630,0,0,0,0,0,3,8176805,0.00671140939597316,3233788,1113,1113,1113,5088927,0,1113,41860,8218665,3233788,0,4943017,0,41860,3160833
000002.SZ,20260709,3,4,3,8429091,5465369,7416795,143,939130,411,0,0,0,0,0,3,6473465,0,1016496,554,554,554,5465369,0,550,939130,7412595,1016496,0,5456969,0,939130,1012296
000002.SZ,20260709,4,0,3.01,10669381,-7071405,1798988,1081,0,206,0,0,0,0,0,3,2452988,0,8216393,1287,1287,1287,-7071405,0,1287,0,2452988,8216393,0,-5763405,0,0,8870393
000002.SZ,20260709,5,0,3.01,15324164,4200010,9811917,614,99660,745,0,0,0,0,0,3.01,12703002,0.0033333333333332624,2521502,1359,1359,1359,4200010,0,1359,99660,12802662,2521502,0,10181500,0,99660,5512247
000002.SZ,20260709,6,0,3.02,7211087,-5994807,608140,781,0,158,0,0,0,0,0,3,608140,-0.003322259136212554,6602947,939,939,939,-5994807,0,939,0,608140,6602947,0,-5994807,0,0,6602947
000002.SZ,20260709,7,0,3.01,7748229,3202869,5505749,336,60400,1138,0,0,0,0,0,3.01,5352340,0.0033333333333332624,2335489,1474,1474,1474,3202869,0,1474,60400,5412740,2335489,0,3016851,0,60400,2242480
