stock_code,transaction_date,window_id,order_age_missing_count,window_close_price,active_inferred_count,small_passive_buy_amount,order_age_fifo_count,active_buy_count,deal_amount,Q_rule_t,small_passive_sell_amount,signal_deal_buy_amount,window_trade_count,R_seed_t,order_age_unresolved_count,large_active_buy_amount,large_active_sell_amount,passive_quant_amount,passive_retail_amount,side_fallback_count,order_age_direct_count,active_buy_amount,pi_max_price_impact_pct,order_age_recovered_count,active_sell_amount,window_open_price,active_sell_count,active_non_large_amount,signed_large_active_amount,CH_rule_t,signed_mix_qr_amount,signal_deal_sell_amount,unknown_side_amount
000001.SZ,20260709,0,0,10.53,4803,28108420,4,2422,97301819,-4702439,33760399,37345585,4867,0,0,12398943,23034057,404489,0,0,4863,40443211,-0.0018957345971565259,4867,56185253,10.55,2381,-5106928,-10635114,-10635114,-5651979,59956234,0
000001.SZ,20260709,1,0,10.51,5679,17595077,29,3018,45976384,3526592,15264517,20029325,5704,0,0,4013893,9102897,91442,0,0,5675,22066191,-0.0018993352326685255,5704,23720045,10.53,2661,3435150,-5089004,-5089004,2330560,25947059,0
000001.SZ,20260709,2,0,10.52,3444,9158092,1,1260,34318404,1814347,16668763,9856803,3457,0,0,5063514,3428035,-14728,0,0,3456,18883063,0.0009514747859181529,3457,15418509,10.51,2184,1829075,1635479,1635479,-7510671,24461601,0
000001.SZ,20260709,3,0,10.56,3159,16623711.68,1,1988,28178779.68,8721216.32,6991662,19670075.68,3180,0,0,2351868,2211538,21121,0,0,3179,18467363,0.003802281368821381,3180,9626937.68,10.52,1171,8700095.32,140330,140330,9632049.68,8508704,0
000001.SZ,20260709,4,0,10.51,3019,11794306,1,682,41892880,-5153011,7800487,25499549,3019,0,0,3153824,19144263,0,0,0,3018,10374715,-0.004734848484848552,3019,31518165,10.57,2337,-5153011,-15990439,-15990439,3993819,16393331,0
000001.SZ,20260709,5,0,10.54,1413,10180091,1,710,19277284,5980796,3518987,15239705,1423,0,0,5059614,518592,-34749,0,0,1422,14894286,0.002854424357754459,1423,4337719,10.51,703,6015545,4541022,4541022,6661104,4037579,0
000001.SZ,20260709,6,0,10.53,2492,6336170,3,1429,13428781,1348800,6943762,6485019,2492,0,0,148849,0,0,0,0,2489,7463215,-0.0009487666034155396,2492,5965566,10.55,1063,1348800,148849,148849,-607592,6943762,0
000001.SZ,20260709,7,0,10.55,911,3690766,0,498,5305228,2241813,1482567,3822661,911,0,0,131895,0,0,0,0,911,3839468,0.0018993352326686942,911,1465760,10.53,413,2241813,131895,131895,2208199,1482567,0
000001.SZ,20260709,8,0,10.53,1472,3581303,0,358,12889016.94,-2883594.94,6338217.94,3780887,1472,0,0,199584,2769912,0,0,0,1472,3717547,-0.0018957345971565259,1472,9171469.94,10.55,1114,-2883594.94,-2570328,-2570328,-2756914.94,9108129.94,0
000001.SZ,20260709,9,0,10.53,1369,3912743,0,737,6797882.75,24195.25,2885139.75,3912743,1369,0,0,0,0,0,0,0,1369,3411039,0,1369,3386843.75,10.54,632,24195.25,0,0,1027603.25,2885139.75,0
000001.SZ,20260709,10,0,10.54,1729,6058357,0,829,12546339,459242.99999999994,5679256,6095247,1729,0,0,36889.99999999999,771836,0,0,0,1729,6135318,0.0009496676163342628,1729,6411021,10.54,900,459242.99999999994,-734946,-734946,379101,6451092,0
000001.SZ,20260709,11,0,10.54,1231,5138618,0,878,10701504,5452583,5511289,5138618,1231,0,0,0,51597,0,0,0,1231,8051245,0,1231,2650259,10.53,353,5452583,-51597,-51597,-372671,5562886,0
000001.SZ,20260709,12,0,10.52,1225,1497160.54,0,318,5247517,-1928639,3748246.46,1499270.54,1225,0,0,2110,0,0,0,0,1225,1660494,-0.0018975332068310792,1225,3587023,10.54,907,-1928639,2110,2110,-2251085.92,3748246.46,0
