stock_code,transaction_date,window_id,c_p,c_i,c_d,eps,capital_ch,capital_q,capital_retail,capital_mix,noise_ratio,explain_ratio,capital_anchor_error,closure_error
000001.SZ,20260709,0,0,0,0,-0.001896,0,0,0,0,1,0,0,4.34e-19
000001.SZ,20260709,1,-0.011396,-0.000688,0,0.010185,-0.006102,-0.005294,-0,-0.005294,5.3625312606336974,0,0.102801,4.34e-19
000001.SZ,20260709,2,0.000885,0.005353,-0,-0.005286,-0.00309,0.003975,0,0.003975,5.555943185110772,0,0.086982,4.34e-19
000001.SZ,20260709,3,0.003566,-0.002773,0.000317,0.002693,0.002072,0.001494,0,0.001494,0.7081369955172641,0.291863,0.561675,4.34e-19
000001.SZ,20260709,4,-0.00452,0.000825,0.000317,-0.001357,0.000072,-0.004593,-0,-0.004592,0.2865840203569343,0.713416,0.689631,4.34e-19
000001.SZ,20260709,5,0.003158,-0.00003,-0.000949,0.000676,0.001971,0.001187,0,0.0011870000000000001,0.23673931126200276,0.763261,0.142566,4.34e-19
000001.SZ,20260709,6,-0.001394,-0.000053,0.000844,-0.000346,-0.002511,0.001117,0,0.0011170000000000002,0.36463999244886486,0.63536,0.573214,4.34e-19
000001.SZ,20260709,7,0.002013,-0.000043,-0.000423,0.000353,0.000013,0.002,0,0.002,0.18566373838284717,0.814336,0.060661,4.34e-19
000001.SZ,20260709,8,-0.00189,-0.000084,0.000317,-0.000239,0.000017,-0.001907,-0,-0.001907,0.12620042939816653,0.8738,0.5127,4.34e-19
000001.SZ,20260709,9,0.000195,0.00014,-0.000424,0.000089,-0.001059,0.001253,0,0.0012540000000000001,8884.422754994577,0,0.457887,4.34e-19
000001.SZ,20260709,10,-0.000007,0.000044,0.000212,0.0007,0,-0.000007,-0,-0.000007,0.7370129351705124,0.262987,0.661804,4.34e-19
000001.SZ,20260709,11,-0.000368,0.00022,0.000106,0.000042,-0.000218,-0.00015,-0,-0.00015,4235.693969834407,0,0.580612,4.34e-19
000001.SZ,20260709,12,-0.001809,0.000021,-0.000106,-0.000003,-0.000006,-0.001803,-0,-0.0018030000000000001,0.0017595792837754036,0.99824,0.002104,4.34e-19
000001.SZ,20260709,13,0.00274,0.000258,-0.000212,0.000066,-0,0.00274,0,0.00274,0.02300710111683299,0.976993,0.772927,4.34e-19
000001.SZ,20260709,14,-0.00206,-0.000358,0.000532,-0.000009,-0.000757,-0.001303,-0,-0.0013030000000000003,0.0048235306582098975,0.995176,0.195276,4.34e-19
000001.SZ,20260709,15,0.002144,0.000255,-0.000532,0.000032,0.000249,0.001895,0,0.001895,0.016714167155369965,0.983286,0.081288,4.34e-19
000001.SZ,20260709,16,0.002635,-0.000244,0.000425,0.000028,-0.000071,0.002706,0,0.002706,0.009777936848896425,0.990222,0.165117,4.34e-19
000001.SZ,20260709,17,-0.002553,-0.000376,0.000106,-0.000012,-0.001085,-0.001468,-0,-0.0014680000000000001,0.004267544753265908,0.995732,0.424955,4.34e-19
000001.SZ,20260709,18,-0.000637,0.000383,-0.000637,-0.000057,-0,-0.000637,-0,-0.000637,0.05988688242473378,0.940113,0.004828,4.34e-19
000001.SZ,20260709,19,-0.00128,0.000102,0.000212,0.000018,0.000002,-0.001282,-0,-0.0012820000000000002,0.018707234155633058,0.981293,0.011317,4.34e-19
000001.SZ,20260709,20,0.002643,0.000139,-0,0.000068,-0.000001,0.002644,0,0.002644,0.023693911474260507,0.976306,0.294145,4.34e-19
000001.SZ,20260709,21,0.00095,-0.000357,0.000426,-0.000073,0.000094,0.000856,0,0.000856,0.07677408310883249,0.923226,0.758793,4.34e-19
000001.SZ,20260709,22,-0.002439,-0.000166,-0.000213,-0.00002,-0.002102,-0.000337,-0,-0.00033700000000000006,0.0068791864209198006,0.993121,0.179492,4.34e-19
000001.SZ,20260709,23,0.000966,0.000379,-0.000425,0.000028,-0.000887,0.001853,0,0.001853,0.029609980505647088,0.97039,0.028637,4.34e-19
000001.SZ,20260709,24,-0.00125,-0.000116,0.000425,-0.000007,0.001562,-0.002812,-0,-0.0028120000000000003,0.007283049955258565,0.992717,0.363401,4.34e-19
000001.SZ,20260709,25,-0.000659,0.000126,-0.000213,-0.000203,-0.000578,-0.000081,-0,-0.00008100000000000002,0.21419216436813082,0.785808,0.630582,4.34e-19
000001.SZ,20260709,26,0.000036,0.000028,-0,-0.000065,0.000029,0.000007,0,0.000007000000000000001,6456.673158862964,0,0.798787,4.34e-19
000001.SZ,20260709,27,-0.000872,-0.000032,0.000107,-0.000152,0,-0.000872,-0,-0.000872,0.16024500918994047,0.839755,0,4.34e-19
000001.SZ,20260709,28,-0.000953,0.000054,-0.000107,0.000055,0,-0.000953,-0,-0.000953,0.057649266449398405,0.942351,0.006876,4.34e-19
000001.SZ,20260709,29,-0.001105,0.000158,-0,-0.000004,0.00002,-0.001126,-0,-0.0011250000000000001,0.003972040543354599,0.996028,0.016077,4.34e-19
000001.SZ,20260709,30,-0.001019,0.000129,-0,-0.000062,-0.000002,-0.001017,-0,-0.001017,0.06491535077911374,0.935085,0.00094,4.34e-19
000001.SZ,20260709,31,-0.00014,0.0001,-0,0.00004,-0.000007,-0.000133,-0,-0.00013299999999999998,4017.5938302391437,0,0.061746,4.34e-19
000001.SZ,20260709,32,-0.000126,0.00002,0.000107,-0.000001,-0.000051,-0.000075,-0,-0.00007500000000000001,137.88160574458743,0,0.031891,4.34e-19
000001.SZ,20260709,33,-0.000156,-0.000001,0,0.000157,-0.00005,-0.000106,-0,-0.000106,15668.559190484671,0,0.320113,4.34e-19
000001.SZ,20260709,34,-0.000029,0.000078,0,0.000903,-0,-0.000029,-0,-0.000029,0.9477442654266806,0.052256,0.340169,4.34e-19
000001.SZ,20260709,35,-0.002135,0.000321,0.000107,-0.000198,-0.000702,-0.001433,-0,-0.0014330000000000002,0.10383309041754672,0.896167,0.137021,4.34e-19
000001.SZ,20260709,36,0.00106,0.000162,-0.000322,0.000054,0.001814,-0.000755,-0,-0.0007540000000000001,0.05662511976001758,0.943375,0.357988,4.34e-19
000001.SZ,20260709,37,-0.000059,-0.000104,0.000322,-0.000159,0.000146,-0.000205,-0,-0.000205,15881.155299594133,0,0.415701,4.34e-19
000001.SZ,20260709,38,-0,-0.000079,-0.000107,-0.00172,-0,-0,-0,0,0.9019514529393005,0.098049,0.176373,4.34e-19
000001.SZ,20260709,39,0.000812,-0.000599,-0.000215,0.000001,0.000001,0.000811,0,0.000811,133.40569631329387,0,0.441729,4.34e-19
000001.SZ,20260709,40,-0.000175,0.000001,0.000215,-0.00004,-0.000241,0.000065,0,0.000066,3991.1987138401028,0,0.107308,4.34e-19
000001.SZ,20260709,41,0.00017,-0.00002,0,-0.00015,0.000264,-0.000094,-0,-0.00009400000000000001,14989.08471751152,0,0.098478,4.34e-19
000001.SZ,20260709,42,0.001037,-0.000075,0,0.000949,0.000996,0.00004,0,0.00004100000000000002,0.4966150241827084,0.503385,0.822563,4.34e-19
000001.SZ,20260709,43,0.000644,0.000212,0.000215,-0.000119,0.000635,0.000009,0,0.000009000000000000002,0.12455553219869502,0.875444,0.278959,4.34e-19
000001.SZ,20260709,44,0.000392,-0.00019,-0.000108,-0.000094,0.000477,-0.000085,-0,-0.000085,9396.541731187875,0,0.640622,4.34e-19
000001.SZ,20260709,45,0.000162,-0.000047,-0.000107,-0.000007,0.000882,-0.00072,-0,-0.0007199999999999999,722.1735176728256,0,0.550428,4.34e-19
000001.SZ,20260709,46,-0.000916,-0.000004,0,-0.000033,-0,-0.000916,-0,-0.000916,0.03448959059689722,0.96551,0.320638,4.34e-19
000001.SZ,20260709,47,-0.000011,0.000114,-0.000107,0.000004,0.000025,-0.000036,-0,-0.000036,440.9377694409783,0,0.38799,4.34e-19
000002.SZ,20260709,0,-0,0,0,0.003356,-0,-0,0,0,1,0,0,4.34e-19
000002.SZ,20260709,1,-0.003801,0.000453,0,0.000003,-0.006306,0.002505,0,0.002505,0.0009354665887849248,0.999065,0.143066,4.34e-19
000002.SZ,20260709,2,0.006701,0.001222,-0.001219,0.000007,0.006428,0.000273,0,0.00027300000000000067,0.0010907170870234463,0.998909,0.934974,4.34e-19
000002.SZ,20260709,3,0.000613,-0.002446,0.001831,0.000002,-0.000043,0.000656,0,0.000656,212.34931529788818,0,0.279702,4.34e-19
000002.SZ,20260709,4,0.001216,0.000001,-0.001223,0.000005,0.001059,0.000157,0,0.00015700000000000002,542.0312793268187,0,0.870539,4.34e-19
000002.SZ,20260709,5,0.003329,0.000003,0,0.000002,0,0.003329,0,0.003329,0.0005601060292180916,0.99944,0.066802,4.34e-19
000002.SZ,20260709,6,-0.002709,-0.001216,0.000608,-0.000005,0.000418,-0.003127,-0,-0.003127,0.0015093158119150103,0.998491,0.117889,4.34e-19
000002.SZ,20260709,7,0.003347,0.001211,-0.001214,-0.00001,0,0.003347,0,0.003347,0.0028774054291625267,0.997123,0.053829,4.34e-19
000002.SZ,20260709,8,-0.003283,-0.001222,0.001215,-0.000032,0.00045,-0.003733,-0,-0.0037329999999999998,0.009763785266155114,0.990236,0.10767,4.34e-19
000002.SZ,20260709,9,0.000166,0.001197,-0.001216,-0.000147,0,0.000166,0,0.000166,14744.55133990307,0,0.545958,4.34e-19
000002.SZ,20260709,10,-0.003888,-0.000074,0.000607,0.000021,-0.008642,0.004754,0,0.004754,0.006313165792855436,0.993687,0.645101,4.34e-19
000002.SZ,20260709,11,-0.002579,0.001228,-0.000609,-0.001384,0,-0.002579,-0,-0.002579,0.4138121319573091,0.586188,0.000265,4.34e-19
000002.SZ,20260709,12,0.002341,0.00053,-0.000002,0.000487,-0.000006,0.002346,0,0.002347,0.14512622990721466,0.854874,0.002372,4.34e-19
000002.SZ,20260709,13,-0.000049,-0.000983,0.001221,-0.000189,0,-0.000049,-0,-0.000049,18888.418436909276,0,0,4.34e-19
000002.SZ,20260709,14,-0.002533,-0.000094,-0.00061,-0.000107,0,-0.002533,-0,-0.002533,0.03193858254832018,0.968061,0.007491,4.34e-19
000002.SZ,20260709,15,-0.000479,0.00117,-0.000607,-0.000083,-0.000048,-0.000431,-0,-0.00043099999999999996,8314.363060848149,0,0.099839,4.34e-19
000002.SZ,20260709,16,-0.001833,-0.000042,0.000606,-0.002087,0,-0.001833,-0,-0.001833,0.6219060489471149,0.378094,0.87565,4.34e-19
000002.SZ,20260709,17,-0.003298,0.000185,-0.000608,0.000355,-0.004565,0.001267,0,0.0012669999999999995,0.1053354316558523,0.894665,0.308202,4.34e-19
000002.SZ,20260709,18,0.002124,0.00141,-0.000002,-0.000153,0.008184,-0.00606,-0,-0.00606,0.045405163545910454,0.954595,0.272375,4.34e-19
000002.SZ,20260709,19,-0.000102,-0.001314,0.001222,0.000193,-0.000095,-0.000007,-0,-0.000006999999999999994,19347.13371813759,0,0.934217,4.34e-19
000002.SZ,20260709,20,0.00032,0.000097,-0.000612,0.000196,0,0.00032,0,0.00032,19557.596931621552,0,0,4.34e-19
000002.SZ,20260709,21,-0.000032,0.000098,0,-0.000066,0,-0.000032,-0,-0.000032,6573.9180442698025,0,0,4.34e-19
000002.SZ,20260709,22,-0.000178,-0.000033,0,0.000211,0,-0.000178,-0,-0.000178,21053.934903357494,0,0,4.34e-19
000002.SZ,20260709,23,0.000058,0.000105,0,-0.000163,0,0.000058,0,0.000058,16315.479954759718,0,0,4.34e-19
000002.SZ,20260709,24,-0.002054,-0.000082,0,-0.001232,0,-0.002054,-0,-0.002054,0.36577244505128115,0.634228,0,4.34e-19
000002.SZ,20260709,25,0.001895,0.00062,-0.00061,0.001474,0,0.001895,0,0.001895,0.43619405958382945,0.563806,0.003937,4.34e-19
000002.SZ,20260709,26,0.002908,-0.000503,0.001222,-0.00026,0.000005,0.002903,0,0.002903,0.07712431469693089,0.922876,0.00166,4.34e-19
000002.SZ,20260709,27,0.000008,-0.001366,-0.000002,-0.001996,0,0.000008,0,0.000008,0.5947572791383899,0.405243,0.602665,4.34e-19
000002.SZ,20260709,28,-0.002009,0.000234,-0.001219,-0.000373,-0.001514,-0.000495,-0,-0.000495,0.11074944197721914,0.889251,0.58132,4.34e-19
000002.SZ,20260709,29,0.002147,0.00105,-0.000002,0.000184,0.000148,0.001999,0,0.001999,0.05439504456545454,0.945605,0.068716,4.34e-19
000002.SZ,20260709,30,-0.003321,-0.001149,0.001224,-0.000122,-0,-0.003321,-0,-0.003321,0.03619821216570483,0.963802,0.000561,4.34e-19
000002.SZ,20260709,31,0.000077,0.001176,-0.001225,-0.000027,0.000001,0.000076,0,0.000076,2701.709013288168,0,0.009031,4.34e-19
000002.SZ,20260709,32,0.000237,-0.000014,0.000612,-0.000836,0.000003,0.000235,0,0.000234,83568.00025067484,0,0.012235,4.34e-19
000002.SZ,20260709,33,0.00293,-0.000418,0,0.000866,-0,0.00293,0,0.00293,0.2563774328940351,0.743623,0,4.34e-19
000002.SZ,20260709,34,-0.002299,-0.000808,0.000615,-0.000876,-0,-0.002299,-0,-0.002299,0.26003568183146303,0.739964,0.580937,4.34e-19
000002.SZ,20260709,35,0.003427,0.000799,-0.001231,0.000383,0.004893,-0.001466,-0,-0.0014659999999999999,0.11328589411547063,0.886714,0.769453,4.34e-19
000002.SZ,20260709,36,0.003291,-0.00105,0.001233,-0.000107,-0,0.003291,0,0.003291,0.03175384044044798,0.968246,0,4.34e-19
000002.SZ,20260709,37,-0.000324,-0.00129,-0.000002,-0.001739,-0,-0.000324,-0,-0.000324,0.5182889757455846,0.481711,0.017942,4.34e-19
000002.SZ,20260709,38,0.000732,0.000363,-0.001233,0.000139,0.000075,0.000657,0,0.000657,13866.001355518722,0,0.099325,4.34e-19
000002.SZ,20260709,39,-0.003412,0.000069,0.000617,-0.000641,-0.000004,-0.003409,-0,-0.003408,0.19026045522526727,0.80974,0.060854,4.34e-19
000002.SZ,20260709,40,0.002957,0.000916,-0.00062,0.000126,0.000175,0.002781,0,0.002782,0.037229489218485,0.962771,0.041656,4.34e-19
000002.SZ,20260709,41,0.003238,-0.001178,0.001245,0.000061,-0.000018,0.003256,0,0.0032559999999999998,0.01815062358200193,0.981849,0.005482,4.34e-19
000002.SZ,20260709,42,-0.000033,-0.001206,-0.000002,0.001241,-0,-0.000033,-0,-0.000033,124052.9418003331,0,0.627602,4.34e-19
000002.SZ,20260709,43,0.000104,0.00062,-0.000624,-0.0001,-0.000602,0.000706,0,0.000706,9985.709324302752,0,0.460368,4.34e-19
000002.SZ,20260709,44,0.003283,-0.00005,0,0.000122,0,0.003283,0,0.003283,0.0364435947481451,0.963556,0,4.34e-19
000002.SZ,20260709,45,0.000006,-0.001171,0.000624,0.000541,0,0.000006,0,0.000006,54064.73166740597,0,0,4.34e-19
000002.SZ,20260709,46,-0.000743,0.00027,-0.000625,-0.002247,0,-0.000743,-0,-0.000743,0.6717357576836975,0.328264,0,4.34e-19
000002.SZ,20260709,47,-0.000064,0.000104,-0.000623,0.000583,0,-0.000064,-0,-0.000064,58314.30022489759,0,0,4.34e-19
000004.SZ,20260709,0,0,0,0,-0.025,0,-0,0,0,1,0,0,0.00e0
000004.SZ,20260709,1,-0.016972,0.016594,0,0.000379,0,-0.016972,-0,-0.016972,37880.418156581094,0,0,0.00e0
000004.SZ,20260709,2,-0.026682,0.000189,0.008044,0.018449,0,-0.026682,-0,-0.026682,1844892.356806828,0,0,0.00e0
000004.SZ,20260709,3,0.046615,0.009224,0,0.021084,0,0.046615,0,0.046615,0.27409049217932846,0.72591,0,0.00e0
000004.SZ,20260709,4,0.063884,-0.078981,0.021408,-0.006312,0,0.063884,0,0.063884,631234.8819590824,0,0,0.00e0
000004.SZ,20260709,5,0.024,-0.003156,-0.023809,0.002966,0,0.024,0,0.024,296562.50064334366,0,0,0.00e0
000004.SZ,20260709,6,0.000126,0.001483,0,-0.001609,0,0.000126,0,0.000126,160924.67027354537,0,0,0.00e0
000004.SZ,20260709,7,-0.023589,-0.000805,0,0.000584,0,-0.023589,-0,-0.023589,0.02454306443577003,0.975457,0,0.00e0
000004.SZ,20260709,8,-0.009044,0.026995,-0.009423,-0.008528,0,-0.009044,-0,-0.009044,852804.5754776767,0,0,0.00e0
000004.SZ,20260709,9,0.000029,-0.004264,0.008877,-0.004642,0,0.000029,0,0.000029,464208.77914868324,0,0,0.00e0
000004.SZ,20260709,10,0.021053,-0.002321,0,0.005659,0,0.021053,0,0.021053,0.2320042642560043,0.767996,0,0.00e0
000004.SZ,20260709,11,0.016603,-0.024508,0.009098,-0.001194,0,0.016603,0,0.016603,119427.23742932072,0,0,0.00e0
000004.SZ,20260709,12,0.008752,-0.000597,-0.009072,0.000918,0,0.008752,0,0.008752,91804.8930892569,0,0,0.00e0
000004.SZ,20260709,13,0.000346,0.000459,0,-0.000805,0,0.000346,0,0.000346,80486.7878775825,0,0,0.00e0
000004.SZ,20260709,14,0.000395,-0.000402,0,0.000008,0,0.000395,0,0.000395,778.7030533355288,0,0,0.00e0
000004.SZ,20260709,15,0.000124,0.000004,0,-0.000128,0,0.000124,0,0.000124,12836.394290282848,0,0,0.00e0
000004.SZ,20260709,16,0.000102,-0.000064,0,-0.000037,0,0.000102,0,0.000102,3738.6997010891296,0,0,0.00e0
000004.SZ,20260709,17,0.000012,-0.000019,0,0.000007,0,0.000012,0,0.000012,697.7945577267359,0,0,0.00e0
000004.SZ,20260709,18,0.000028,0.000003,0,-0.000031,0,0.000028,0,0.000028,3122.0674057021774,0,0,0.00e0
000004.SZ,20260709,19,0.000008,-0.000016,0,0.000008,0,0.000008,0,0.000008,754.3634352146395,0,0,0.00e0
000004.SZ,20260709,20,-0,0.000004,0,-0.000003,0,-0,-0,-0,346.20840905909944,0,0,0.00e0
000004.SZ,20260709,21,-0,-0.000002,0,0.000002,0,-0,-0,-0,177.69414052417474,0,0,0.00e0
000004.SZ,20260709,22,-0,0.000001,0,-0.000001,0,-0,-0,-0,86.4294703873171,0,0,0.00e0
000004.SZ,20260709,23,-0,-0,0,0.000001,0,-0,-0,-0,54.04137810985081,0,0,0.00e0
000004.SZ,20260709,24,-0,0,0,-0,0,-0,-0,-0,26.89805717724505,0,0,0.00e0
000004.SZ,20260709,25,-0,-0,0,0,0,-0,-0,-0,16.747826097923905,0,0,0.00e0
000004.SZ,20260709,26,-0,0,0,-0,0,-0,-0,-0,4.87014511586615,0,0,0.00e0
000004.SZ,20260709,27,-0,-0,0,0,0,-0,-0,-0,12.753669119981472,0,0,0.00e0
000004.SZ,20260709,28,-0,0,0,0,0,-0,-0,-0,15.907129490696168,0,0,0.00e0
000004.SZ,20260709,29,-0,0,0,-0,0,-0,-0,-0,2.908138922849558,0,0,0.00e0
000004.SZ,20260709,30,-0,-0,0,0,0,-0,-0,-0,2.505199841048755,0,0,0.00e0
000004.SZ,20260709,31,-0,0,0,0,0,-0,-0,-0,2.7942520407852296,0,0,0.00e0
000004.SZ,20260709,32,-0,0,0,0,0,-0,-0,-0,3.8935635564170594,0,0,0.00e0
000004.SZ,20260709,33,-0,0,0,-0,0,-0,-0,-0,0.3175296900802121,0.68247,0,0.00e0
000004.SZ,20260709,34,-0,-0,0,0,0,-0,-0,-0,5.799831214361206,0,0,0.00e0
000004.SZ,20260709,35,-0,0,0,-0,0,-0,-0,-0,0.9728432450981651,0.027157,0,0.00e0
000004.SZ,20260709,36,-0,-0,0,0,0,-0,-0,-0,1.2222128880301468,0,0,0.00e0
000004.SZ,20260709,37,-0,0,0,0,0,-0,-0,-0,1.2108528799310578,0,0,0.00e0
000004.SZ,20260709,38,-0,0,0,0,0,-0,-0,-0,17.614166798476063,0,0,0.00e0
000004.SZ,20260709,39,-0,0,0,-0,0,-0,-0,-0,8.754526880282896,0,0,0.00e0
000004.SZ,20260709,40,-0,-0,0,0,0,-0,-0,-0,4.710121393511894,0,0,0.00e0
000004.SZ,20260709,41,-0,0,0,0,0,-0,-0,-0,5.405785268389747,0,0,0.00e0
000004.SZ,20260709,42,-0,0,0,0,0,-0,-0,-0,22.34904806509418,0,0,0.00e0
000004.SZ,20260709,43,-0,0,0,-0,0,-0,-0,-0,6.076541694436368,0,0,0.00e0
000004.SZ,20260709,44,-0,-0,0,0,0,-0,-0,-0,5.928879389442489,0,0,0.00e0
000004.SZ,20260709,45,-0,0,0,-0,0,-0,-0,-0,2.876845496472035,0,0,0.00e0
000004.SZ,20260709,46,-0,-0,0,0,0,-0,-0,-0,1.9639879377311975,0,0,0.00e0
000004.SZ,20260709,47,-0,0,0,0,0,-0,-0,-0,0.7874088357680223,0.212591,0,0.00e0
000006.SZ,20260709,0,0,0,-0,0.004464,0,-0,0,0,1,0,0,1.73e-18
000006.SZ,20260709,1,0.000293,0.002782,-0,-0.000112,-0.002914,0.003208,0,0.0032069999999999998,0.03796326111512169,0.962037,0.474217,1.73e-18
000006.SZ,20260709,2,0.008084,0.000309,0.000215,0.000254,-0.000014,0.008098,0,0.008098,0.028632032150062374,0.971368,0.289595,1.73e-18
000006.SZ,20260709,3,0.001153,0.001219,-0.000847,-0.000062,0.011101,-0.007241,-0.002707,-0.009948,0.042134499471897874,0.957866,0.034767,1.73e-18
