stock_code,transaction_date,window_id,active_sell_count,CH_rule_t,order_age_direct_count,passive_quant_amount,deal_amount,active_inferred_count,order_age_recovered_count,pi_max_price_impact_pct,order_age_fifo_count,signal_deal_sell_amount,active_sell_amount,active_buy_amount,window_close_price,large_active_sell_amount,order_age_unresolved_count,small_passive_sell_amount,active_buy_count,active_non_large_amount,window_open_price,signed_large_active_amount,small_passive_buy_amount,side_fallback_count,passive_retail_amount,order_age_missing_count,signed_mix_qr_amount,unknown_side_amount,large_active_buy_amount,Q_rule_t,signal_deal_buy_amount,window_trade_count,R_seed_t
000001.SZ,20260709,0,2381,-10635114,4863,404489,97301819,4803,4867,-0.0018957345971565259,4,59956234,56185253,40443211,10.53,23034057,0,33760399,2422,-5106928,10.55,-10635114,28108420,0,0,0,-5651979,0,12398943,-4702439,37345585,4867,0
000001.SZ,20260709,1,2661,-5089004,5675,91442,45976384,5679,5704,-0.0018993352326685255,29,25947059,23720045,22066191,10.51,9102897,0,15264517,3018,3435150,10.53,-5089004,17595077,0,0,0,2330560,0,4013893,3526592,20029325,5704,0
000001.SZ,20260709,2,2184,1635479,3456,-14728,34318404,3444,3457,0.0009514747859181529,1,24461601,15418509,18883063,10.52,3428035,0,16668763,1260,1829075,10.51,1635479,9158092,0,0,0,-7510671,0,5063514,1814347,9856803,3457,0
000001.SZ,20260709,3,1171,140330,3179,21121,28178779.68,3159,3180,0.003802281368821381,1,8508704,9626937.68,18467363,10.56,2211538,0,6991662,1988,8700095.32,10.52,140330,16623711.68,0,0,0,9632049.68,0,2351868,8721216.32,19670075.68,3180,0
000001.SZ,20260709,4,2337,-15990439,3018,0,41892880,3019,3019,-0.004734848484848552,1,16393331,31518165,10374715,10.51,19144263,0,7800487,682,-5153011,10.57,-15990439,11794306,0,0,0,3993819,0,3153824,-5153011,25499549,3019,0
000001.SZ,20260709,5,703,4541022,1422,-34749,19277284,1413,1423,0.002854424357754459,1,4037579,4337719,14894286,10.54,518592,0,3518987,710,6015545,10.51,4541022,10180091,0,0,0,6661104,0,5059614,5980796,15239705,1423,0
000001.SZ,20260709,6,1063,148849,2489,0,13428781,2492,2492,-0.0009487666034155396,3,6943762,5965566,7463215,10.53,0,0,6943762,1429,1348800,10.55,148849,6336170,0,0,0,-607592,0,148849,1348800,6485019,2492,0
000001.SZ,20260709,7,413,131895,911,0,5305228,911,911,0.0018993352326686942,0,1482567,1465760,3839468,10.55,0,0,1482567,498,2241813,10.53,131895,3690766,0,0,0,2208199,0,131895,2241813,3822661,911,0
000001.SZ,20260709,8,1114,-2570328,1472,0,12889016.94,1472,1472,-0.0018957345971565259,0,9108129.94,9171469.94,3717547,10.53,2769912,0,6338217.94,358,-2883594.94,10.55,-2570328,3581303,0,0,0,-2756914.94,0,199584,-2883594.94,3780887,1472,0
000001.SZ,20260709,9,632,0,1369,0,6797882.75,1369,1369,0,0,2885139.75,3386843.75,3411039,10.53,0,0,2885139.75,737,24195.25,10.54,0,3912743,0,0,0,1027603.25,0,0,24195.25,3912743,1369,0
000001.SZ,20260709,10,900,-734946,1729,0,12546339,1729,1729,0.0009496676163342628,0,6451092,6411021,6135318,10.54,771836,0,5679256,829,459242.99999999994,10.54,-734946,6058357,0,0,0,379101,0,36889.99999999999,459242.99999999994,6095247,1729,0
000001.SZ,20260709,11,353,-51597,1231,0,10701504,1231,1231,0,0,5562886,2650259,8051245,10.54,51597,0,5511289,878,5452583,10.53,-51597,5138618,0,0,0,-372671,0,0,5452583,5138618,1231,0
000001.SZ,20260709,12,907,2110,1225,0,5247517,1225,1225,-0.0018975332068310792,0,3748246.46,3587023,1660494,10.52,0,0,3748246.46,318,-1928639,10.54,2110,1497160.54,0,0,0,-2251085.92,0,2110,-1928639,1499270.54,1225,0
000001.SZ,20260709,13,575,3720099,1185,0,17976584,1196,1196,0.0028517110266160777,11,6995109,6460172,11516412,10.55,0,0,6468609,621,1336141,10.53,3720099,7787876,0,0,0,1319267,0,3720099,1336141,10981475,1196,0
000001.SZ,20260709,14,687,-593402,987,0,7030411,987,987,-0.0018957345971565259,0,4626005.5,5556654,1473757,10.53,593402,0,4032603.5,300,-3489495,10.55,-593402,2404405.5,0,0,0,-1628198,0,0,-3489495,2404405.5,987,0
000001.SZ,20260709,15,294,149810,1029,46411,9305829,1009,1029,0.0018993352326686942,0,2162506,2027581,7170659,10.55,0,0,2162506,715,4993268,10.53,149810,6993513,0,0,0,4831007,0,149810,5039679,7143323,1029,0
000001.SZ,20260709,16,535,1796618,1461,0,21983485,1462,1462,0.0028436018957345363,1,6061368,5429611,16553874,10.58,134179,0,5927189,927,9327645,10.55,1796618,13991320,0,0,0,8064131,0,1930797,9327645,15922117,1462,0
000001.SZ,20260709,17,545,0,685,0,5784591,685,685,-0.0028355387523628884,0,4085759,4207312,1577279,10.55,0,0,4085759,140,-2630033,10.57,0,1698832,0,0,0,-2386927,0,0,-2630033,1698832,685,0
000001.SZ,20260709,18,261,-9486,780,0,6434686,780,780,-0.0009478672985783472,0,2234558,2026723,4407963,10.54,9486,0,2225072,519,2390726,10.56,-9486,4200128,0,0,0,1975056,0,0,2390726,4200128,780,0
000001.SZ,20260709,19,609,22179,954,0,7457599,954,954,-0.0009487666034155396,0,4923705,4742244,2715355,10.53,1053,0,4922652,345,-2049068,10.55,22179,2510662,0,0,0,-2411990,0,23232,-2049068,2533894,954,0
000001.SZ,20260709,20,454,911805,1130,0,10652951,1131,1131,0.002849002849002957,1,5731638,6205478,4447473,10.56,4208,0,5727430,677,-2669810,10.53,911805,4005300,0,0,0,-1722130,0,916012.9999999999,-2669810,4921313,1131,0
000001.SZ,20260709,21,444,-2122894,902,-22155,14496356,893,903,0.0009469696969696767,1,8211398,8030075,6359726,10.57,2720131,0,5491267,449,452545,10.56,-2122894,5687721,0,0,0,196454,0,597237,430390,6284958,903,0
000001.SZ,20260709,22,260,-3162872,404,0,7912520,404,404,-0.0028382213812678464,0,6820742,6438020,1474500,10.54,3162872,0,3657870,144,-1800648,10.56,-3162872,1091778,0,0,0,-2566092,0,0,-1800648,1091778,404,0
000001.SZ,20260709,23,128,1660570,550,0,7599576,550,550,0.0009487666034157081,0,1924467,1102679,6496897,10.55,0,0,1846397,422,3733648,10.54,1660570,4092609,0,0,0,2246212,0,1660570,3733648,5675109,550,0
000001.SZ,20260709,24,784,-360417,1381,0,8454799,1381,1381,-0.0009478672985783472,0,4228148,4322123,4132676,10.54,417463,0,3810685,597,170970,10.54,-360417,4169605,0,0,0,358920,0,57046,170970,4226651,1381,0
000001.SZ,20260709,25,565,21102,897,0,7690831,897,897,-0.0009487666034155396,0,3701699,3795505,3895326,10.53,1053,0,3700646,332,78719,10.54,21102,3966977,0,0,0,266331,0,22155,78719,3989132,897,0
000001.SZ,20260709,26,332,0,533,0,4432490,533,533,0,0,2662774,2824936,1607554,10.53,0,0,2662774,201,-1217382,10.54,0,1769716,0,0,0,-893058,0,0,-1217382,1769716,533,0
000001.SZ,20260709,27,612,0,989,0,9984018,989,989,-0.0009496676163342628,0,6716446,7032046,2951972,10.52,0,0,6716446,377,-4080074,10.52,0,3267572,0,0,0,-3448874,0,0,-4080074,3267572,989,0
000001.SZ,20260709,28,726,27358,1106,0,13633599,1106,1106,-0.000950570342205303,0,8250560.640000001,9218910,4414689,10.51,3150,0,8247410.640000001,380,-4831579,10.51,27358,5352530.359999999,0,0,0,-2894880.28,0,30508,-4831579,5383038.359999999,1106,0
000001.SZ,20260709,29,405,-3339,696,0,5839362,696,696,-0.0009514747859181529,0,4019105.82,4088471.82,1750890.18,10.5,3339,0,4015766.82,291,-2334242.64,10.51,-3339,1820256.18,0,0,0,-2195510.64,0,0,-2334242.64,1820256.18,696,0
000001.SZ,20260709,30,997,-22029,1395,0,14916809,1395,1395,-0.0009523809523809321,0,10379913,12448413,2468396,10.49,22029,0,10357884,398,-9957988,10.51,-22029,4536896,0,0,0,-5820988,0,0,-9957988,4536896,1395,0
000001.SZ,20260709,31,944,-442256,1246,0,12581048,1246,1246,0,0,8698753,8634764,3946284,10.49,442256,0,8256497,302,-4246224,10.49,-442256,3882295,0,0,0,-4374202,0,0,-4246224,3882295,1246,0
000001.SZ,20260709,32,584,584878,1047,0,9440676,1048,1048,0,1,5019322,5034008,4406668,10.49,14672,0,5004650,464,-1212218,10.5,584878,3821804,0,0,0,-1182846,0,599550,-1212218,4421354,1048,0
000001.SZ,20260709,33,402,0,842,0,8116786,842,842,0,0,4105786,4105786,4011000,10.49,0,0,4105786,440,-94786,10.5,0,4011000,0,0,0,-94786,0,0,-94786,4011000,842,0
000001.SZ,20260709,34,628,1013206,1268,0,12287976,1268,1268,0.0009532888465204754,0,6166590,6838969,5449007,10.5,22029,0,6144561,640,-2403168,10.49,1013206,5086151,0,0,0,-1058410,0,1035235,-2403168,6121386,1268,0
000001.SZ,20260709,35,769,-3399095,1365,0,16763906,1365,1365,-0.0019047619047618642,0,12841040,12465840,4298066,10.48,3676031,0,9165009,596,-4768679,10.49,-3399095,3645930,0,0,0,-5519079,0,276936,-4768679,3922866,1365,0
000001.SZ,20260709,36,781,-659163,1624,0,9534246,1624,1624,0.0009541984732824223,0,4240647,4342425,5191821,10.49,689584,0,3551063,843,1508559,10.48,-659163,5263178,0,0,0,1712115,0,30421,1508559,5293599,1624,0
000001.SZ,20260709,37,552,0,1195,0,10677922,1195,1195,0,0,6126311,5338512,5339410,10.49,0,0,6126311,643,898,10.48,0,4551611,0,0,0,-1574700,0,0,898,4551611,1195,0
000001.SZ,20260709,38,1293,1349398,1984,0,20960631,1984,1984,-0.0019065776930409508,0,10989206,13658226,7302405,10.47,1724899,0,10431712,691,-7705219,10.48,1349398,5729723,0,0,0,-4701989,0,3074297,-7705219,9971425,1984,0
000001.SZ,20260709,39,672,-2598140.0000000005,1540,0,18193130,1540,1540,0,0,12255486,12395784,5797346,10.47,2663116.0000000005,0,9592370,868,-4000298,10.47,-2598140.0000000005,5872668,0,0,0,-3719702,0,64976,-4000298,5937644,1540,0
000001.SZ,20260709,40,736,-3200660,1839,0,18972257,1844,1844,0,5,8170674,10854135,8118122,10.47,3220572,0,7647174,1108,464647,10.47,-3200660,8084599,0,0,0,437425,0,19912,464647,10801583,1844,0
000001.SZ,20260709,41,710,-639248,1709,0,15498854,1709,1709,0,0,8096719,8145928,7352926,10.47,1112944,0,6983775,999,-153754.00000000012,10.47,-639248,6928439,0,0,0,-55336.000000000015,0,473696,-153754.00000000012,7402135,1709,0
000001.SZ,20260709,42,1297,-624327,3059,0,19420299,3065,3065,0.0019102196752626144,6,8957846,7647911,11772388,10.49,799510,0,8158336,1768,4748804,10.47,-624327,10287270,0,0,0,2128934,0,175183,4748804,10462453,3065,0
000001.SZ,20260709,43,1436,-1046952,2375,-122733,15195437,2346,2379,0.0009532888465204754,4,8392289,8183538,6727620,10.5,1046952,0,7345337,910,-408966,10.49,-1046952,6803148,0,0,0,-542189,0,0,-531699,6803148,2379,0
000001.SZ,20260709,44,1478,-1617461,1870,0,15577473,1885,1885,0,15,10367170,12357123,3220350,10.5,1617461,0,9648702,407,-7519312,10.49,-1617461,4311310,0,0,0,-5337392,0,0,-7519312,5210303,1885,0
000001.SZ,20260709,45,1224,0,2314,0,18357486,2314,2314,0,0,10662036,10662036,7695450,10.5,0,0,10662036,1090,-2966586,10.5,0,7695450,0,0,0,-2966586,0,0,-2966586,7695450,2314,0
000001.SZ,20260709,46,1213,-45255,2582,-34650,28685867.72,2444,2597,-0.0009523809523809321,15,16574568.72,14036734.72,13908883,10.49,780456,0,15794112.72,1231,-82596.71999999997,10.5,-45255,11376098,0,0,0,-4418014.720000001,0,735201,-117246.71999999997,12111299,2597,0
000001.SZ,20260709,47,1389,-145820.72,1691,0,15205772.98,1695,1695,0,4,8341046.98,12250911.98,2954861,10.49,295062.72,0,8045984.260000001,306,-9150230.260000002,10.5,-145820.72,6715484,0,0,0,-1330500.2600000002,0,149242,-9150230.260000002,6864726,1695,0
000002.SZ,20260709,0,765,3487102.21,1474,0,18987051.49,1474,1474,0.0033557046979866547,0,10348037.12,10285158.7,8701892.79,2.99,49872,0,7641223.91,709,-5070368.12,2.98,3487102.21,7758981.37,0,0,0,117757.45999999996,0,3536974.21,-5070368.12,8639014.370000001,1474,0
000002.SZ,20260709,1,814,-1992548.3,1991,0,13542795,1991,1991,-0.0033444816053512477,0,8628589,8262049,5280746,2.98,2125005.3,0,6503583.7,1177,-988754.7,2.99,-1992548.3,4781749,0,0,0,-1721834.7000000002,0,132457,-988754.7,4914206,1991,0
000002.SZ,20260709,2,483,41860,1113,0,11452453,1113,1113,0.00671140939597316,0,3233788,3160833,8291620,3,0,0,3233788,630,5088927,2.98,41860,8176805,0,0,0,4943017,0,41860,5088927,8218665,1113,0
000002.SZ,20260709,3,143,939130,550,0,8429091,554,554,0,4,1016496,1012296,7416795,3,0,0,1016496,411,5465369,3,939130,6473465,0,0,0,5456969,0,939130,5465369,7412595,554,0
000002.SZ,20260709,4,1081,0,1287,0,10669381,1287,1287,0,0,8216393,8870393,1798988,3,0,0,8216393,206,-7071405,3.01,0,2452988,0,0,0,-5763405,0,0,-7071405,2452988,1287,0
000002.SZ,20260709,5,614,99660,1359,0,15324164,1359,1359,0.0033333333333332624,0,2521502,5512247,9811917,3.01,0,0,2521502,745,4200010,3.01,99660,12703002,0,0,0,10181500,0,99660,4200010,12802662,1359,0
000002.SZ,20260709,6,781,0,939,0,7211087,939,939,-0.003322259136212554,0,6602947,6602947,608140,3,0,0,6602947,158,-5994807,3.02,0,608140,0,0,0,-5994807,0,0,-5994807,608140,939,0
000002.SZ,20260709,7,336,60400,1474,0,7748229,1474,1474,0.0033333333333332624,0,2335489,2242480,5505749,3.01,0,0,2335489,1138,3202869,3.01,60400,5352340,0,0,0,3016851,0,60400,3202869,5412740,1474,0
000002.SZ,20260709,8,280,0,663,-5117,4403852,659,663,-0.003322259136212554,0,3001972,3020333,1378402,3,0,0,3001972,379,-1641931,3.01,0,1401880,0,0,0,-1600092,0,0,-1647048,1401880,663,0
000002.SZ,20260709,9,293,-765000,355,0,3281492,355,355,0,0,2982900,2982900,298592,3,765000,0,2217900,62,-1919308,3.01,-765000,298592,0,0,0,-1919308,0,0,-1919308,298592,355,0
000002.SZ,20260709,10,201,0,720,0,3325867,720,720,-0.0033333333333332624,0,1415736,1434636,1891231,2.99,0,0,1415736,519,456595,3,0,1910131,0,0,0,494395,0,0,456595,1910131,720,0
000002.SZ,20260709,11,856,-596,981,0,7911736,981,981,-0.0033444816053512477,0,7348359,7349256,562480,2.98,596,0,7347763,125,-6786180,2.99,-596,563377,0,0,0,-6784386,0,0,-6786180,563377,981,0
000002.SZ,20260709,12,157,0,232,0,1497401,232,232,0.0033557046979866547,0,1244746,1244746,252655,2.99,0,0,1244746,75,-992091,2.98,0,252655,0,0,0,-992091,0,0,-992091,252655,232,0
000002.SZ,20260709,13,311,0,378,0,3162876,378,378,0,0,2835172,2835172,327704,2.99,0,0,2835172,67,-2507468,2.99,0,327704,0,0,0,-2507468,0,0,-2507468,327704,378,0
000002.SZ,20260709,14,414,-7425.000000000001,558,0,5047674,558,558,-0.0033444816053512477,0,4002474,4011414,1036260,2.98,7425.000000000001,0,3995049,144,-2967729,2.99,-7425.000000000001,1045200,0,0,0,-2949849,0,0,-2967729,1045200,558,0
000002.SZ,20260709,15,76,0,217,0,1316491,217,217,0,0,464211,464211,852280,2.98,0,0,464211,141,388069,2.98,0,852280,0,0,0,388069,0,0,388069,852280,217,0
000002.SZ,20260709,16,84,-1057320,197,0,2723149,197,197,-0.0033557046979865056,0,2116719,2116719,606430,2.97,1057320,0,1059399,113,-452969,2.97,-1057320,606430,0,0,0,-452969,0,0,-452969,606430,197,0
000002.SZ,20260709,17,211,2153547,848,0,12954238.3,848,848,-0.0033670033670034445,0,12362596.3,1803979,11150259.3,2.96,0,0,10209049.3,637,7192733.3,2.97,2153547,591642,0,0,0,-9617407.3,0,2153547,7192733.3,591642,848,0
