stock_code,transaction_date,window_id,deal_amount,signal_deal_buy_amount,signal_deal_sell_amount,signed_large_active_amount,signed_mix_qr_amount,CH_rule_t,Q_rule_t,R_seed_t,large_active_buy_amount,large_active_sell_amount,small_passive_buy_amount,small_passive_sell_amount,unknown_side_amount,window_open_price,window_close_price,window_trade_count,active_inferred_count,side_fallback_count,low_fallback_count,order_age_recovered_count,order_age_missing_count,order_age_direct_count,order_age_fifo_count,order_age_unresolved_count,active_buy_count,active_sell_count,active_buy_amount,active_sell_amount,pi_max_price_impact_pct
000001.SZ,20260709,0,97301819,37345585,59956234,-10635114,-5651979,-10635114,-4702439,0,12398943,23034057,28108420,33760399,0,10.55,10.53,4867,4803,0,,4867,0,4863,4,0,2422,2381,40443211,56185253,-0.0018957345971565259
000001.SZ,20260709,1,45976384,20029325,25947059,-5089004,2330560,-5089004,3526592,0,4013893,9102897,17595077,15264517,0,10.53,10.51,5704,5679,0,,5704,0,5675,29,0,3018,2661,22066191,23720045,-0.0018993352326685255
000001.SZ,20260709,2,34318404,9856803,24461601,1635479,-7510671,1635479,1814347,0,5063514,3428035,9158092,16668763,0,10.51,10.52,3457,3444,0,,3457,0,3456,1,0,1260,2184,18883063,15418509,0.0009514747859181529
000001.SZ,20260709,3,28178779.68,19670075.68,8508704,140330,9632049.68,140330,8721216.32,0,2351868,2211538,16623711.68,6991662,0,10.52,10.56,3180,3159,0,,3180,0,3179,1,0,1988,1171,18467363,9626937.68,0.003802281368821381
000001.SZ,20260709,4,41892880,25499549,16393331,-15990439,3993819,-15990439,-5153011,0,3153824,19144263,11794306,7800487,0,10.57,10.51,3019,3019,0,,3019,0,3018,1,0,682,2337,10374715,31518165,-0.004734848484848552
000001.SZ,20260709,5,19277284,15239705,4037579,4541022,6661104,4541022,5980796,0,5059614,518592,10180091,3518987,0,10.51,10.54,1423,1413,0,,1423,0,1422,1,0,710,703,14894286,4337719,0.002854424357754459
000001.SZ,20260709,6,13428781,6485019,6943762,148849,-607592,148849,1348800,0,148849,0,6336170,6943762,0,10.55,10.53,2492,2492,0,,2492,0,2489,3,0,1429,1063,7463215,5965566,-0.0009487666034155396
000001.SZ,20260709,7,5305228,3822661,1482567,131895,2208199,131895,2241813,0,131895,0,3690766,1482567,0,10.53,10.55,911,911,0,,911,0,911,0,0,498,413,3839468,1465760,0.0018993352326686942
000001.SZ,20260709,8,12889016.94,3780887,9108129.94,-2570328,-2756914.94,-2570328,-2883594.94,0,199584,2769912,3581303,6338217.94,0,10.55,10.53,1472,1472,0,,1472,0,1472,0,0,358,1114,3717547,9171469.94,-0.0018957345971565259
000001.SZ,20260709,9,6797882.75,3912743,2885139.75,0,1027603.25,0,24195.25,0,0,0,3912743,2885139.75,0,10.54,10.53,1369,1369,0,,1369,0,1369,0,0,737,632,3411039,3386843.75,0
000001.SZ,20260709,10,12546339,6095247,6451092,-734946,379101,-734946,459242.99999999994,0,36889.99999999999,771836,6058357,5679256,0,10.54,10.54,1729,1729,0,,1729,0,1729,0,0,829,900,6135318,6411021,0.0009496676163342628
