stock_code,transaction_date,window_id,mode_name,phi,beta_ch,beta_q,beta_retail,beta_mix,theta,covariance_diag
000001.SZ,20260709,0,baseline_4d,-0.136912,0.002032,0.00462,0,0.00462,0.110965,
000001.SZ,20260709,1,baseline_4d,-0.136925,0.002034,0.004625,0,0.004625,0.111021,
000001.SZ,20260709,2,baseline_4d,-0.136939,0.00204,0.004631,0,0.004631,0.111076,
000001.SZ,20260709,3,baseline_4d,-0.136952,0.004256,0.003384,0,0.003384,0.111132,
000001.SZ,20260709,4,baseline_4d,-0.136967,0.001733,-0.002163,0,-0.002163,0.111173,
000001.SZ,20260709,5,baseline_4d,-0.13698,-0.000657,-0.000947,0,-0.000947,0.111219,
000001.SZ,20260709,6,baseline_4d,-0.136993,-0.001858,0.000767,0,0.000767,0.111267,
000001.SZ,20260709,7,baseline_4d,-0.137005,0.000293,0.006091,0,0.006091,0.111324,
000001.SZ,20260709,8,baseline_4d,-0.137013,0.000432,-0.003494,0,-0.003494,0.111468,
000001.SZ,20260709,9,baseline_4d,-0.137017,0.001384,-0.001785,0,-0.001785,0.111641,
000001.SZ,20260709,10,baseline_4d,-0.137021,0.00119,-0.001127,0,-0.001127,0.111811,
000001.SZ,20260709,11,baseline_4d,-0.137025,0.000997,-0.001344,0,-0.001344,0.11184,
000001.SZ,20260709,12,baseline_4d,-0.13703,0.000405,-0.001358,0,-0.001358,0.11187,
000001.SZ,20260709,13,baseline_4d,-0.137034,-0.000135,-0.005836,0,-0.005836,0.111902,
000001.SZ,20260709,14,baseline_4d,-0.137035,-0.000684,-0.004007,0,-0.004007,0.111946,
000001.SZ,20260709,15,baseline_4d,-0.137037,-0.001412,-0.00223,0,-0.00223,0.11199,
000001.SZ,20260709,16,baseline_4d,-0.137038,-0.001588,0.002206,0,0.002206,0.112042,
000001.SZ,20260709,17,baseline_4d,-0.13704,-0.002029,-0.000647,0,-0.000647,0.112082,
000001.SZ,20260709,18,baseline_4d,-0.137042,-0.001411,0.000995,0,0.000995,0.112123,
000001.SZ,20260709,19,baseline_4d,-0.137045,-0.000794,-0.002203,0,-0.002203,0.112143,
000001.SZ,20260709,20,baseline_4d,-0.137049,-0.000177,-0.0053,0,-0.0053,0.112163,
000001.SZ,20260709,21,baseline_4d,-0.137051,0.000347,-0.001317,0,-0.001317,0.112182,
000001.SZ,20260709,22,baseline_4d,-0.137051,0.003327,-0.003217,0,-0.003217,0.112219,
000001.SZ,20260709,23,baseline_4d,-0.13705,0.000942,-0.004227,0,-0.004227,0.112248,
000001.SZ,20260709,24,baseline_4d,-0.137048,0.00316,-0.003094,0,-0.003094,0.112286,
000001.SZ,20260709,25,baseline_4d,-0.137045,0.005389,-0.00194,0,-0.00194,0.112325,
000001.SZ,20260709,26,baseline_4d,-0.137046,0.00461,0.000381,0,0.000381,0.112336,
000001.SZ,20260709,27,baseline_4d,-0.137047,0.00391,0.002942,0,0.002942,0.112348,
000001.SZ,20260709,28,baseline_4d,-0.137049,0.003209,0.000959,0,0.000959,0.112367,
000001.SZ,20260709,29,baseline_4d,-0.13705,0.002508,0.000957,0,0.000957,0.112387,
000001.SZ,20260709,30,baseline_4d,-0.137051,0.001802,0.00179,0,0.00179,0.112406,
000001.SZ,20260709,31,baseline_4d,-0.137053,0.001091,0.000055,0,0.000055,0.112426,
000001.SZ,20260709,32,baseline_4d,-0.137054,0.000385,0.000073,0,0.000073,0.112446,
000001.SZ,20260709,33,baseline_4d,-0.137056,-0.000287,0.000359,0,0.000359,0.112466,
000001.SZ,20260709,34,baseline_4d,-0.137057,-0.001307,0.001236,0,0.001236,0.112485,
000001.SZ,20260709,35,baseline_4d,-0.137059,-0.002327,0.00245,0,0.00245,0.112505,
000001.SZ,20260709,36,baseline_4d,-0.13706,-0.001793,0.00065,0,0.00065,0.112527,
000001.SZ,20260709,37,baseline_4d,-0.137061,-0.000744,-0.000559,0,-0.000559,0.11255,
