stock_code,transaction_date,window_id,small_passive_buy_amount,active_inferred_count,order_age_missing_count,order_age_fifo_count,Q_rule_t,active_sell_amount,active_buy_amount,active_sell_count,window_trade_count,signal_deal_sell_amount,small_passive_sell_amount,signal_deal_buy_amount,pi_max_price_impact_pct,R_seed_t,window_close_price,order_age_recovered_count,deal_amount,active_buy_count,signed_mix_qr_amount,large_active_buy_amount,side_fallback_count,window_open_price,order_age_unresolved_count,order_age_direct_count,passive_retail_amount,unknown_side_amount,large_active_sell_amount,passive_quant_amount,signed_large_active_amount,active_non_large_amount,CH_rule_t
000001.SZ,20260709,0,28108420,4803,0,4,-4702439,56185253,40443211,2381,4867,59956234,33760399,37345585,-0.0018957345971565259,0,10.53,4867,97301819,2422,-5651979,12398943,0,10.55,0,4863,0,0,23034057,404489,-10635114,-5106928,-10635114
000001.SZ,20260709,1,17595077,5679,0,29,3526592,23720045,22066191,2661,5704,25947059,15264517,20029325,-0.0018993352326685255,0,10.51,5704,45976384,3018,2330560,4013893,0,10.53,0,5675,0,0,9102897,91442,-5089004,3435150,-5089004
000001.SZ,20260709,2,9158092,3444,0,1,1814347,15418509,18883063,2184,3457,24461601,16668763,9856803,0.0009514747859181529,0,10.52,3457,34318404,1260,-7510671,5063514,0,10.51,0,3456,0,0,3428035,-14728,1635479,1829075,1635479
000001.SZ,20260709,3,16623711.68,3159,0,1,8721216.32,9626937.68,18467363,1171,3180,8508704,6991662,19670075.68,0.003802281368821381,0,10.56,3180,28178779.68,1988,9632049.68,2351868,0,10.52,0,3179,0,0,2211538,21121,140330,8700095.32,140330
000001.SZ,20260709,4,11794306,3019,0,1,-5153011,31518165,10374715,2337,3019,16393331,7800487,25499549,-0.004734848484848552,0,10.51,3019,41892880,682,3993819,3153824,0,10.57,0,3018,0,0,19144263,0,-15990439,-5153011,-15990439
000001.SZ,20260709,5,10180091,1413,0,1,5980796,4337719,14894286,703,1423,4037579,3518987,15239705,0.002854424357754459,0,10.54,1423,19277284,710,6661104,5059614,0,10.51,0,1422,0,0,518592,-34749,4541022,6015545,4541022
000001.SZ,20260709,6,6336170,2492,0,3,1348800,5965566,7463215,1063,2492,6943762,6943762,6485019,-0.0009487666034155396,0,10.53,2492,13428781,1429,-607592,148849,0,10.55,0,2489,0,0,0,0,148849,1348800,148849
000001.SZ,20260709,7,3690766,911,0,0,2241813,1465760,3839468,413,911,1482567,1482567,3822661,0.0018993352326686942,0,10.55,911,5305228,498,2208199,131895,0,10.53,0,911,0,0,0,0,131895,2241813,131895
000001.SZ,20260709,8,3581303,1472,0,0,-2883594.94,9171469.94,3717547,1114,1472,9108129.94,6338217.94,3780887,-0.0018957345971565259,0,10.53,1472,12889016.94,358,-2756914.94,199584,0,10.55,0,1472,0,0,2769912,0,-2570328,-2883594.94,-2570328
000001.SZ,20260709,9,3912743,1369,0,0,24195.25,3386843.75,3411039,632,1369,2885139.75,2885139.75,3912743,0,0,10.53,1369,6797882.75,737,1027603.25,0,0,10.54,0,1369,0,0,0,0,0,24195.25,0
