stock_code,transaction_date,window_id,c_p,c_i,c_d,eps,capital_ch,capital_q,capital_retail,capital_mix,noise_ratio,explain_ratio,capital_anchor_error,closure_error
000002.SZ,20260709,0,-0.0,0.0,0.0,0.003356,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,4.34e-19
000002.SZ,20260709,1,-0.003801,0.000453,0.0,3e-06,-0.006306,0.002505,0.0,0.002505,0.000935,0.999065,0.143066,4.34e-19
000002.SZ,20260709,2,0.006701,0.001222,-0.001219,7e-06,0.006428,0.000273,0.0,0.000273,0.001091,0.998909,0.934974,4.34e-19
000002.SZ,20260709,3,0.000613,-0.002446,0.001831,2e-06,-4.3e-05,0.000656,0.0,0.000656,212.349315,0.0,0.279702,4.34e-19
000002.SZ,20260709,4,0.001216,1e-06,-0.001223,5e-06,0.001059,0.000157,0.0,0.000157,542.031279,0.0,0.870539,4.34e-19
000002.SZ,20260709,5,0.003329,3e-06,0.0,2e-06,0.0,0.003329,0.0,0.003329,0.00056,0.99944,0.066802,4.34e-19
000002.SZ,20260709,6,-0.002709,-0.001216,0.000608,-5e-06,0.000418,-0.003127,-0.0,-0.003127,0.001509,0.998491,0.117889,4.34e-19
000002.SZ,20260709,7,0.003347,0.001211,-0.001214,-1e-05,0.0,0.003347,0.0,0.003347,0.002877,0.997123,0.053829,4.34e-19
000002.SZ,20260709,8,-0.003283,-0.001222,0.001215,-3.2e-05,0.00045,-0.003733,-0.0,-0.003733,0.009764,0.990236,0.10767,4.34e-19
000002.SZ,20260709,9,0.000166,0.001197,-0.001216,-0.000147,0.0,0.000166,0.0,0.000166,14744.55134,0.0,0.545958,4.34e-19
000002.SZ,20260709,10,-0.003888,-7.4e-05,0.000607,2.1e-05,-0.008642,0.004754,0.0,0.004754,0.006313,0.993687,0.645101,4.34e-19
000002.SZ,20260709,11,-0.002579,0.001228,-0.000609,-0.001384,0.0,-0.002579,-0.0,-0.002579,0.413812,0.586188,0.000265,4.34e-19
000002.SZ,20260709,12,0.002341,0.00053,-2e-06,0.000487,-6e-06,0.002346,0.0,0.002346,0.145126,0.854874,0.002372,4.34e-19
000002.SZ,20260709,13,-4.9e-05,-0.000983,0.001221,-0.000189,0.0,-4.9e-05,-0.0,-4.9e-05,18888.418437,0.0,0.0,4.34e-19
000002.SZ,20260709,14,-0.002533,-9.4e-05,-0.00061,-0.000107,0.0,-0.002533,-0.0,-0.002533,0.031939,0.968061,0.007491,4.34e-19
000002.SZ,20260709,15,-0.000479,0.00117,-0.000607,-8.3e-05,-4.8e-05,-0.000431,-0.0,-0.000431,8314.363061,0.0,0.099839,4.34e-19
000002.SZ,20260709,16,-0.001833,-4.2e-05,0.000606,-0.002087,0.0,-0.001833,-0.0,-0.001833,0.621906,0.378094,0.87565,4.34e-19
000002.SZ,20260709,17,-0.003298,0.000185,-0.000608,0.000355,-0.004565,0.001267,0.0,0.001267,0.105335,0.894665,0.308202,4.34e-19
000002.SZ,20260709,18,0.002124,0.00141,-2e-06,-0.000153,0.008184,-0.00606,-0.0,-0.00606,0.045405,0.954595,0.272375,4.34e-19
000002.SZ,20260709,19,-0.000102,-0.001314,0.001222,0.000193,-9.5e-05,-7e-06,-0.0,-7e-06,19347.133718,0.0,0.934217,4.34e-19
000002.SZ,20260709,20,0.00032,9.7e-05,-0.000612,0.000196,0.0,0.00032,0.0,0.00032,19557.596932,0.0,0.0,4.34e-19
000002.SZ,20260709,21,-3.2e-05,9.8e-05,0.0,-6.6e-05,0.0,-3.2e-05,-0.0,-3.2e-05,6573.918044,0.0,0.0,4.34e-19
000002.SZ,20260709,22,-0.000178,-3.3e-05,0.0,0.000211,0.0,-0.000178,-0.0,-0.000178,21053.934903,0.0,0.0,4.34e-19
000002.SZ,20260709,23,5.8e-05,0.000105,0.0,-0.000163,0.0,5.8e-05,0.0,5.8e-05,16315.479955,0.0,0.0,4.34e-19
000002.SZ,20260709,24,-0.002054,-8.2e-05,0.0,-0.001232,0.0,-0.002054,-0.0,-0.002054,0.365772,0.634228,0.0,4.34e-19
000002.SZ,20260709,25,0.001895,0.00062,-0.00061,0.001474,0.0,0.001895,0.0,0.001895,0.436194,0.563806,0.003937,4.34e-19
000002.SZ,20260709,26,0.002908,-0.000503,0.001222,-0.00026,5e-06,0.002903,0.0,0.002903,0.077124,0.922876,0.00166,4.34e-19
000002.SZ,20260709,27,8e-06,-0.001366,-2e-06,-0.001996,0.0,8e-06,0.0,8e-06,0.594757,0.405243,0.602665,4.34e-19
000002.SZ,20260709,28,-0.002009,0.000234,-0.001219,-0.000373,-0.001514,-0.000495,-0.0,-0.000495,0.110749,0.889251,0.58132,4.34e-19
000002.SZ,20260709,29,0.002147,0.00105,-2e-06,0.000184,0.000148,0.001999,0.0,0.001999,0.054395,0.945605,0.068716,4.34e-19
000002.SZ,20260709,30,-0.003321,-0.001149,0.001224,-0.000122,-0.0,-0.003321,-0.0,-0.003321,0.036198,0.963802,0.000561,4.34e-19
000002.SZ,20260709,31,7.7e-05,0.001176,-0.001225,-2.7e-05,1e-06,7.6e-05,0.0,7.6e-05,2701.709013,0.0,0.009031,4.34e-19
000002.SZ,20260709,32,0.000237,-1.4e-05,0.000612,-0.000836,3e-06,0.000235,0.0,0.000235,83568.000251,0.0,0.012235,4.34e-19
000002.SZ,20260709,33,0.00293,-0.000418,0.0,0.000866,-0.0,0.00293,0.0,0.00293,0.256377,0.743623,0.0,4.34e-19
000002.SZ,20260709,34,-0.002299,-0.000808,0.000615,-0.000876,-0.0,-0.002299,-0.0,-0.002299,0.260036,0.739964,0.580937,4.34e-19
000002.SZ,20260709,35,0.003427,0.000799,-0.001231,0.000383,0.004893,-0.001466,-0.0,-0.001466,0.113286,0.886714,0.769453,4.34e-19
000002.SZ,20260709,36,0.003291,-0.00105,0.001233,-0.000107,-0.0,0.003291,0.0,0.003291,0.031754,0.968246,0.0,4.34e-19
000002.SZ,20260709,37,-0.000324,-0.00129,-2e-06,-0.001739,-0.0,-0.000324,-0.0,-0.000324,0.518289,0.481711,0.017942,4.34e-19
000002.SZ,20260709,38,0.000732,0.000363,-0.001233,0.000139,7.5e-05,0.000657,0.0,0.000657,13866.001356,0.0,0.099325,4.34e-19
000002.SZ,20260709,39,-0.003412,6.9e-05,0.000617,-0.000641,-4e-06,-0.003409,-0.0,-0.003409,0.19026,0.80974,0.060854,4.34e-19
000002.SZ,20260709,40,0.002957,0.000916,-0.00062,0.000126,0.000175,0.002781,0.0,0.002781,0.037229,0.962771,0.041656,4.34e-19
000002.SZ,20260709,41,0.003238,-0.001178,0.001245,6.1e-05,-1.8e-05,0.003256,0.0,0.003256,0.018151,0.981849,0.005482,4.34e-19
000002.SZ,20260709,42,-3.3e-05,-0.001206,-2e-06,0.001241,-0.0,-3.3e-05,-0.0,-3.3e-05,124052.9418,0.0,0.627602,4.34e-19
000002.SZ,20260709,43,0.000104,0.00062,-0.000624,-0.0001,-0.000602,0.000706,0.0,0.000706,9985.709324,0.0,0.460368,4.34e-19
000002.SZ,20260709,44,0.003283,-5e-05,0.0,0.000122,0.0,0.003283,0.0,0.003283,0.036444,0.963556,0.0,4.34e-19
000002.SZ,20260709,45,6e-06,-0.001171,0.000624,0.000541,0.0,6e-06,0.0,6e-06,54064.731667,0.0,0.0,4.34e-19
000002.SZ,20260709,46,-0.000743,0.00027,-0.000625,-0.002247,0.0,-0.000743,-0.0,-0.000743,0.671736,0.328264,0.0,4.34e-19
000002.SZ,20260709,47,-6.4e-05,0.000104,-0.000623,0.000583,0.0,-6.4e-05,-0.0,-6.4e-05,58314.300225,0.0,0.0,4.34e-19
