stock_code,transaction_date,window_id,mode_name,phi,beta_ch,beta_q,beta_retail,beta_mix,theta,covariance_diag
000002.SZ,20260709,0,baseline_4d,-0.364868,-0.0021,-0.001586,0.0,-0.001586,0.181801,
000002.SZ,20260709,1,baseline_4d,-0.364905,-0.002102,-0.001588,0.0,-0.001588,0.181892,
000002.SZ,20260709,2,baseline_4d,-0.364942,-0.003436,-0.000889,0.0,-0.000889,0.181983,
000002.SZ,20260709,3,baseline_4d,-0.364978,-0.001097,0.000414,0.0,0.000414,0.18208,
000002.SZ,20260709,4,baseline_4d,-0.365014,0.001201,9.3e-05,0.0,9.3e-05,0.182173,
000002.SZ,20260709,5,baseline_4d,-0.365051,0.002833,-0.001512,0.0,-0.001512,0.182268,
000002.SZ,20260709,6,baseline_4d,-0.365088,0.004466,-0.002392,0.0,-0.002392,0.182362,
000002.SZ,20260709,7,baseline_4d,-0.365124,0.006204,-0.001794,0.0,-0.001794,0.182459,
000002.SZ,20260709,8,baseline_4d,-0.365161,0.007943,-0.003745,0.0,-0.003745,0.182551,
000002.SZ,20260709,9,baseline_4d,-0.365196,0.009987,-0.000324,0.0,-0.000324,0.182661,
000002.SZ,20260709,10,baseline_4d,-0.365238,0.012031,-0.007959,0.0,-0.007959,0.1827,
000002.SZ,20260709,11,baseline_4d,-0.36528,0.011,-0.018151,0.0,-0.018151,0.182745,
000002.SZ,20260709,12,baseline_4d,-0.365386,0.009969,-0.001111,0.0,-0.001111,0.182471,
000002.SZ,20260709,13,baseline_4d,-0.365494,0.008933,0.000158,0.0,0.000158,0.182197,
000002.SZ,20260709,14,baseline_4d,-0.365605,0.007898,0.003245,0.0,0.003245,0.181903,
000002.SZ,20260709,15,baseline_4d,-0.365715,0.006863,0.000467,0.0,0.000467,0.181597,
000002.SZ,20260709,16,baseline_4d,-0.36583,0.00573,-0.01518,0.0,-0.01518,0.181267,
000002.SZ,20260709,17,baseline_4d,-0.365945,0.004598,-0.008984,0.0,-0.008984,0.18124,
000002.SZ,20260709,18,baseline_4d,-0.36606,0.004047,-0.002707,0.0,-0.002707,0.181214,
000002.SZ,20260709,19,baseline_4d,-0.366175,0.0002,-7.8e-05,0.0,-7.8e-05,0.181188,
000002.SZ,20260709,20,baseline_4d,-0.366292,0.000326,0.001833,0.0,0.001833,0.181133,
000002.SZ,20260709,21,baseline_4d,-0.366409,0.000451,0.000183,0.0,0.000183,0.181113,
000002.SZ,20260709,22,baseline_4d,-0.366526,0.000576,-0.001064,0.0,-0.001064,0.181093,
000002.SZ,20260709,23,baseline_4d,-0.366643,0.000702,-0.004522,0.0,-0.004522,0.181073,
000002.SZ,20260709,24,baseline_4d,-0.366761,0.000827,-0.008022,0.0,-0.008022,0.181053,
000002.SZ,20260709,25,baseline_4d,-0.366878,0.000953,0.006679,0.0,0.006679,0.181033,
000002.SZ,20260709,26,baseline_4d,-0.366973,0.001078,0.002563,0.0,0.002563,0.181125,
000002.SZ,20260709,27,baseline_4d,-0.367067,0.001213,0.000877,0.0,0.000877,0.181224,
000002.SZ,20260709,28,baseline_4d,-0.367106,0.001348,0.000669,0.0,0.000669,0.181322,
000002.SZ,20260709,29,baseline_4d,-0.367146,-0.000239,-0.000674,0.0,-0.000674,0.181415,
000002.SZ,20260709,30,baseline_4d,-0.367185,-0.001907,-0.002404,0.0,-0.002404,0.181508,
000002.SZ,20260709,31,baseline_4d,-0.367224,-0.003574,-0.000153,0.0,-0.000153,0.18161,
000002.SZ,20260709,32,baseline_4d,-0.367266,-0.005244,-0.001659,0.0,-0.001659,0.181687,
000002.SZ,20260709,33,baseline_4d,-0.367307,-0.006955,-0.013625,0.0,-0.013625,0.181889,
000002.SZ,20260709,34,baseline_4d,-0.367348,-0.008665,-0.014981,0.0,-0.014981,0.18209,
000002.SZ,20260709,35,baseline_4d,-0.367363,-0.010376,-0.00431,0.0,-0.00431,0.182424,
000002.SZ,20260709,36,baseline_4d,-0.367376,-0.008866,0.004039,0.0,0.004039,0.182781,
000002.SZ,20260709,37,baseline_4d,-0.36739,-0.007356,0.006712,0.0,0.006712,0.183115,
000002.SZ,20260709,38,baseline_4d,-0.367333,-0.005846,-0.000939,0.0,-0.000939,0.183447,
000002.SZ,20260709,39,baseline_4d,-0.367278,-0.004389,-0.011512,0.0,-0.011512,0.183765,
000002.SZ,20260709,40,baseline_4d,-0.367222,-0.002879,-0.003017,0.0,-0.003017,0.184191,
000002.SZ,20260709,41,baseline_4d,-0.367166,-0.001424,0.004631,0.0,0.004631,0.184616,
000002.SZ,20260709,42,baseline_4d,-0.367116,-0.000176,0.000759,0.0,0.000759,0.184986,
000002.SZ,20260709,43,baseline_4d,-0.367107,0.001072,0.002118,0.0,0.002118,0.185356,
000002.SZ,20260709,44,baseline_4d,-0.367098,0.001072,0.004218,0.0,0.004218,0.185722,
000002.SZ,20260709,45,baseline_4d,-0.367089,0.001072,6.1e-05,0.0,6.1e-05,0.186088,
000002.SZ,20260709,46,baseline_4d,-0.367095,0.001072,-0.008441,0.0,-0.008441,0.186375,
000002.SZ,20260709,47,baseline_4d,-0.367102,0.001072,-0.000156,0.0,-0.000156,0.186341,
