stock_code,transaction_date,window_id,c_p,c_i,c_d,eps,capital_ch,capital_q,capital_retail,capital_mix,noise_ratio,explain_ratio,capital_anchor_error,closure_error
000004.SZ,20260709,0,0,0,0,-0.025,0,-0,0,0,1,0,0,0.00e0
000004.SZ,20260709,1,-0.016972,0.016594,0,0.000379,0,-0.016972,-0,-0.016972,37880.418156581094,0,0,0.00e0
000004.SZ,20260709,2,-0.026682,0.000189,0.008044,0.018449,0,-0.026682,-0,-0.026682,1844892.356806828,0,0,0.00e0
000004.SZ,20260709,3,0.046615,0.009224,0,0.021084,0,0.046615,0,0.046615,0.27409049217932846,0.72591,0,0.00e0
000004.SZ,20260709,4,0.063884,-0.078981,0.021408,-0.006312,0,0.063884,0,0.063884,631234.8819590824,0,0,0.00e0
000004.SZ,20260709,5,0.024,-0.003156,-0.023809,0.002966,0,0.024,0,0.024,296562.50064334366,0,0,0.00e0
000004.SZ,20260709,6,0.000126,0.001483,0,-0.001609,0,0.000126,0,0.000126,160924.67027354537,0,0,0.00e0
000004.SZ,20260709,7,-0.023589,-0.000805,0,0.000584,0,-0.023589,-0,-0.023589,0.02454306443577003,0.975457,0,0.00e0
000004.SZ,20260709,8,-0.009044,0.026995,-0.009423,-0.008528,0,-0.009044,-0,-0.009044,852804.5754776767,0,0,0.00e0
000004.SZ,20260709,9,0.000029,-0.004264,0.008877,-0.004642,0,0.000029,0,0.000029,464208.77914868324,0,0,0.00e0
000004.SZ,20260709,10,0.021053,-0.002321,0,0.005659,0,0.021053,0,0.021053,0.2320042642560043,0.767996,0,0.00e0
000004.SZ,20260709,11,0.016603,-0.024508,0.009098,-0.001194,0,0.016603,0,0.016603,119427.23742932072,0,0,0.00e0
000004.SZ,20260709,12,0.008752,-0.000597,-0.009072,0.000918,0,0.008752,0,0.008752,91804.8930892569,0,0,0.00e0
000004.SZ,20260709,13,0.000346,0.000459,0,-0.000805,0,0.000346,0,0.000346,80486.7878775825,0,0,0.00e0
000004.SZ,20260709,14,0.000395,-0.000402,0,0.000008,0,0.000395,0,0.000395,778.7030533355288,0,0,0.00e0
000004.SZ,20260709,15,0.000124,0.000004,0,-0.000128,0,0.000124,0,0.000124,12836.394290282848,0,0,0.00e0
000004.SZ,20260709,16,0.000102,-0.000064,0,-0.000037,0,0.000102,0,0.000102,3738.6997010891296,0,0,0.00e0
000004.SZ,20260709,17,0.000012,-0.000019,0,0.000007,0,0.000012,0,0.000012,697.7945577267359,0,0,0.00e0
000004.SZ,20260709,18,0.000028,0.000003,0,-0.000031,0,0.000028,0,0.000028,3122.0674057021774,0,0,0.00e0
000004.SZ,20260709,19,0.000008,-0.000016,0,0.000008,0,0.000008,0,0.000008,754.3634352146395,0,0,0.00e0
000004.SZ,20260709,20,-0,0.000004,0,-0.000003,0,-0,-0,-0,346.20840905909944,0,0,0.00e0
000004.SZ,20260709,21,-0,-0.000002,0,0.000002,0,-0,-0,-0,177.69414052417474,0,0,0.00e0
000004.SZ,20260709,22,-0,0.000001,0,-0.000001,0,-0,-0,-0,86.4294703873171,0,0,0.00e0
000004.SZ,20260709,23,-0,-0,0,0.000001,0,-0,-0,-0,54.04137810985081,0,0,0.00e0
000004.SZ,20260709,24,-0,0,0,-0,0,-0,-0,-0,26.89805717724505,0,0,0.00e0
000004.SZ,20260709,25,-0,-0,0,0,0,-0,-0,-0,16.747826097923905,0,0,0.00e0
000004.SZ,20260709,26,-0,0,0,-0,0,-0,-0,-0,4.87014511586615,0,0,0.00e0
000004.SZ,20260709,27,-0,-0,0,0,0,-0,-0,-0,12.753669119981472,0,0,0.00e0
000004.SZ,20260709,28,-0,0,0,0,0,-0,-0,-0,15.907129490696168,0,0,0.00e0
000004.SZ,20260709,29,-0,0,0,-0,0,-0,-0,-0,2.908138922849558,0,0,0.00e0
000004.SZ,20260709,30,-0,-0,0,0,0,-0,-0,-0,2.505199841048755,0,0,0.00e0
000004.SZ,20260709,31,-0,0,0,0,0,-0,-0,-0,2.7942520407852296,0,0,0.00e0
000004.SZ,20260709,32,-0,0,0,0,0,-0,-0,-0,3.8935635564170594,0,0,0.00e0
000004.SZ,20260709,33,-0,0,0,-0,0,-0,-0,-0,0.3175296900802121,0.68247,0,0.00e0
000004.SZ,20260709,34,-0,-0,0,0,0,-0,-0,-0,5.799831214361206,0,0,0.00e0
000004.SZ,20260709,35,-0,0,0,-0,0,-0,-0,-0,0.9728432450981651,0.027157,0,0.00e0
000004.SZ,20260709,36,-0,-0,0,0,0,-0,-0,-0,1.2222128880301468,0,0,0.00e0
000004.SZ,20260709,37,-0,0,0,0,0,-0,-0,-0,1.2108528799310578,0,0,0.00e0
000004.SZ,20260709,38,-0,0,0,0,0,-0,-0,-0,17.614166798476063,0,0,0.00e0
000004.SZ,20260709,39,-0,0,0,-0,0,-0,-0,-0,8.754526880282896,0,0,0.00e0
000004.SZ,20260709,40,-0,-0,0,0,0,-0,-0,-0,4.710121393511894,0,0,0.00e0
000004.SZ,20260709,41,-0,0,0,0,0,-0,-0,-0,5.405785268389747,0,0,0.00e0
000004.SZ,20260709,42,-0,0,0,0,0,-0,-0,-0,22.34904806509418,0,0,0.00e0
000004.SZ,20260709,43,-0,0,0,-0,0,-0,-0,-0,6.076541694436368,0,0,0.00e0
000004.SZ,20260709,44,-0,-0,0,0,0,-0,-0,-0,5.928879389442489,0,0,0.00e0
000004.SZ,20260709,45,-0,0,0,-0,0,-0,-0,-0,2.876845496472035,0,0,0.00e0
000004.SZ,20260709,46,-0,-0,0,0,0,-0,-0,-0,1.9639879377311975,0,0,0.00e0
000004.SZ,20260709,47,-0,0,0,0,0,-0,-0,-0,0.7874088357680223,0.212591,0,0.00e0
