stock_code,transaction_date,capital_type,capital_intention
603459.SH,20260710,游资,卖出
600664.SH,20260710,量化,卖出
600821.SH,20260710,量化,买入
600192.SH,20260710,量化,卖出
603578.SH,20260710,量化,卖出
605305.SH,20260710,游资,卖出
688358.SH,20260710,量化,买入
603895.SH,20260710,游资,卖出
600935.SH,20260710,量化,买入
603683.SH,20260710,游资,买入
603057.SH,20260710,量化,买入
605028.SH,20260710,量化,卖出
688573.SH,20260710,量化,买入
600456.SH,20260710,游资,卖出
601868.SH,20260710,量化,买入
600236.SH,20260710,量化,买入
603100.SH,20260710,量化,卖出
603776.SH,20260710,量化,卖出
688521.SH,20260710,游资,卖出
600908.SH,20260710,量化,卖出
600149.SH,20260710,量化,买入
601222.SH,20260710,量化,卖出
603236.SH,20260710,游资,买入
605155.SH,20260710,量化,买入
688096.SH,20260710,量化,买入
688028.SH,20260710,游资,卖出
688009.SH,20260710,量化,买入
600354.SH,20260710,量化,买入
603113.SH,20260710,量化,卖出
600803.SH,20260710,量化,卖出
600602.SH,20260710,游资,卖出
603021.SH,20260710,量化,卖出
600376.SH,20260710,量化,卖出
603315.SH,20260710,量化,卖出
688819.SH,20260710,游资,中性
600478.SH,20260710,量化,买入
600281.SH,20260710,量化,卖出
600067.SH,20260710,量化,买入
603686.SH,20260710,量化,买入
688516.SH,20260710,游资,卖出
601778.SH,20260710,量化,买入
600195.SH,20260710,量化,卖出
688717.SH,20260710,游资,中性
600960.SH,20260710,量化,卖出
600969.SH,20260710,量化,买入
600796.SH,20260710,量化,买入
603517.SH,20260710,量化,买入
605066.SH,20260710,量化,卖出
603900.SH,20260710,量化,买入
603612.SH,20260710,量化,卖出
688560.SH,20260710,量化,卖出
600797.SH,20260710,量化,卖出
603027.SH,20260710,量化,卖出
600590.SH,20260710,量化,卖出
600782.SH,20260710,量化,买入
603328.SH,20260710,量化,卖出
601083.SH,20260710,量化,卖出
603028.SH,20260710,量化,卖出
605196.SH,20260710,游资,买入
600963.SH,20260710,量化,买入
600448.SH,20260710,量化,买入
601218.SH,20260710,量化,卖出
600257.SH,20260710,量化,买入
600706.SH,20260710,量化,卖出
603008.SH,20260710,量化,买入
600186.SH,20260710,游资,买入
600353.SH,20260710,量化,卖出
605358.SH,20260710,游资,买入
600176.SH,20260710,游资,卖出
600150.SH,20260710,游资,买入
600172.SH,20260710,游资,卖出
603893.SH,20260710,游资,买入
600276.SH,20260710,游资,买入
603011.SH,20260710,游资,卖出
603091.SH,20260710,量化,卖出
688137.SH,20260710,量化,卖出
603726.SH,20260710,游资,卖出
600262.SH,20260710,量化,卖出
603435.SH,20260710,游资,卖出
601065.SH,20260710,量化,买入
600549.SH,20260710,游资,卖出
603155.SH,20260710,量化,买入
688685.SH,20260710,游资,买入
601211.SH,20260710,游资,买入
600309.SH,20260710,游资,买入
688613.SH,20260710,量化,买入
688126.SH,20260710,游资,卖出
600226.SH,20260710,量化,买入
603489.SH,20260710,量化,卖出
688592.SH,20260710,量化,买入
601636.SH,20260710,量化,卖出
688687.SH,20260710,游资,中性
600428.SH,20260710,量化,卖出
600552.SH,20260710,量化,卖出
600030.SH,20260710,量化,买入
600110.SH,20260710,游资,卖出
600370.SH,20260710,量化,买入
688582.SH,20260710,游资,买入
688008.SH,20260710,游资,买入
603060.SH,20260710,量化,卖出
