stock_code,transaction_date,mode,kf_converged,dominant_type,dominant_intention,hot_money_ratio,quant_ratio,retail_ratio,phi_tail,theta_tail,beta_ch_tail,beta_mix_tail,beta_q_tail,beta_retail_tail,c_p_tail,c_i_tail,c_d_tail,capital_ch_tail,capital_q_tail,capital_retail_tail,capital_anchor_error_tail,noise_ratio_tail,explain_ratio_tail,capital_identity_error,closure_error,warnings
600030.SH,20260710,baseline_4d,false,unknown,买入,0.479167,0.5,0.020833,-0.065342,0.245231,0.005905,-5.5e-05,-5.5e-05,0.0,0.000728,-2e-06,0.000693,0.000817,-8.9e-05,-0.0,0.474976,0.005655,0.994345,0.00e+00,8.67e-19,KF did not converge
600067.SH,20260710,baseline_4d,false,unknown,买入,0.104167,0.895833,0.0,-0.274585,0.1036,0.023502,0.009523,0.009523,0.0,0.004717,-0.000726,-0.000377,0.0,0.004717,0.0,0.0,0.009728,0.990272,0.00e+00,2.60e-18,KF did not converge
600110.SH,20260710,baseline_4d,false,游资,卖出,0.625,0.375,0.0,-0.431482,0.00503,0.0012,-0.003714,-0.003714,0.0,0.000726,0.000748,-8e-06,-0.002132,0.002858,0.0,0.402441,0.061663,0.938337,0.00e+00,1.73e-18,KF did not converge
600149.SH,20260710,baseline_4d,false,unknown,买入,0.125,0.875,0.0,-0.330585,-0.040679,0.000685,-0.001007,-0.001007,0.0,0.000391,0.001323,0.000351,-0.001342,0.001733,0.0,0.436464,0.044287,0.955713,0.00e+00,3.47e-18,KF did not converge
600150.SH,20260710,baseline_4d,false,游资,卖出,0.5625,0.354167,0.083333,0.090469,0.152863,0.000904,0.002183,0.002183,0.0,-0.000735,4.2e-05,0.000124,-5.2e-05,-0.000683,-0.0,0.276258,0.054615,0.945385,0.00e+00,2.60e-18,KF did not converge
600172.SH,20260710,baseline_4d,false,unknown,卖出,0.4375,0.541667,0.020833,-0.668541,-0.066211,0.025023,0.020294,0.020294,0.0,-0.007114,-0.000121,0.00035,-0.004013,-0.002884,-0.000217,0.376734,0.261583,0.738417,0.00e+00,3.47e-18,KF did not converge
600176.SH,20260710,baseline_4d,false,游资,卖出,0.708333,0.25,0.041667,-0.411297,-0.02271,0.000797,0.000436,0.000436,0.0,-0.001692,0.000231,3.3e-05,-0.001229,-0.000352,-0.000111,0.472253,0.00389,0.99611,0.00e+00,6.94e-18,KF did not converge
600186.SH,20260710,baseline_4d,false,游资,买入,0.604167,0.395833,0.0,-0.490523,-0.063365,0.019462,0.003033,0.003033,0.0,-0.003366,0.001524,0.000231,0.001063,-0.004429,-0.0,0.154742,0.119021,0.880979,0.00e+00,3.47e-18,KF did not converge | Capital anchor consistency is weak
600192.SH,20260710,baseline_4d,true,unknown,卖出,0.125,0.875,0.0,0.049369,-0.370069,-0.009263,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.043908,0.956092,0.00e+00,3.47e-18,
600195.SH,20260710,baseline_4d,false,unknown,卖出,0.166667,0.833333,0.0,0.064389,-0.111564,-0.008244,0.000225,0.000225,0.0,-0.000174,-0.000315,0.000366,0.000478,-0.000652,-0.0,0.422954,12276.480434,0.0,0.00e+00,1.73e-18,KF did not converge
600226.SH,20260710,baseline_4d,false,unknown,买入,0.4375,0.541667,0.020833,-0.040196,-0.002749,-0.00846,0.004157,0.004157,0.0,0.000122,-3.5e-05,1.3e-05,0.003267,-0.003145,-0.0,0.40715,10120.949395,0.0,0.00e+00,1.73e-18,KF did not converge
600236.SH,20260710,baseline_4d,false,unknown,买入,0.229167,0.770833,0.0,0.337147,0.051617,0.007303,-0.009195,-0.009195,0.0,0.001169,-0.000948,-0.000272,-0.001225,0.002394,0.0,0.317676,5145.744554,0.0,0.00e+00,1.73e-18,KF did not converge
600257.SH,20260710,baseline_4d,false,unknown,买入,0.1875,0.791667,0.020833,-0.029647,-0.167983,0.010403,0.001849,0.001849,0.0,0.001994,-0.000742,0.000754,0.0,0.000918,0.001076,0.00738,0.107082,0.892918,0.00e+00,1.73e-18,KF did not converge
600262.SH,20260710,baseline_4d,false,unknown,卖出,0.354167,0.645833,0.0,-0.109097,0.015315,-0.000617,0.00036,0.00036,0.0,-0.00246,-4.3e-05,1.5e-05,-0.001837,-0.000306,-0.000317,0.746797,0.006409,0.993591,0.00e+00,1.73e-18,KF did not converge
600276.SH,20260710,baseline_4d,false,unknown,买入,0.333333,0.583333,0.083333,-0.252987,-0.022341,-0.00349,0.002947,0.002947,0.0,0.001385,0.000206,4.4e-05,0.000514,0.000871,0.0,0.201443,0.011215,0.988785,0.00e+00,2.60e-18,KF did not converge
600281.SH,20260710,baseline_4d,false,unknown,卖出,0.229167,0.75,0.020833,-0.692537,-0.040246,0.004568,0.002764,0.002764,0.0,-0.000643,0.003428,0.000202,0.0,-0.000643,-0.0,0.0,0.182773,0.817227,0.00e+00,1.73e-18,KF did not converge
600309.SH,20260710,baseline_4d,false,游资,买入,0.541667,0.458333,0.0,0.494638,-0.142635,-0.001961,0.001211,0.001211,0.0,-0.000806,-0.000284,0.000291,0.001329,-0.002135,-0.0,0.346173,0.09973,0.90027,0.00e+00,1.73e-18,KF did not converge
600353.SH,20260710,baseline_4d,false,unknown,卖出,0.291667,0.6875,0.020833,0.91872,-0.529836,-0.061354,-0.086307,-0.086307,0.0,-0.007181,-0.000467,-0.002952,-0.004198,-0.000639,-0.002344,0.571995,0.256152,0.743848,0.00e+00,3.47e-18,KF did not converge
600354.SH,20260710,baseline_4d,false,unknown,买入,0.1875,0.8125,0.0,-0.064685,0.032646,-0.012059,0.0022,0.0022,0.0,0.001863,-0.000127,0.0,-4.8e-05,0.001911,0.0,0.024425,0.142388,0.857612,0.00e+00,1.73e-18,KF did not converge
600370.SH,20260710,baseline_4d,false,unknown,买入,0.104167,0.895833,0.0,-0.817121,0.276145,0.074735,0.008356,0.008356,0.0,0.013108,-0.00841,0.001534,0.0,0.013108,0.0,0.0,0.127949,0.872051,0.00e+00,1.73e-18,KF did not converge
600376.SH,20260710,baseline_4d,true,unknown,卖出,0.229167,0.75,0.020833,0.668504,0.293496,-0.000733,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,2.735929,0.0,0.00e+00,1.73e-18,
600428.SH,20260710,baseline_4d,true,unknown,卖出,0.041667,0.958333,0.0,-0.0,-0.0,-2.8e-05,2.6e-05,2.6e-05,0.0,-3e-06,1e-06,-0.0,-0.0,-3e-06,-0.0,0.0,198.735117,0.0,0.00e+00,5.42e-20,
600448.SH,20260710,baseline_4d,false,unknown,买入,0.208333,0.791667,0.0,-0.742482,0.29498,0.021756,-0.001434,-0.001434,0.0,0.000183,0.005638,-0.003382,0.000217,-3.4e-05,-0.0,0.865141,243869.178485,0.0,0.00e+00,1.73e-18,KF did not converge
600456.SH,20260710,baseline_4d,false,unknown,卖出,0.333333,0.645833,0.020833,1.011087,-0.224208,0.000885,0.000976,0.000976,0.0,-0.000443,0.000457,0.0,2.2e-05,-0.000465,-0.0,0.042959,1370.520127,0.0,0.00e+00,4.55e-18,KF did not converge
600478.SH,20260710,baseline_4d,false,unknown,买入,0.1875,0.791667,0.020833,-0.402839,-0.116765,0.002439,-0.004263,-0.004263,0.0,0.003362,-0.000794,-0.000496,-2.3e-05,0.003385,0.0,0.006888,0.024612,0.975388,0.00e+00,1.73e-18,KF did not converge
