trade_date,symbol,window_id,mode_name,q_type,u_source_type,estimator_method,state_space_contract,psi_prediction_semantics,y_observed,y_hat_next,v_q_observed,v_hat_q_next,c_p,c_i,c_d,eps,capital_ch,capital_q,capital_retail,capital_mix,closure_impl_error,model_residual,param_stability_flag,m_eff_rank_eligible,data_leakage_check,m_slow_method,thin_trade_window,cross_symbol_comparable,domain_mapping_valid_flag,warnings
20260710,600030.SH,0,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,-0.003148,-0.003642,-0.003148,-0.003642,-0.0,0.0,0.0,-0.003148,-0.0,-0.0,0.0,-0.0,4.34e-19,-0.003148,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
20260710,600030.SH,1,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,-0.00386,-0.000813,-0.00386,-0.000813,-0.002274,-0.001368,0.0,-0.000218,-0.002281,0.0,7e-06,7e-06,4.34e-19,-0.000218,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
20260710,600030.SH,2,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,-0.000704,0.001116,-0.000704,0.001116,-0.000783,0.000143,-0.000173,0.000108,-0.000761,-1e-06,-2.1e-05,-2.2e-05,4.34e-19,0.000108,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
20260710,600030.SH,3,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0.001057,0.00106,0.001057,0.00106,0.00025,0.0001,0.000765,-5.8e-05,-0.001971,0.002222,0.0,0.002222,4.34e-19,-5.8e-05,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
20260710,600030.SH,4,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0.001056,-0.00231,0.001056,-0.00231,0.000731,-9.8e-05,0.000427,-4e-06,-2e-06,0.000268,0.000465,0.000733,4.34e-19,-4e-06,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
20260710,600030.SH,5,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,-0.002462,0.002416,-0.002462,0.002416,-0.002239,-7.1e-05,-0.0,-0.000152,-0.001145,-0.001094,-0.0,-0.001094,4.34e-19,-0.000152,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
20260710,600030.SH,6,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0.002468,0.004234,0.002468,0.004234,0.003185,8.5e-05,-0.000855,5.3e-05,-0.001019,0.004204,0.0,0.004204,4.34e-19,5.3e-05,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
20260710,600030.SH,7,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0.004221,-0.001052,0.004221,-0.001052,0.003171,-0.000135,0.001198,-1.3e-05,0.006713,-0.003542,-0.0,-0.003542,4.34e-19,-1.3e-05,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
20260710,600030.SH,8,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,-0.001051,-0.001433,-0.001051,-0.001433,-0.001195,-0.000282,0.000426,1e-06,0.001116,-0.002311,-0.0,-0.002311,4.34e-19,1e-06,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
20260710,600030.SH,9,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,-0.001403,-0.001361,-0.001403,-0.001361,-0.000219,6.9e-05,-0.001282,3e-05,-0.000295,7.5e-05,0.0,7.5e-05,4.34e-19,3e-05,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
