stock_code,transaction_date,window_id,c_p,c_i,c_d,eps,capital_ch,capital_q,capital_retail,capital_mix,noise_ratio,explain_ratio,capital_anchor_error,closure_error
600030.SH,20260710,0,-0.0,0.0,0.0,-0.003148,-0.0,-0.0,0.0,-0.0,1.0,0.0,0.0,4.34e-19
600030.SH,20260710,1,-0.002274,-0.001368,0.0,-0.000218,-0.002281,0.0,7e-06,7e-06,0.056449,0.943551,0.008714,4.34e-19
600030.SH,20260710,2,-0.000783,0.000143,-0.000173,0.000108,-0.000761,-1e-06,-2.1e-05,-2.2e-05,0.153461,0.846539,0.473734,4.34e-19
600030.SH,20260710,3,0.00025,0.0001,0.000765,-5.8e-05,-0.001971,0.002222,0.0,0.002222,0.054893,0.945107,0.344202,4.34e-19
600030.SH,20260710,4,0.000731,-9.8e-05,0.000427,-4e-06,-2e-06,0.000268,0.000465,0.000733,0.003528,0.996472,0.650518,4.34e-19
600030.SH,20260710,5,-0.002239,-7.1e-05,-0.0,-0.000152,-0.001145,-0.001094,-0.0,-0.001094,0.061743,0.938257,0.078592,4.34e-19
600030.SH,20260710,6,0.003185,8.5e-05,-0.000855,5.3e-05,-0.001019,0.004204,0.0,0.004204,0.021311,0.978689,0.449209,4.34e-19
600030.SH,20260710,7,0.003171,-0.000135,0.001198,-1.3e-05,0.006713,-0.003542,-0.0,-0.003542,0.003076,0.996924,0.140064,4.34e-19
600030.SH,20260710,8,-0.001195,-0.000282,0.000426,1e-06,0.001116,-0.002311,-0.0,-0.002311,0.000681,0.999319,0.094971,4.34e-19
600030.SH,20260710,9,-0.000219,6.9e-05,-0.001282,3e-05,-0.000295,7.5e-05,0.0,7.5e-05,0.021476,0.978524,0.234424,4.34e-19
600030.SH,20260710,10,-0.001382,0.000107,-8.6e-05,-4.3e-05,-0.001777,0.000394,0.0,0.000394,0.030842,0.969158,0.132577,4.34e-19
600030.SH,20260710,11,-0.001844,7e-05,-0.0,1.7e-05,-0.002381,0.00024,0.000296,0.000536,0.009455,0.990545,0.273049,4.34e-19
600030.SH,20260710,12,0.002361,0.000123,-8.6e-05,6.7e-05,-0.000446,0.002807,0.0,0.002807,0.027274,0.972726,0.57198,4.34e-19
600030.SH,20260710,13,-0.003519,-0.000128,0.00103,-0.000194,-0.002296,-0.001223,-0.0,-0.001223,0.069137,0.930863,0.473625,4.34e-19
600030.SH,20260710,14,0.003211,8.7e-05,-0.001288,0.000104,-0.000552,0.003763,0.0,0.003763,0.049188,0.950812,0.468722,4.34e-19
600030.SH,20260710,15,0.000692,-8.6e-05,0.001203,-5e-05,0.00082,-0.000128,-0.0,-0.000128,0.028649,0.971351,0.055279,4.34e-19
600030.SH,20260710,16,0.002258,-0.00014,-8.7e-05,7.5e-05,0.000519,0.001739,0.0,0.001739,0.035619,0.964381,0.584907,4.34e-19
600030.SH,20260710,17,-0.001669,-0.0001,8.5e-05,-6.8e-05,-0.005384,0.003715,0.0,0.003715,0.038606,0.961394,0.322858,4.34e-19
600030.SH,20260710,18,0.000289,8.1e-05,-0.000944,0.000926,-9.1e-05,0.000379,0.0,0.000379,2.638699,0.0,0.119998,4.34e-19
600030.SH,20260710,19,0.002965,0.00044,0.000515,0.000991,0.000591,0.002374,0.0,0.002374,0.201725,0.798275,0.21139,4.34e-19
600030.SH,20260710,20,-0.00285,0.000174,0.001118,-0.000188,-0.026699,0.023849,0.0,0.023849,0.107712,0.892288,0.327502,4.34e-19
600030.SH,20260710,21,0.00296,2e-05,-0.001634,5.2e-05,-0.001612,0.004571,0.0,0.004571,0.037399,0.962601,0.162474,4.34e-19
600030.SH,20260710,22,0.002776,-6.5e-05,0.000772,9e-06,-0.005863,0.008639,0.0,0.008639,0.002489,0.997511,0.236371,4.34e-19
600030.SH,20260710,23,-0.002341,-0.000224,0.000514,-3.7e-05,-0.005403,0.003062,0.0,0.003062,0.017733,0.982267,0.524155,4.34e-19
600030.SH,20260710,24,-0.002116,0.000118,-0.001372,-0.000466,0.000227,-0.002343,-0.0,-0.002343,0.121453,0.878547,0.473659,4.34e-19
600030.SH,20260710,25,0.001743,1.8e-05,-0.00043,6.9e-05,0.005339,-0.003596,-0.0,-0.003596,0.04928,0.95072,0.045589,4.34e-19
600030.SH,20260710,26,-0.001478,-5.7e-05,0.001287,-0.000101,-0.002727,0.001249,0.0,0.001249,0.288864,0.711136,0.001658,4.34e-19
600030.SH,20260710,27,-0.001355,-2.8e-05,-0.00043,6.5e-05,-0.003345,0.00199,0.0,0.00199,0.036908,0.963092,0.565643,4.34e-19
600030.SH,20260710,28,-0.00121,0.000146,-0.000344,6e-06,0.000122,-0.001332,-0.0,-0.001332,0.004133,0.995867,0.18992,4.34e-19
600030.SH,20260710,29,-0.000857,9.4e-05,8.5e-05,-2.5e-05,-0.000215,-0.000581,-6.1e-05,-0.000642,0.034962,0.965038,0.233366,4.34e-19
600030.SH,20260710,30,-0.001283,3.4e-05,0.000172,2.5e-05,1.5e-05,-0.001298,-0.0,-0.001298,0.023667,0.976333,0.160993,4.34e-19
600030.SH,20260710,31,-0.001391,8.1e-05,-8.6e-05,-1e-05,-0.000155,-0.001161,-7.5e-05,-0.001236,0.006905,0.993095,0.396903,4.34e-19
600030.SH,20260710,32,-0.002033,8.7e-05,-8.7e-05,-7.9e-05,-0.001144,-0.000889,-0.0,-0.000889,0.037419,0.962581,0.295776,4.34e-19
600030.SH,20260710,33,0.00248,9.8e-05,-0.000173,6.3e-05,0.000138,0.002342,0.0,0.002342,0.025592,0.974408,0.573616,4.34e-19
600030.SH,20260710,34,-0.001002,-0.00013,0.001124,7e-06,-0.000802,-0.0002,-0.0,-0.0002,698.309947,0.0,0.434578,4.34e-19
600030.SH,20260710,35,-0.001389,3e-06,-0.000606,-0.000119,-0.001241,-0.000147,-0.0,-0.000147,0.056574,0.943426,0.640944,4.34e-19
600030.SH,20260710,36,-0.001211,7.8e-05,-0.000518,-0.000464,-0.000284,-0.000927,-0.0,-0.000927,0.219225,0.780775,0.450975,4.34e-19
600030.SH,20260710,37,0.001103,-9.4e-05,-1e-06,5.2e-05,0.002543,-0.001341,-9.9e-05,-0.00144,0.048813,0.951187,0.319871,4.34e-19
600030.SH,20260710,38,-0.001341,-4.3e-05,0.000779,-0.000453,-0.000589,-0.000752,-0.0,-0.000752,0.427468,0.572532,0.129257,4.34e-19
