stock_code,transaction_date,window_id,mode_name,phi,beta_ch,beta_q,beta_retail,beta_mix,theta,covariance_diag
600030.SH,20260710,0,baseline_4d,-0.065341,-0.001412,-0.000845,0.0,-0.000845,0.24214,
600030.SH,20260710,1,baseline_4d,-0.065348,-0.001413,-0.000846,0.0,-0.000846,0.242261,
600030.SH,20260710,2,baseline_4d,-0.065354,-0.000355,-0.000852,0.0,-0.000852,0.242382,
600030.SH,20260710,3,baseline_4d,-0.065361,0.000767,-0.000858,0.0,-0.000858,0.242503,
600030.SH,20260710,4,baseline_4d,-0.065368,-2e-06,-0.002769,0.0,-0.002769,0.242625,
600030.SH,20260710,5,baseline_4d,-0.065374,0.003083,-0.005558,0.0,-0.005558,0.24275,
600030.SH,20260710,6,baseline_4d,-0.065379,0.000939,-0.005575,0.0,-0.005575,0.242875,
600030.SH,20260710,7,baseline_4d,-0.065383,0.00288,-0.002753,0.0,-0.002753,0.243007,
600030.SH,20260710,8,baseline_4d,-0.065388,0.000944,-0.002071,0.0,-0.002071,0.243134,
600030.SH,20260710,9,baseline_4d,-0.065392,0.000598,0.000111,0.0,0.000111,0.243263,
600030.SH,20260710,10,baseline_4d,-0.065395,0.002415,-0.000687,0.0,-0.000687,0.243403,
600030.SH,20260710,11,baseline_4d,-0.065399,0.000929,-0.004061,0.0,-0.004061,0.243543,
600030.SH,20260710,12,baseline_4d,-0.065403,-0.000997,-0.007458,0.0,-0.007458,0.243682,
600030.SH,20260710,13,baseline_4d,-0.065406,-0.006223,-0.008079,0.0,-0.008079,0.243823,
600030.SH,20260710,14,baseline_4d,-0.065404,-0.003726,-0.005532,0.0,-0.005532,0.244008,
600030.SH,20260710,15,baseline_4d,-0.0654,-0.001978,0.000455,0.0,0.000455,0.244207,
600030.SH,20260710,16,baseline_4d,-0.065397,0.000485,0.006927,0.0,0.006927,0.244401,
600030.SH,20260710,17,baseline_4d,-0.065394,-0.003882,0.011795,0.0,0.011795,0.244596,
600030.SH,20260710,18,baseline_4d,-0.065391,-0.000412,0.018444,0.0,0.018444,0.244792,
600030.SH,20260710,19,baseline_4d,-0.065375,-0.01288,0.023604,0.0,0.023604,0.245128,
600030.SH,20260710,20,baseline_4d,-0.065365,-0.01708,0.010627,0.0,0.010627,0.245275,
600030.SH,20260710,21,baseline_4d,-0.065352,-0.013131,0.009351,0.0,0.009351,0.245433,
600030.SH,20260710,22,baseline_4d,-0.06534,-0.008816,0.009529,0.0,0.009529,0.245581,
600030.SH,20260710,23,baseline_4d,-0.06533,-0.010722,0.001226,0.0,0.001226,0.245715,
600030.SH,20260710,24,baseline_4d,-0.065316,-0.008833,0.011727,0.0,0.011727,0.245857,
600030.SH,20260710,25,baseline_4d,-0.065319,-0.008825,0.007631,0.0,0.007631,0.245794,
600030.SH,20260710,26,baseline_4d,-0.06532,-0.007745,0.00437,0.0,0.00437,0.245734,
600030.SH,20260710,27,baseline_4d,-0.06532,-0.003074,0.004023,0.0,0.004023,0.2457,
600030.SH,20260710,28,baseline_4d,-0.06532,-0.002531,0.001801,0.0,0.001801,0.245669,
600030.SH,20260710,29,baseline_4d,-0.065319,-0.001825,0.002061,0.0,0.002061,0.245641,
600030.SH,20260710,30,baseline_4d,-0.065319,-0.000559,0.000838,0.0,0.000838,0.245613,
600030.SH,20260710,31,baseline_4d,-0.065318,0.000735,0.001222,0.0,0.001222,0.245585,
600030.SH,20260710,32,baseline_4d,-0.065318,0.002035,0.001635,0.0,0.001635,0.245557,
600030.SH,20260710,33,baseline_4d,-0.065319,-0.000225,-0.001395,0.0,-0.001395,0.245528,
600030.SH,20260710,34,baseline_4d,-0.065319,-0.001034,-0.000438,0.0,-0.000438,0.2455,
600030.SH,20260710,35,baseline_4d,-0.06532,-0.003081,-0.000211,0.0,-0.000211,0.245468,
600030.SH,20260710,36,baseline_4d,-0.06532,-0.003138,0.003468,0.0,0.003468,0.24543,
600030.SH,20260710,37,baseline_4d,-0.065325,-0.001332,0.001646,0.0,0.001646,0.245371,
600030.SH,20260710,38,baseline_4d,-0.06533,-0.002841,-0.001695,0.0,-0.001695,0.245311,
600030.SH,20260710,39,baseline_4d,-0.065334,-0.000418,0.003372,0.0,0.003372,0.245282,
600030.SH,20260710,40,baseline_4d,-0.065336,-0.002273,-0.001081,0.0,-0.001081,0.245261,
600030.SH,20260710,41,baseline_4d,-0.065337,-0.001837,-0.000535,0.0,-0.000535,0.245249,
600030.SH,20260710,42,baseline_4d,-0.065338,-0.001069,0.00063,0.0,0.00063,0.245243,
600030.SH,20260710,43,baseline_4d,-0.065339,-0.000121,0.000266,0.0,0.000266,0.24524,
600030.SH,20260710,44,baseline_4d,-0.06534,0.001583,-0.001042,0.0,-0.001042,0.245236,
600030.SH,20260710,45,baseline_4d,-0.065341,0.00301,-0.002793,0.0,-0.002793,0.245232,
600030.SH,20260710,46,baseline_4d,-0.065342,0.005673,-0.002783,0.0,-0.002783,0.245228,
600030.SH,20260710,47,baseline_4d,-0.065342,0.005905,-5.5e-05,0.0,-5.5e-05,0.245231,
600067.SH,20260710,0,baseline_4d,-0.262111,-0.020993,-0.054892,0.0,-0.054892,0.139103,
600067.SH,20260710,1,baseline_4d,-0.262137,-0.021014,-0.054947,0.0,-0.054947,0.139172,
600067.SH,20260710,2,baseline_4d,-0.262207,-0.010994,-0.060793,0.0,-0.060793,0.139242,
600067.SH,20260710,3,baseline_4d,-0.262278,-0.008776,-0.064979,0.0,-0.064979,0.139291,
600067.SH,20260710,4,baseline_4d,-0.262784,-0.006558,-0.003936,0.0,-0.003936,0.13716,
