stock_code,transaction_date,window_id,deal_amount,signal_deal_buy_amount,signal_deal_sell_amount,signed_large_active_amount,signed_mix_qr_amount,CH_rule_t,Q_rule_t,R_seed_t,large_active_buy_amount,large_active_sell_amount,small_passive_buy_amount,small_passive_sell_amount,unknown_side_amount,window_open_price,window_close_price,window_trade_count,active_inferred_count,side_fallback_count,low_fallback_count,order_age_recovered_count,order_age_missing_count,order_age_direct_count,order_age_fifo_count,order_age_unresolved_count,active_buy_count,active_sell_count,active_buy_amount,active_sell_amount,pi_max_price_impact_pct
600030.SH,20260710,0,385082621.79,208895370.25000006,176187251.54,22619795.79,7049264.959999999,22619795.79,134413.2399999993,-263907,100704100.46000001,78084304.67,106671740.81000002,99622475.85,0,28.59,28.5,11526,10659,0,0,10384,1142,8578,1806,1142,5674,4985,194660667.66000003,166203551.88,-0.003147953830010488
600030.SH,20260710,1,252540588.79000002,121533507.25000001,131007081.54,30071777.46,-6088117.6499999985,30071777.46,479700.4499999997,-91008,77603628.25,47531850.79,60658496.05,66746613.7,0,28.52,28.39,7036,6551,0,0,6861,175,5449,1412,175,2989,3562,130855626.35,105681059.44000001,-0.003859649122806998
600030.SH,20260710,2,255647603.63000003,96123192.88,159524410.75000003,-36018264.42999999,-30962251.439999994,-36018264.42999999,-38957498.199999996,0,47758179,83776443.42999999,46575364.88,77537616.32,0,28.4,28.37,9639,9355,0,0,9072,567,7881,1191,567,3279,6076,88534613.5,162674054.13000003,-0.0007044734061289036
600030.SH,20260710,3,153331373,83500912.6,69830460.4,16274978,4231904.2,16274978,-3943583.8,-39788,49230305,32955327,37688822.6,33456918.400000002,0,28.37,28.4,6014,5699,0,0,5861,153,4992,869,153,3054,2645,80334018.6,69161187.4,0.001057455058159943
600030.SH,20260710,4,125699926.35999998,75442230.25,50257696.11,-5204354.699999999,7749510.84,-5204354.699999999,2962373.64,0,21250762.65,26455117.35,42871778.599999994,35122267.760000005,0,28.39,28.43,5113,4902,0,1,5068,45,4515,553,45,3042,1860,58892838.650000006,63015369.71,0.001056338028169054
600030.SH,20260710,5,136223565.10000002,71967390.06,64256175.04,-15201815.010000002,-1430163.3299999996,-15201815.010000002,-11346872.370000001,0,23307818.75,38509633.76,36487974.63,37918137.96,0,28.43,28.36,4502,4296,0,0,4470,32,3951,519,32,2371,1925,53503868.86,79970277.24,-0.0024621878297573087
600030.SH,20260710,6,158975142.93,96679183.75,62295959.18,32662614.32,9963508.25,32662614.32,19363368.75,0,49039210.5,16376596.18,51761422.25,41797914,0,28.37,28.43,5347,5152,0,0,5195,152,4363,832,152,3346,1806,103415804,52183539.93,0.002468265162200292
600030.SH,20260710,7,130956023.05,88634372.44999999,42321650.6,16573280.55,22242378.1,16573280.55,16788704.5,0,32515769.55,15942489,52370071.3,30127693.2,0,28.43,28.55,4907,4843,0,0,4792,115,4175,617,115,3047,1796,81567491.05,48788475,0.004220893422441118
600030.SH,20260710,8,82967242.59000002,48586329.65,34380912.94,-6914831.04,12194685.75,-6914831.04,10228222.55,0,7902089.5,14816920.54,36221459.15,24026773.4,0,28.55,28.52,3794,3700,0,0,3662,132,3287,375,132,2106,1594,41666918.05,39584189.54,-0.001050788091068341
600030.SH,20260710,9,72780328.92,28163360.46,44616968.46,-10311958,-7801591.08,-10311958,-8638522.92,0,3127528,13439486,24205861.92,32007453,0,28.52,28.48,3203,3175,0,0,3153,50,2802,351,50,1656,1519,26726758,45856851.92,-0.0014025245441794932
