trade_date,symbol,window_id,mode_name,q_type,u_source_type,estimator_method,state_space_contract,psi_prediction_semantics,y_observed,y_hat_next,v_q_observed,v_hat_q_next,c_p,c_i,c_d,eps,capital_ch,capital_q,capital_retail,capital_mix,beta_norm_ch_diag,beta_norm_q_diag,beta_norm_retail_diag,beta_norm_mix_diag,m_eff_ch_diag,m_eff_q_diag,m_eff_retail_diag,m_eff_mix_diag,beta_norm_unit,m_eff_source_type,m_eff_clipped_flag,closure_impl_error,model_residual,param_stability_flag,m_eff_rank_eligible,data_leakage_check,m_slow_method,thin_trade_window,cross_symbol_comparable,domain_mapping_valid_flag,warnings
20260710,600030.SH,0,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,-0.003148,-0.003642,-0.003148,-0.003642,-0,0,0,-0.003148,-0,-0,0,-0,-0,-0,-0,0,1000000,1000000,1000000,1000000,amount_response,amount_ratio_proxy,true,4.34e-19,-0.003148,warn,false,pass,ewma_realtime,false,false,true,KF did not converge
20260710,600030.SH,1,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,-0.00386,-0.000813,-0.00386,-0.000813,-0.002274,-0.001368,0,-0.000218,-0.002281,0,0.000007,0.000007,-0.000675,0,-0.000709,0.000167,1482.204255,1000000,1409.618199,6002.563052,amount_response,amount_ratio_proxy,true,4.34e-19,-0.000218,warn,false,pass,ewma_realtime,false,false,true,KF did not converge
20260710,600030.SH,2,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,-0.000704,0.001116,-0.000704,0.001116,-0.000783,0.000143,-0.000173,0.000108,-0.000761,-0.000001,-0.000021,-0.000022,0.00019,0,,0.000005,5249.814478,1000000,,196347.84595,amount_response,amount_ratio_proxy,true,4.34e-19,0.000108,warn,false,pass,ewma_realtime,false,false,true,KF did not converge
20260710,600030.SH,3,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0.001057,0.00106,0.001057,0.00106,0.00025,0.0001,0.000765,-0.000058,-0.001971,0.002222,0,0.002222,-0.000654,-0.003042,-0,-0.003011,1529.096567,328.777271,1000000,332.094404,amount_response,amount_ratio_proxy,true,4.34e-19,-0.000058,warn,false,pass,ewma_realtime,false,false,true,KF did not converge
20260710,600030.SH,4,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0.001056,-0.00231,0.001056,-0.00231,0.000731,-0.000098,0.000427,-0.000004,-0.000002,0.000268,0.000465,0.000733,0.000002,0.000401,,0.001094,531632.755394,2496.301752,,914.142915,amount_response,amount_ratio_proxy,false,4.34e-19,-0.000004,warn,false,pass,ewma_realtime,false,false,true,KF did not converge
20260710,600030.SH,5,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,-0.002462,0.002416,-0.002462,0.002416,-0.002239,-0.000071,-0,-0.000152,-0.001145,-0.001094,-0,-0.001094,0.000362,0.000463,,0.000463,2764.498718,2158.974593,,2158.974593,amount_response,amount_ratio_proxy,false,4.34e-19,-0.000152,warn,false,pass,ewma_realtime,false,false,true,KF did not converge
20260710,600030.SH,6,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0.002468,0.004234,0.002468,0.004234,0.003185,0.000085,-0.000855,0.000053,-0.001019,0.004204,0,0.004204,-0.000174,0.001214,,0.001214,5733.718844,823.694213,,823.694213,amount_response,amount_ratio_proxy,false,4.34e-19,0.000053,warn,false,pass,ewma_realtime,false,false,true,KF did not converge
20260710,600030.SH,7,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0.004221,-0.001052,0.004221,-0.001052,0.003171,-0.000135,0.001198,-0.000013,0.006713,-0.003542,-0,-0.003542,0.001858,-0.000968,,-0.000968,538.250881,1033.359007,,1033.359007,amount_response,amount_ratio_proxy,false,4.34e-19,-0.000013,warn,false,pass,ewma_realtime,false,false,true,KF did not converge
20260710,600030.SH,8,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,-0.001051,-0.001433,-0.001051,-0.001433,-0.001195,-0.000282,0.000426,0.000001,0.001116,-0.002311,-0,-0.002311,-0.000469,-0.000657,,-0.000657,2130.422405,1521.484363,,1521.484363,amount_response,amount_ratio_proxy,false,4.34e-19,0.000001,warn,false,pass,ewma_realtime,false,false,true,KF did not converge
20260710,600030.SH,9,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,-0.001403,-0.001361,-0.001403,-0.001361,-0.000219,0.000069,-0.001282,0.00003,-0.000295,0.000075,0,0.000075,0.000073,-0.000022,,-0.000022,13688.397448,44784.53243,,44784.53243,amount_response,amount_ratio_proxy,false,4.34e-19,0.00003,warn,false,pass,ewma_realtime,false,false,true,KF did not converge
