stock_code,transaction_date,capital_type,capital_intention
603316.SH,20260707,散户,卖出
600396.SH,20260707,量化,买入
603459.SH,20260707,游资,买入
603773.SH,20260707,散户,卖出
603007.SH,20260707,量化,买入
600152.SH,20260707,游资,卖出
600156.SH,20260707,量化,买入
600530.SH,20260707,游资,卖出
605006.SH,20260707,量化,卖出
600379.SH,20260707,游资,卖出
603779.SH,20260707,量化,卖出
600936.SH,20260707,量化,买入
600208.SH,20260707,量化,卖出
600719.SH,20260707,游资,卖出
600726.SH,20260707,散户,买入
600172.SH,20260707,散户,买入
605287.SH,20260707,量化,买入
603407.SH,20260707,游资,卖出
600758.SH,20260707,量化,买入
603344.SH,20260707,量化,卖出
603318.SH,20260707,散户,买入
600589.SH,20260707,游资,买入
603095.SH,20260707,散户,卖出
600578.SH,20260707,游资,卖出
603248.SH,20260707,游资,卖出
600611.SH,20260707,游资,买入
603608.SH,20260707,量化,卖出
600676.SH,20260707,量化,卖出
603601.SH,20260707,散户,买入
603538.SH,20260707,量化,买入
600903.SH,20260707,散户,卖出
603435.SH,20260707,散户,买入
600736.SH,20260707,游资,买入
603399.SH,20260707,量化,买入
600857.SH,20260707,散户,卖出
600076.SH,20260707,散户,卖出
603330.SH,20260707,散户,买入
600382.SH,20260707,散户,卖出
603082.SH,20260707,量化,买入
605389.SH,20260707,量化,买入
605366.SH,20260707,游资,买入
605299.SH,20260707,游资,卖出
600186.SH,20260707,游资,买入
605162.SH,20260707,散户,卖出
605069.SH,20260707,散户,买入
603045.SH,20260707,游资,买入
600303.SH,20260707,量化,买入
603717.SH,20260707,量化,买入
600330.SH,20260707,量化,卖出
603005.SH,20260707,游资,买入
603721.SH,20260707,游资,卖出
601991.SH,20260707,散户,买入
603324.SH,20260707,散户,卖出
603937.SH,20260707,散户,卖出
688496.SH,20260707,量化,卖出
603008.SH,20260707,游资,卖出
601890.SH,20260707,散户,买入
688509.SH,20260707,游资,买入
605066.SH,20260707,量化,卖出
600203.SH,20260707,散户,买入
603918.SH,20260707,游资,买入
603679.SH,20260707,游资,买入
600293.SH,20260707,量化,买入
600527.SH,20260707,量化,卖出
603936.SH,20260707,游资,卖出
603289.SH,20260707,游资,买入
600127.SH,20260707,散户,买入
600448.SH,20260707,量化,买入
600479.SH,20260707,游资,买入
600759.SH,20260707,游资,买入
600768.SH,20260707,量化,卖出
600782.SH,20260707,量化,卖出
600785.SH,20260707,量化,卖出
600796.SH,20260707,游资,卖出
600866.SH,20260707,量化,买入
601999.SH,20260707,散户,买入
603028.SH,20260707,散户,买入
603075.SH,20260707,量化,买入
603118.SH,20260707,量化,卖出
603331.SH,20260707,量化,买入
603359.SH,20260707,量化,卖出
603686.SH,20260707,量化,买入
603700.SH,20260707,游资,卖出
688560.SH,20260707,游资,卖出
600161.SH,20260707,游资,卖出
601117.SH,20260707,游资,买入
600009.SH,20260707,游资,买入
603893.SH,20260707,量化,卖出
601186.SH,20260707,游资,卖出
600893.SH,20260707,游资,买入
688082.SH,20260707,游资,卖出
601009.SH,20260707,游资,买入
600025.SH,20260707,散户,买入
688008.SH,20260707,游资,买入
601328.SH,20260707,散户,卖出
601939.SH,20260707,游资,卖出
688169.SH,20260707,量化,买入
601872.SH,20260707,游资,买入
601398.SH,20260707,游资,买入
600018.SH,20260707,散户,卖出
