stock_code,transaction_date,mode,kf_converged,dominant_type,dominant_intention,warnings,phi_tail,theta_tail,beta_ch_tail,beta_mix_tail,beta_q_tail,beta_retail_tail,c_p_tail,c_i_tail,c_d_tail,capital_ch_tail,capital_q_tail,capital_retail_tail,capital_anchor_error_tail,noise_ratio_tail,explain_ratio_tail
000001.SZ,20260707,baseline_4d,False,量化,买入,KF did not converge,-0.018154,-0.022332,-0.001786,-0.005219,-0.005219,0.0,0.001492,9.8e-05,-6.4e-05,5.9e-05,0.001433,0.0,0.045283,0.202854,0.797146
601398.SH,20260707,baseline_4d,False,量化,卖出,KF did not converge,-0.025952,0.078091,-0.002001,-0.00427,-0.00427,0.0,0.001478,3.3e-05,-0.000215,0.001509,-3.1e-05,-0.0,0.165953,0.060664,0.939336
603118.SH,20260707,baseline_4d,False,游资,卖出,KF did not converge,-0.133771,-0.069792,-0.00077,0.007438,0.007438,0.0,0.001906,4.7e-05,-0.000206,-2.1e-05,0.000742,0.001185,0.005682,0.214969,0.785031
000001.SZ,20260707,diag_5d,False,量化,买入,KF did not converge,-0.018154,-0.022332,-0.001786,-0.005219,-0.005219,0.0,0.001492,9.8e-05,-6.4e-05,5.9e-05,0.001433,0.0,0.045283,0.202854,0.797146
601398.SH,20260707,diag_5d,False,量化,卖出,KF did not converge,-0.019432,0.065122,-0.001969,-0.013759,-0.004342,-0.009417,0.001453,2.4e-05,-0.00018,0.001484,-3.1e-05,-0.0,0.165296,0.059027,0.940973
603118.SH,20260707,diag_5d,False,游资,卖出,KF did not converge,-0.172703,-0.062555,-0.003542,-0.004317,0.000724,-0.005041,0.002398,1.9e-05,-0.000185,-9.6e-05,0.000206,0.002288,0.020753,0.002612,0.997388
000001.SZ,20260708,baseline_4d,False,量化,买入,KF did not converge,-0.00946,-0.022942,-0.001699,0.002119,0.002119,0.0,0.000787,-4.2e-05,-4.3e-05,0.000211,0.000577,0.0,0.073796,0.256787,0.743213
601398.SH,20260708,baseline_4d,False,量化,买入,KF did not converge,-0.103722,-0.117167,-0.00102,-4.3e-05,-4.3e-05,0.0,0.000324,-2.3e-05,-0.000318,0.000293,3.1e-05,0.0,0.524159,1767.833257,0.0
603118.SH,20260708,baseline_4d,False,游资,卖出,KF did not converge,0.977916,-0.50426,0.003546,0.008008,0.008008,0.0,0.008185,2.6e-05,-0.0021,-0.000589,0.008774,0.0,0.026165,0.025572,0.974428
000001.SZ,20260708,diag_5d,False,量化,买入,KF did not converge,-0.020702,-0.020008,-0.00165,-0.000444,0.002127,-0.00257,0.000783,-4.3e-05,-3.8e-05,0.000205,0.000579,-0.0,0.080125,0.256257,0.743743
601398.SH,20260708,diag_5d,False,量化,买入,KF did not converge,-0.103722,-0.117167,-0.00102,-4.3e-05,-4.3e-05,0.0,0.000324,-2.3e-05,-0.000318,0.000293,3.1e-05,0.0,0.524159,1767.833257,0.0
603118.SH,20260708,diag_5d,False,量化,买入,KF did not converge,1.054424,-0.49666,0.003979,0.010574,0.008017,0.002557,0.008133,4e-05,-0.002068,-0.000661,0.008794,0.0,0.033164,0.026593,0.973407
000001.SZ,20260709,baseline_4d,False,量化,卖出,KF did not converge,-0.137066,0.112595,-0.001837,0.001262,0.001262,0.0,-1.1e-05,0.000114,-0.000107,2.5e-05,-3.6e-05,-0.0,0.38799,440.937769,0.0
000001.SZ,20260709,diag_5d,False,量化,卖出,KF did not converge,-0.137066,0.112595,-0.001837,0.001262,0.001262,0.0,-1.1e-05,0.000114,-0.000107,2.5e-05,-3.6e-05,0.0,0.38799,440.937769,0.0
